portfolio_capital_rmb,execution_days,median_participation,p90_participation,p95_participation,p99_participation,trades_over_5pct_adv_share,trades_over_10pct_adv_share
10000000,5,8.13381436696389e-07,0.00013688228827786624,0.0002015163385630733,0.00034651860046358237,0.0,0.0
50000000,5,4.066907183481945e-06,0.0006844114413893312,0.0010075816928153667,0.0017325930023179119,0.0,0.0
100000000,5,8.13381436696389e-06,0.0013688228827786625,0.0020151633856307334,0.0034651860046358237,0.0,0.0
