smoothing_weight,exit_fraction,hurdle_multiple,uses_retrospective_test,development_long_short_sharpe_50bps,selection_long_short_sharpe_20bps,selection_long_short_sharpe_50bps,selection_long_short_sharpe_100bps,selection_long_turnover,selection_long_short_turnover,baseline_selection_long_short_turnover,turnover_reduction,selection_raw_ridge_ic,selection_smoothed_ic,selection_ic_drop,selection_decile_monotonicity,adjacent_candidate_count,robust_neighbor_share,passes_constraints,selection_objective,selected
1.0,0.25,1.0,False,1.102793842425977,1.749376343634468,1.618746047627272,1.4050572699008355,0.14696825835064495,0.37571600829961,1.0815247302058886,0.6526052545945155,0.14188321416184488,0.14188321416184488,0.0,0.9999999999999999,3,1.0,True,1.8568729074038053,True
1.0,0.2,1.0,False,0.9926833456706808,1.7408501882580283,1.6002885934809308,1.3700139057937397,0.15701703103407527,0.39731921053949754,1.0815247302058886,0.632630489675571,0.14188321416184488,0.14188321416184488,0.0,0.9999999999999999,3,1.0,True,1.8087275088446513,False
0.5,0.2,2.0,False,0.9065736442803486,1.6862366126256472,1.5989188683774789,1.4549652918929679,0.10483586334686944,0.27214645536816184,1.0815247302058886,0.7483677924624492,0.14188321416184488,0.1362053755778947,0.005677838583950184,0.9878787878787878,3,0.3333333333333333,False,1.7983476339107498,False
0.5,0.25,2.0,False,0.7897343582411168,1.6864695013595246,1.6002683543385179,1.4581449700830236,0.09867944388127387,0.2659347520150732,1.0815247302058886,0.7541112610855902,0.14188321416184488,0.1362053755778947,0.005677838583950184,0.9878787878787878,3,0.3333333333333333,False,1.7711084686972898,False
0.5,0.2,1.5,False,0.8797203265119926,1.5797259837389213,1.4842865825929656,1.3270606254185189,0.11862894394460632,0.29713741790034726,1.0815247302058886,0.7252606347302095,0.14188321416184488,0.1362053755778947,0.005677838583950184,0.9878787878787878,4,0.25,False,1.674502922430929,False
0.75,0.25,2.0,False,1.0196369770859737,1.4908631932352956,1.406273061225388,1.2668384988275612,0.10388777756621613,0.27462346151035244,1.0815247302058886,0.7460775016600196,0.14188321416184488,0.14151164491262005,0.0003715692492248235,0.9878787878787878,4,0.75,True,1.633719959345846,False
0.5,0.25,1.0,False,0.947572873673277,1.5317297863479797,1.4259862083498962,1.2531562209304241,0.11833800660742,0.312028637588928,1.0815247302058886,0.7114919068660339,0.14188321416184488,0.1362053755778947,0.005677838583950184,0.9878787878787878,3,0.3333333333333333,False,1.6316765630093226,False
0.75,0.2,2.0,False,0.9330120889245401,1.5004556284860382,1.4158129999784406,1.2761165932739302,0.11025394860223624,0.28106969255172315,1.0815247302058886,0.7401171839147717,0.14188321416184488,0.14151164491262005,0.0003715692492248235,0.9878787878787878,4,0.75,True,1.6209590529544033,False
0.5,0.2,1.0,False,0.9247124348650443,1.5197858993143154,1.4040328061730263,1.2152664947941283,0.13455435516156766,0.33750503472911947,1.0815247302058886,0.687935906315458,0.14188321416184488,0.1362053755778947,0.005677838583950184,0.9878787878787878,3,0.3333333333333333,False,1.6014604114163753,False
1.0,0.2,1.5,False,0.9590623192824983,1.4888511313679633,1.3893346029064728,1.2252438622990633,0.12944992850219342,0.3330696838689497,1.0815247302058886,0.6920369229046259,0.14188321416184488,0.14188321416184488,0.0,0.9999999999999999,4,1.0,True,1.5957932143402025,False
0.5,0.25,1.5,False,0.842723291327693,1.4894483411288733,1.3989373481619054,1.2499309944479968,0.11014296944835811,0.2841275869191792,1.0815247302058886,0.7372897919171111,0.14188321416184488,0.1362053755778947,0.005677838583950184,0.9878787878787878,4,0.25,False,1.5812054123019108,False
1.0,0.25,1.5,False,0.9349027444903076,1.4640476628140273,1.3696427094257466,1.2139514515284795,0.12659485482641072,0.3236568326366734,1.0815247302058886,0.700740238667442,0.14188321416184488,0.14188321416184488,0.0,0.9999999999999999,4,1.0,True,1.5710027122846562,False
0.75,0.25,1.0,False,0.787471390676897,1.5240554946953664,1.4087023640250909,1.2205548795642804,0.13601269946660235,0.3475126566395419,1.0815247302058886,0.6786826533560759,0.14188321416184488,0.14151164491262005,0.0003715692492248235,0.9878787878787878,4,0.75,True,1.570818946030361,False
1.0,0.2,2.0,False,0.8086530064865678,1.4311679554346808,1.3480802506358915,1.2108598166066065,0.10882174106319113,0.2923321555377701,1.0815247302058886,0.7297036790993034,0.14188321416184488,0.14188321416184488,0.0,0.9999999999999999,3,1.0,True,1.5210102867037563,False
0.75,0.25,1.5,False,0.9735885158136969,1.3958541113186373,1.3036618744971489,1.1519983400954412,0.11934597188665363,0.30635357894864396,1.0815247302058886,0.7167391827551426,0.14188321416184488,0.14151164491262005,0.0003715692492248235,0.9878787878787878,5,0.8,True,1.5164236455557087,False
0.75,0.2,1.0,False,0.8037404892113267,1.474553081868733,1.3497831770263957,1.1464905361690907,0.14847287533163853,0.36992930280403424,1.0815247302058886,0.657955761461311,0.14188321416184488,0.14151164491262005,0.0003715692492248235,0.9878787878787878,4,0.75,True,1.513725369048824,False
0.75,0.2,1.5,False,0.9072855168045623,1.3960521558820462,1.3009035687907031,1.1442098970094425,0.12622983594484272,0.31986632586935504,1.0815247302058886,0.7042450191513767,0.14188321416184488,0.14151164491262005,0.0003715692492248235,0.9878787878787878,5,0.8,True,1.4957383154049082,False
1.0,0.25,2.0,False,0.7900077040914504,1.352467688394384,1.2732175301546778,1.1423218137280993,0.10517278431549448,0.2873458281576315,1.0815247302058886,0.7343141399060474,0.14188321416184488,0.14188321416184488,0.0,0.9999999999999999,3,1.0,True,1.441984873361777,False
