signal_month,month,period,maximum_feature_month,gross_return,turnover,turnover_budget,forced_turnover,invested_weight,missing_forward_return_weight,net_return_20bps,proxy_net_return,holdings,rank_ic,long_short_gross_return,diagnostic_long_turnover,diagnostic_short_turnover,diagnostic_leg_turnover_budget,diagnostic_forced_turnover,diagnostic_long_invested_weight,diagnostic_short_invested_weight,diagnostic_long_missing_forward_return_weight,diagnostic_short_missing_forward_return_weight,long_short_turnover,long_short_net_return_20bps,long_short_proxy_net_return
2018-01-31,2018-02-28,development,2018-01-31,-0.043726515959087116,1.0,0.1,0.0,1.0,0.0,-0.04572651595908712,-0.046535357609655284,241,0.05583624725027071,0.009842208844525295,1.0,1.0,0.2,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,2.0,0.005842208844525295,0.003644972253166701
2018-02-28,2018-03-31,development,2018-02-28,0.029135102637317584,0.1,0.1,0.06846473029045644,0.9261410788381743,0.0,0.028935102637317585,0.028542665612740627,228,-0.006189580816632253,-0.025269501826964833,0.15146333258578154,0.13815877999551468,0.2,0.11603778874187037,0.9999999999999999,0.9999999999999999,0.0,0.0,0.2896221125812962,-0.025848746052127426,-0.027514226395153326
2018-03-31,2018-04-30,development,2018-03-31,-0.03193803080672804,0.10000000000000003,0.1,0.057378766922335386,0.8818142992607918,0.0,-0.032138030806728037,-0.03257816751107862,241,0.15893200074008715,0.03832885123779227,0.19999999999999998,0.10470521541950113,0.2,0.10025827347255918,0.9837629821308841,0.9999999999999999,0.0,0.0,0.30470521541950113,0.03771944080695327,0.036137209943127815
2018-04-30,2018-05-31,development,2018-04-30,-0.016535773869773476,0.1,0.1,0.04091597022456626,0.8474998854674206,0.0,-0.016735773869773474,-0.017071892321730685,278,0.09531296204571157,0.016008029321293,0.20000000000000004,0.2,0.2,0.11594602259544456,0.9015362781901708,0.9879000155050314,0.0,0.0,0.4,0.015208029321292999,0.013573659529201282
2018-05-31,2018-06-30,development,2018-05-31,-0.07888991966740044,0.10000000000000003,0.1,0.055360164425665236,0.7780719266166535,0.0,-0.07908991966740045,-0.07942193568395234,291,0.03683141314449953,0.012903234220677295,0.2,0.19999999999999998,0.2,0.0870813108531029,0.8566185340887117,0.9826212246488147,0.0,0.0,0.4,0.012103234220677295,0.01057590246908222
2018-06-30,2018-07-31,development,2018-06-30,0.011022506528397992,0.09999999999999998,0.1,0.028107263678255594,0.8031812118324017,0.0,0.010822506528397991,0.010485942960064316,286,0.2891675474858857,0.04388283920460439,0.2,0.2,0.2,0.03829963015290892,0.9454017337240153,0.978589282108423,0.0,0.0,0.4,0.04308283920460439,0.041298014000239795
2018-07-31,2018-08-31,development,2018-07-31,-0.055718804150325,0.10000000000000002,0.1,0.012662154000691999,0.8397202327786633,0.0,-0.055918804150325,-0.05623550532499634,334,0.15901766585334381,0.05954113300653108,0.20000000000000004,0.2,0.2,0.03572317641454279,0.939804962413465,0.9816596523891266,0.0,0.0,0.4,0.058741133006531075,0.05716941918745449
2018-08-31,2018-09-30,development,2018-08-31,0.004206035317694825,0.1,0.1,0.018248212723734922,0.8476072121488378,0.0,0.004006035317694825,0.003691283530967292,375,0.05490073882890644,0.023015032543351036,0.2,0.2,0.2,0.028448650254556,0.9501703969584908,0.9734951090885916,0.0,0.0,0.4,0.022215032543351037,0.02071977854643657
2018-09-30,2018-10-31,development,2018-09-30,-0.07543319997504903,0.09999999999999999,0.1,0.01652487741020721,0.8498096336362084,0.0,-0.07563319997504904,-0.07592603338826859,434,0.1264363738115622,0.022352360009637917,0.2,0.2,0.2,0.03061162705929762,0.9405886846195334,0.9769965440089045,0.0,0.0,0.4,0.02155236000963792,0.02016744437501811
2018-10-31,2018-11-30,development,2018-10-31,0.03879694763353387,0.09999999999999999,0.1,0.018419292170671647,0.8476618289966221,0.0,0.03859694763353387,0.03826067482350365,462,0.16443590673321404,0.0034146667491829416,0.2,0.2,0.2,0.02576664310763587,0.9523876040712587,0.9727851202031189,0.0,0.0,0.4,0.0026146667491829417,0.0009902424023008386
