signal_month,realization_month,period,holding_status,weight,gross_return_contribution,explicit_cost,net_return_contribution,average_holding_period_months,stocks
2018-10-31,2018-11-30,development,new_entry,0.5055762081784386,0.029077592200632475,0.0005055762081784386,0.02857201599245404,1.0,136
2018-10-31,2018-11-30,development,planned_exit,0.0,0.0,0.0004119850187265918,-0.0004119850187265918,1.9363636363636363,110
2018-10-31,2018-11-30,development,forced_exit,0.0,0.0,8.98876404494382e-05,-8.98876404494382e-05,1.5416666666666667,24
2018-10-31,2018-11-30,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2018-11-30,2018-12-31,development,retained,0.4175824175824176,-0.017155366377625516,6.2094039789206884e-06,-0.017161575781604436,3.780701754385965,114
2018-11-30,2018-12-31,development,new_entry,0.5824175824175825,-0.016601789152328947,0.0005824175824175825,-0.017184206734746528,1.0,159
2018-11-30,2018-12-31,development,planned_exit,0.0,0.0,0.00039776951672862454,-0.00039776951672862454,1.9345794392523366,107
2018-11-30,2018-12-31,development,forced_exit,0.0,0.0,0.00017843866171003716,-0.00017843866171003716,2.1666666666666665,48
2018-11-30,2018-12-31,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2018-12-31,2019-01-31,development,retained,0.4635036496350365,0.001183020062899384,1.69781556642872e-06,0.0011813222473329552,3.874015748031496,127
2018-12-31,2019-01-31,development,new_entry,0.5364963503649635,0.005871887803669091,0.0005364963503649634,0.005335391453304127,1.0,147
2018-12-31,2019-01-31,development,planned_exit,0.0,0.0,0.00044322344322344327,-0.00044322344322344327,1.4049586776859504,121
2018-12-31,2019-01-31,development,forced_exit,0.0,0.0,9.157509157509158e-05,-9.157509157509158e-05,2.2,25
2018-12-31,2019-01-31,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2019-01-31,2019-02-28,development,retained,0.427536231884058,0.08985176150072612,3.1207024225113527e-06,0.0898486407983036,3.9915254237288136,118
2019-01-31,2019-02-28,development,new_entry,0.572463768115942,0.1078341367336647,0.000572463768115942,0.10726167296554875,1.0,158
2019-01-31,2019-02-28,development,planned_exit,0.0,0.0,0.0004781021897810219,-0.0004781021897810219,1.8625954198473282,131
2019-01-31,2019-02-28,development,forced_exit,0.0,0.0,9.124087591240875e-05,-9.124087591240875e-05,1.68,25
2019-01-31,2019-02-28,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2019-02-28,2019-03-31,development,retained,0.4746376811594203,0.04387860152066044,0.0,0.04387860152066044,3.8702290076335877,131
2019-02-28,2019-03-31,development,new_entry,0.5253623188405797,0.061122702284072634,0.0005253623188405797,0.060597339965232054,1.0,145
2019-02-28,2019-03-31,development,planned_exit,0.0,0.0,0.00042028985507246375,-0.00042028985507246375,1.8189655172413792,116
2019-02-28,2019-03-31,development,forced_exit,0.0,0.0,0.00010507246376811594,-0.00010507246376811594,1.4482758620689655,29
2019-02-28,2019-03-31,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2019-03-31,2019-04-30,development,retained,0.4657039711191336,-0.010637163685334836,1.687333228692502e-06,-0.010638851018563529,3.86046511627907,129
2019-03-31,2019-04-30,development,new_entry,0.5342960288808665,-0.012898201738269246,0.0005342960288808664,-0.013432497767150112,1.0,148
2019-03-31,2019-04-30,development,planned_exit,0.0,0.0,0.00043478260869565214,-0.00043478260869565214,2.0,120
2019-03-31,2019-04-30,development,forced_exit,0.0,0.0,9.782608695652174e-05,-9.782608695652174e-05,1.5925925925925926,27
2019-03-31,2019-04-30,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2019-04-30,2019-05-31,development,retained,0.4,-0.016002393715872993,2.8880866425992635e-06,-0.016005281802515592,4.336363636363636,110
2019-04-30,2019-05-31,development,new_entry,0.6,-0.020025374983683324,0.0006,-0.020625374983683324,1.0,165
2019-04-30,2019-05-31,development,planned_exit,0.0,0.0,0.0004765342960288809,-0.0004765342960288809,1.696969696969697,132
2019-04-30,2019-05-31,development,forced_exit,0.0,0.0,0.0001263537906137184,-0.0001263537906137184,1.5714285714285714,35
2019-04-30,2019-05-31,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2019-05-31,2019-06-30,development,retained,0.40145985401459855,0.009734029800281518,1.4598540145985273e-06,0.009732569946266919,4.3545454545454545,110
2019-05-31,2019-06-30,development,new_entry,0.5985401459854014,0.01287003790457617,0.0005985401459854014,0.01227149775859077,1.0,164
2019-05-31,2019-06-30,development,planned_exit,0.0,0.0,0.0004363636363636363,-0.0004363636363636363,1.6083333333333334,120
2019-05-31,2019-06-30,development,forced_exit,0.0,0.0,0.00016363636363636363,-0.00016363636363636363,1.7777777777777777,45
2019-05-31,2019-06-30,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2019-06-30,2019-07-31,development,retained,0.4166666666666667,0.0004202497697760245,3.0413625304136062e-06,0.0004172084072456109,4.260869565217392,115
2019-06-30,2019-07-31,development,new_entry,0.5833333333333334,-0.006710269056874743,0.0005833333333333334,-0.0072936023902080765,1.0,161
2019-06-30,2019-07-31,development,planned_exit,0.0,0.0,0.0004562043795620438,-0.0004562043795620438,1.664,125
2019-06-30,2019-07-31,development,forced_exit,0.0,0.0,0.0001240875912408759,-0.0001240875912408759,1.7647058823529411,34
2019-06-30,2019-07-31,development,unfilled_or_carried,0.0,0.0,0.0,0.0,,0
2019-07-31,2019-08-31,development,retained,0.4368231046931408,-0.009181252066327703,1.5826924083084709e-06,-0.00918283475873601,4.090909090909091,121
2019-07-31,2019-08-31,development,new_entry,0.5631768953068592,-0.011818483497481902,0.0005631768953068592,-0.01238166039278876,1.0,156
2019-07-31,2019-08-31,development,planned_exit,0.0,0.0,0.0004782608695652174,-0.0004782608695652174,1.7651515151515151,132
2019-07-31,2019-08-31,development,forced_exit,0.0,0.0,8.333333333333333e-05,-8.333333333333333e-05,1.9130434782608696,23
