factor,mean_ic,ic_std,ic_ir,months
low_volatility,0.09468891987793031,0.16618097805671278,0.5697939739265206,119
value_pb,0.06439901904856775,0.15803832538620113,0.4074898850718311,119
illiquidity_premium,0.055772667710087334,0.14469456510891243,0.38545102000276876,119
reversal,0.05243099808310853,0.1292090722972911,0.40578418489432777,119
roe,0.014255907520144056,0.1326345059075265,0.1074826450522864,118
small_size,0.013831857397808086,0.17601726173687957,0.07858239164341006,119
roa,0.012495103780120082,0.12791910526376285,0.09767973090771545,118
low_leverage,-0.0004046503404309671,0.10585676420568536,-0.003822621477874667,118
momentum,-0.005974841800295786,0.1391302040514797,-0.04294424665750529,108
