series,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
long_only,0,0.11618058482248927,0.18915318775554213,0.6142142577720593,-0.2488628923838614,1.3872496590727459,95,0.34863627590615204
industry_neutral_long_short,0,0.23894958862162574,0.1581761257732734,1.5106552107878244,-0.21533108284382885,4.262179732318462,93,1.1317216425133394
long_only,20,0.10693216295985652,0.18923455978150347,0.5650773467770579,-0.25380304950734345,1.2350708845163099,95,0.34863627590615204
industry_neutral_long_short,20,0.20617831730796787,0.1583142703069271,1.302335644842665,-0.2193448385450495,3.2750308992390647,93,1.1317216425133394
long_only,50,0.09319025807596937,0.18936043517435977,0.4921316218467781,-0.26116120692361766,1.0246099955524302,95,0.34863627590615204
industry_neutral_long_short,50,0.15850638615158785,0.1585335721673569,0.9998285157181702,-0.22534621897481955,2.127611843792914,93,1.1317216425133394
long_only,100,0.07063173451664229,0.189580384371451,0.37256879054665926,-0.2732870087938948,0.7165279828400275,95,0.34863627590615204
industry_neutral_long_short,100,0.08286876690364098,0.15893115141639153,0.5214129902483939,-0.23529717803227312,0.8533722821168837,93,1.1317216425133394
long_only,150,0.048497669248331654,0.18981299119158296,0.25550237074859516,-0.28660874428213556,0.4548753957713143,95,0.34863627590615204
industry_neutral_long_short,150,0.011774760537629714,0.15936856316047612,0.07388383445343058,-0.26910541686704037,0.0949638239918158,93,1.1317216425133394
long_only,200,0.02678082945141358,0.19005820916085003,0.14090856464267973,-0.3021455690700737,0.23272309691881654,95,0.34863627590615204
industry_neutral_long_short,200,-0.05502470096343992,0.1598454803991237,-0.34423682687835055,-0.3760740056221181,-0.35507600137706063,93,1.1317216425133394
