month,gross_return,turnover,holdings,mean_prediction,net_return,ml_nav,linear_return,benchmark_return,linear_nav,benchmark_nav
2018-02-28,-0.03564617235801907,1.0,244,0.05197263832686774,-0.03764617235801907,0.962353827641981,-0.0382709565791685,-0.0589949465566848,0.9617290434208315,0.9410050534433152
2018-03-31,0.020433119603854747,0.43965517241379315,232,0.05761530917208659,0.01955380925902716,0.9811715108273869,0.0191100331752123,-0.0311006783355806,0.9801077173461689,0.9117391579640188
2018-04-30,-0.03442771848903475,0.39591836734693875,245,0.06149836718587724,-0.03521955522372863,0.9466150866178524,-0.0464604410313546,-0.0363264014205703,0.9345714805400316,0.8786189553209651
2018-05-31,-0.007823603280853682,0.41295546558704455,247,0.05250618845093567,-0.00864951421202777,0.9384273259728314,-0.0158652911535878,0.0121069510916991,0.9197442318974244,0.8892563520412758
2018-06-30,-0.10365900136484962,0.4453125,256,0.052137808879046746,-0.10454962636484963,0.840315099671807,-0.0876904978181123,-0.0766336028869925,0.8390914023370019,0.8211094338942091
2018-07-31,0.017435731821632244,0.41634241245136183,257,0.052401237074083916,0.01660304699672952,0.8542668907637194,-0.006511718413011,0.0019036905188696,0.8336274754022047,0.8226725721384679
2018-08-31,-0.0690951547118358,0.5,262,0.051930429320283814,-0.0700951547118358,0.7943869208904376,-0.1000300827032113,-0.0520686312769598,0.7502396500940529,0.7798371373181219
2018-09-30,-0.0017191510093825533,0.4528301886792453,265,0.05160085469996146,-0.002624811386741044,0.7923018050550062,-0.0172857604126802,0.031298879206058,0.7372711872504342,0.8042451656794398
2018-10-31,-0.08997323571998705,0.42910447761194026,268,0.05270538393682111,-0.09083144467521094,0.7203358874830826,-0.0976905272720815,-0.0828875907452079,0.6652467762254257,0.7375832215277904
2018-11-30,0.055122382565771524,0.45185185185185184,270,0.0512817295545587,0.05421867886206782,0.7593915476393505,0.0220800844802031,0.0059823117150232,0.679935481244666,0.7419956742747408
2018-12-31,-0.03022379287545355,0.4781021897810219,274,0.05318550710211239,-0.031179997255015593,0.7357137212684735,-0.0265069609902133,-0.0510697646572831,0.6619124579674517,0.7041021298128077
2019-01-31,0.006986034482149248,0.4,275,0.05193689848257959,0.006186034482149248,0.7402648717172305,-0.0112629103860205,0.0634343902762757,0.6544573972699738,0.7487664191097103
2019-02-28,0.2026895020998903,0.46014492753623193,276,0.050448650960810575,0.20176921224481784,0.8896275317361273,0.2075853933618429,0.1460952519600677,0.7903131935208292,0.8581576377687812
2019-03-31,0.1200788094293867,0.45126353790613716,277,0.050976808653452166,0.11917628235357443,0.9956500336478256,0.0947659927619198,0.0553142247980269,0.8652080078976738,0.9056259622564673
2019-04-30,-0.02358855052167505,0.48201438848920863,278,0.050874072343873415,-0.024552579298653468,0.9712042572429803,-0.0316561611603379,0.0105537873622467,0.8378188437624502,0.9151837460918522
