metric,quarterly,staggered_hybrid,change,common_months
long_only_sharpe_20bps,0.4800951286865975,0.49234067811821425,0.012245549431616765,95
long_short_sharpe_20bps,0.8988266772648729,0.9140966860532179,0.015270008788345057,95
long_only_sharpe_50bps,0.4492379525386382,0.4595433717817523,0.010305419243114122,95
long_short_sharpe_50bps,0.7917536083899034,0.8140597126372331,0.022306104247329706,95
long_only_sharpe_100bps,0.3980716028068664,0.4052670066439265,0.0071954038370601325,95
long_short_sharpe_100bps,0.6166959030344179,0.6497334505679297,0.033037547533511846,95
long_only_avg_turnover,0.14944410038451617,0.1498001186112605,0.00035601822674433126,95
long_short_avg_turnover,0.37822381081869094,0.3541196596995699,-0.024104151119121064,95
