model,period,role,mean_rank_ic,annualized_icir,positive_ic_month_share,decile_monotonicity,gross_long_short_annual_return,gross_long_short_sharpe,gross_long_short_t_stat,months
ols,all,ordinary_regression_baseline,0.12170841854642502,3.2903473063376776,0.8736842105263158,0.9878787878787878,0.257726605946609,1.629290928100024,4.337493160715343,95
ols,development,ordinary_regression_baseline,0.11587656453228629,3.3922532927617235,0.875,0.9030303030303028,0.2798174719324227,1.9202197864949069,3.5634402972867307,48
ols,selection,ordinary_regression_baseline,0.14203763090686436,4.251741111664374,0.9166666666666666,0.9999999999999999,0.36825189376353396,2.7717902067102567,3.4664528130592447,24
ols,retrospective_test,ordinary_regression_baseline,0.11266615315634314,2.4379918301293975,0.8260869565217391,0.5030303030303029,0.1107974947408834,0.5457224724147159,0.8561854540846127,23
ridge,all,production_candidate,0.12098539575150338,3.239893177114618,0.8631578947368421,0.9878787878787878,0.25129525640539363,1.5773791667074102,4.217906215355316,95
ridge,development,production_candidate,0.11523063370822968,3.354312265205354,0.8541666666666666,0.9272727272727272,0.268654722684742,1.8203141890203505,3.4007167694289935,48
ridge,selection,production_candidate,0.14181181508083568,4.228709362327093,0.9166666666666666,0.9999999999999999,0.36122322459046496,2.712498607814274,3.402619511580638,24
ridge,retrospective_test,production_candidate,0.11126341810685843,2.36810563775,0.8260869565217391,0.4545454545454545,0.1135575433931224,0.5562675727743521,0.8706034911942251,23
huber,all,experimental_comparison,0.12177690937478326,3.29380187922122,0.8736842105263158,0.9636363636363635,0.2603941810927155,1.6504374279401355,4.385777197807497,95
huber,development,experimental_comparison,0.11592885671644708,3.3945878621100536,0.875,0.9151515151515152,0.2848276342311902,1.941750873453206,3.5963030141074293,48
huber,selection,experimental_comparison,0.14202678238902314,4.257313673500517,0.9166666666666666,0.9999999999999999,0.3588169136938544,2.6713500438900377,3.3558322134438345,24
huber,retrospective_test,experimental_comparison,0.11285123873384335,2.442475807144252,0.8260869565217391,0.5151515151515151,0.11951528552701429,0.5985337231794025,0.9202832654239584,23
tabm_experimental,all,experimental_comparison,0.05821233190930948,2.9170323560094036,0.8526315789473684,0.9030303030303028,0.08105184211165661,0.8332036990141832,2.3982515021754183,95
tabm_experimental,development,experimental_comparison,0.060126085378669945,3.209210520703336,0.8541666666666666,0.8909090909090909,0.10068123770705428,1.0558536020118432,2.1135261197930477,48
tabm_experimental,selection,experimental_comparison,0.047355164330482584,2.61198358391132,0.8333333333333334,0.9151515151515152,0.06144258963037408,0.7881754219849714,1.1374763810503004,24
tabm_experimental,retrospective_test,experimental_comparison,0.06554762996855054,2.694052520768657,0.8695652173913043,0.7575757575757575,0.06128623629629515,0.5083239295216464,0.7664970226192295,23
retrieval_experimental,all,experimental_comparison,0.04262539034447446,2.56526972493028,0.7894736842105263,0.7454545454545454,0.042231093816724075,0.5014970593420093,1.5033725481829965,95
retrieval_experimental,development,experimental_comparison,0.04546818714882981,2.6316814691119004,0.8333333333333334,0.8060606060606059,0.07066548388404903,0.7766100112389878,1.5954075508476127,48
retrieval_experimental,selection,experimental_comparison,0.0395472366888253,2.6956396744240783,0.75,0.7575757575757575,0.026720674805948752,0.4756524009109651,0.702719604286071,24
retrieval_experimental,retrospective_test,experimental_comparison,0.03990458343693199,2.2519141532332054,0.7391304347826086,0.18787878787878787,0.0008357434105246142,0.008805010153141276,0.07639395825139837,23
