metric,quarterly,turnover_budget,change,common_months
long_only_sharpe_20bps,0.4800951286865975,0.4244020889871383,-0.05569303969945916,95
long_short_sharpe_20bps,0.8988266772648729,0.9038765097551325,0.005049832490259587,95
long_only_sharpe_50bps,0.4492379525386382,0.39660917905483306,-0.052628773483805125,95
long_short_sharpe_50bps,0.7917536083899034,0.7770717467855947,-0.014681861604308732,95
long_only_sharpe_100bps,0.3980716028068664,0.35055873724764725,-0.04751286555921913,95
long_short_sharpe_100bps,0.6166959030344179,0.5693579277492855,-0.047337975285132394,95
long_only_avg_turnover,0.14944410038451617,0.10947368421052628,-0.03997041617398989,95
long_short_avg_turnover,0.37822381081869094,0.414677130005987,0.03645331918729605,95
