period,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,mean_turnover
development,0.10331582478000079,0.17468035855684463,0.5914564501330564,-0.2338195076416243,0.469741876680589,47,0.22026006048499266
selection,0.019622678339950017,0.1794283051290522,0.1093622231221355,-0.1636404233191372,0.03963040618513336,24,0.32360676358905976
retrospective_test,0.1877543482611017,0.20684729033526547,0.9076954692361827,-0.11692873971305673,0.4107603918131544,24,0.3333736782261815
full,0.10188323316051218,0.18315092774282668,0.5562801915127211,-0.2338195076416243,1.1556254352070008,95,0.2749447731195836
