period,series,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,mean_hedge_notional,mean_hedge_turnover
development,csi500_futures_overlay_proxy,0.0375145329900366,0.1254543595554675,0.299029329255395,-0.24644869368153688,0.15516469225954888,47,0.3098583218842035,0.024290500979596497
development,unhedged_clean_mlp,0.10450795806440416,0.17636686247614036,0.5925600569015192,-0.24644869368153688,0.47597157349119223,47,0.0,0.0
selection,csi500_futures_overlay_proxy,0.11673176056066148,0.10238396046325615,1.1401371858686256,-0.08207551867083263,0.2470898250449145,24,0.44767770864609746,0.014667252831266896
selection,unhedged_clean_mlp,0.053223766694370456,0.17332665714395978,0.30707201979995746,-0.1487852478142634,0.10928030272987765,24,0.0,0.0
retrospective_test,csi500_futures_overlay_proxy,0.11960728778584895,0.14679193454578593,0.8148083077993784,-0.06278662156362602,0.25352047886318463,24,0.3640457248263818,0.03469060415931097
retrospective_test,unhedged_clean_mlp,0.20627422814893448,0.21527701301727736,0.9581804636632507,-0.10347824890649404,0.45509751349630756,24,0.0,0.0
full,csi500_futures_overlay_proxy,0.07751137146969489,0.12513433157726073,0.6194253047321201,-0.24644869368153688,0.8058142486590927,95,0.3583653003357586,0.02448675909278847
full,unhedged_clean_mlp,0.11589284201967831,0.1847830620180977,0.6271832534538677,-0.24644869368153688,1.3823819676216211,95,0.0,0.0
