lambda_risk,lambda_turnover,max_stock_weight,industry_absolute_cap,period,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,average_turnover,uses_retrospective_test_for_selection
0.5,2.0,0.02,0.2,development,0.02633962003482182,0.20677769235190321,0.1273813424225468,-0.3318797656451573,0.10959471010636412,48,0.2093938498969902,False
0.5,2.0,0.02,0.2,selection,0.009195921263323248,0.16368918078643405,0.05617916357783722,-0.15039239829791473,0.01769978480075296,23,0.18539207270872718,False
0.5,2.0,0.02,0.2,retrospective_test,0.27064171902643763,0.1781861203791791,1.5188709336648303,-0.1019802417893495,0.5826235662087813,23,0.18601443596239167,False
1.0,2.0,0.02,0.2,development,0.02799993993068095,0.20830101611636265,0.13442056334012034,-0.33107183512041183,0.11679216162504846,48,0.2098006002383165,False
1.0,2.0,0.02,0.2,selection,0.00788432153652785,0.16596995280628385,0.047504511528844266,-0.1517459066582676,0.015166212396582779,23,0.1871740800862263,False
1.0,2.0,0.02,0.2,retrospective_test,0.27292262223643715,0.18025793210557275,1.5140671983111007,-0.10580265222191132,0.5880731723179453,23,0.18662600833228205,False
0.5,1.0,0.02,0.2,development,0.03367661950245715,0.20470613985920968,0.16451201476232638,-0.31446300805579974,0.14166522502970968,48,0.3284739820272023,False
0.5,1.0,0.02,0.2,selection,0.004391872326886537,0.16568985221841503,0.026506586058735206,-0.16267899934007068,0.008803033196308707,24,0.31951508126051936,False
0.5,1.0,0.02,0.2,retrospective_test,0.26879501375783654,0.1786764039623802,1.5043677161447158,-0.11067253823524603,0.5782179232983495,23,0.31510251065683453,False
0.5,2.0,0.018,0.2,development,0.025751665952292502,0.20707305333659926,0.12436029477207215,-0.33316009777673106,0.10705430206467104,48,0.2094454122108281,False
0.5,2.0,0.018,0.2,selection,0.009296825983511559,0.16369477980934638,0.05679366192580775,-0.15036413824519668,0.017894824118985575,23,0.18535231523289597,False
0.5,2.0,0.018,0.2,retrospective_test,0.27196685318008695,0.1781308727783989,1.526781118500572,-0.10197887000111716,0.5857885281202566,23,0.18569800303144549,False
0.5,2.0,0.022,0.2,development,0.02633962003482182,0.20677769235190321,0.1273813424225468,-0.3318797656451573,0.10959471010636412,48,0.2093938498969902,False
0.5,2.0,0.022,0.2,selection,0.009187882023574012,0.16367924857416127,0.056133456767496606,-0.15039334824482087,0.017684246476467935,23,0.18539893351249526,False
0.5,2.0,0.022,0.2,retrospective_test,0.27060841207889563,0.1781892548311519,1.518657296902207,-0.1019802960857158,0.5825440545665979,23,0.18602656507060408,False
0.5,2.0,0.02,0.18,development,0.026216443672183454,0.20665131817015,0.12686318144168662,-0.33182678306943314,0.10906213303372403,48,0.20928832649287443,False
0.5,2.0,0.02,0.18,selection,0.012932631061662647,0.1631269747700909,0.079279537181939,-0.14677237883372296,0.02493441733732915,23,0.18557889291855623,False
0.5,2.0,0.02,0.18,retrospective_test,0.270630946955039,0.1774806904361268,1.524847273751371,-0.10182845117656103,0.5825978504914289,23,0.1857602310405577,False
0.5,2.0,0.02,0.22,development,0.02633962003482182,0.20677769235190321,0.1273813424225468,-0.3318797656451573,0.10959471010636412,48,0.2093938498969902,False
0.5,2.0,0.02,0.22,selection,0.008851995088234199,0.1638563967586941,0.05402288383815885,-0.15094726272349834,0.01703514219941704,23,0.18541009501890512,False
0.5,2.0,0.02,0.22,retrospective_test,0.27170239524833284,0.1783644338197463,1.5232991770260274,-0.1016288739867579,0.5851566529683496,23,0.18646786016999212,False
