refit_month,training_end,validation_end,ridge_alpha,ridge_validation_ic,ols_validation_ic,huber_validation_ic,tabm_validation_ic,tabm_best_epoch
2018-01-31,2016-12-31,2017-12-31,10000.0,0.04007255420488048,0.037719118360857756,0.03838140208583343,0.03993517117359103,1
2018-04-30,2017-03-31,2018-03-31,10000.0,0.0732401575278835,0.07284979943317095,0.0729925315438872,0.05652253815794577,2
2018-07-31,2017-06-30,2018-06-30,10.0,0.09981591185711382,0.09981937865595215,0.09973676035460298,0.07865497374368764,2
2018-10-31,2017-09-30,2018-09-30,10.0,0.09770820886566528,0.09771786707705399,0.09746506430862473,0.08393173299815532,2
2019-01-31,2017-12-31,2018-12-31,10.0,0.1337525128520737,0.13375735683941234,0.13372738813299584,0.07430285826479523,2
2019-04-30,2018-03-31,2019-03-31,10000.0,0.13636176679337636,0.1356523301840824,0.1357847930005985,0.039289677025414506,2
2019-07-31,2018-06-30,2019-06-30,10000.0,0.1475830390543139,0.14676316679705118,0.14695774705509865,0.03809621152978431,1
2019-10-31,2018-09-30,2019-09-30,10000.0,0.13468235521556418,0.13347544645288156,0.1337292171414707,0.08271805686372631,2
2020-01-31,2018-12-31,2019-12-31,10000.0,0.10402252921258054,0.10337833922355806,0.10349427733912002,0.03772159738336622,1
2020-04-30,2019-03-31,2020-03-31,10.0,0.10337797979967868,0.10337890318171074,0.1035511821713452,0.06376000163341465,1
2020-07-31,2019-06-30,2020-06-30,10.0,0.07882560862812275,0.0788353160727862,0.0788613275735907,0.040965157134187344,2
2020-10-31,2019-09-30,2020-09-30,10.0,0.09052481933308437,0.09053957433210053,0.09052446642008273,0.047402468986834305,1
2021-01-31,2019-12-31,2020-12-31,10.0,0.10098427190032162,0.1009904639224089,0.10094791985827545,0.06204987887797497,2
2021-04-30,2020-03-31,2021-03-31,10.0,0.1280386128202197,0.12804076894523123,0.12799568864590913,0.02604949126900984,2
2021-07-31,2020-06-30,2021-06-30,100.0,0.09275317905081389,0.0927569667703239,0.09281028413838305,0.040924005304978785,1
2021-10-31,2020-09-30,2021-09-30,1000.0,0.10492501855546559,0.10467592851879702,0.10474602497899023,0.048415126810508864,2
2022-01-31,2020-12-31,2021-12-31,1000.0,0.12109579360755242,0.12079495631102159,0.12098224001938153,0.05805586508934454,1
2022-04-30,2021-03-31,2022-03-31,1000.0,0.09547805838714539,0.09535071061723543,0.09550150574229617,0.06932786294575034,2
2022-07-31,2021-06-30,2022-06-30,100.0,0.1260372690118682,0.12603045559528023,0.12628823314986176,0.035889910089865605,2
2022-10-31,2021-09-30,2022-09-30,10.0,0.13374299156901712,0.13374810861418704,0.1340869348742821,0.05993059664636963,2
2023-01-31,2021-12-31,2022-12-31,10.0,0.12388846345378868,0.12389724844202145,0.12433024960384387,0.07347647068582079,2
2023-04-30,2022-03-31,2023-03-31,1000.0,0.14329120657794311,0.1432269265091293,0.14344882678472362,0.06729331919595352,2
2023-07-31,2022-06-30,2023-06-30,100.0,0.17848405072527407,0.17847292782730087,0.17842428001983526,0.06092410189503555,2
2023-10-31,2022-09-30,2023-09-30,10.0,0.141423497853436,0.1414228326003947,0.14128570259876677,0.05344744150378339,1
2024-01-31,2022-12-31,2023-12-31,10.0,0.1406750627758257,0.14067134547122404,0.14024295253763294,0.08758161830749929,1
2024-04-30,2023-03-31,2024-03-31,10000.0,0.15172784996453206,0.14753724419798872,0.14744872757064434,0.05031883741153568,2
2024-07-31,2023-06-30,2024-06-30,10000.0,0.13767575800340456,0.13312882693390027,0.13290658291900484,0.04781722993238715,2
2024-10-31,2023-09-30,2024-09-30,10000.0,0.10844135712661364,0.10444136989175871,0.10448682257017301,0.05012736343065451,2
2025-01-31,2023-12-31,2024-12-31,10000.0,0.12372177559403817,0.12049095926945114,0.12071969509924892,0.05456981838614891,1
2025-04-30,2024-03-31,2025-03-31,10.0,0.10311270549068673,0.10311641533749133,0.10325702622236466,0.07927981564685813,2
2025-07-31,2024-06-30,2025-06-30,10.0,0.10240795765062678,0.10241472012999232,0.10267438231733345,0.04965036900133198,2
2025-10-31,2024-09-30,2025-09-30,10.0,0.14062040156666747,0.1406227019023636,0.14082473199736806,0.07194569116791404,2
