refit_month,target_type,target_horizon_months,ridge_alpha,history_start,history_end,maximum_training_realization_month,history_samples,validation_ic,alpha_intercept,alpha_beta,alpha_beta_t_stat,alpha_calibration_samples,signal_failure
2018-01-31,original_1m,1,10.0,2014-08-31,2017-11-30,2017-12-31,78162,0.019564276773916752,-0.0120532261521119,-0.01018817245968676,-0.9978472339201856,23895,True
2018-04-30,original_1m,1,10.0,2014-08-31,2018-02-28,2018-03-31,85203,0.053896975174882414,-0.010953216322458851,0.03404088465516735,3.0997449068576053,24690,False
2018-07-31,original_1m,1,10.0,2014-08-31,2018-05-31,2018-06-30,92553,0.07720310506944697,-0.02448550391517686,0.05618089586749186,4.634527244364173,25719,False
2018-10-31,original_1m,1,10.0,2014-08-31,2018-08-31,2018-09-30,100324,0.08665808230896864,-0.03419815701376485,0.10458819373915862,8.856450555268424,26802,False
2019-01-31,original_1m,1,10.0,2014-08-31,2018-11-30,2018-12-31,108397,0.12157265587898652,-0.03232958174837733,0.1536448077163007,11.97385730553551,27872,False
2019-04-30,original_1m,1,10.0,2014-08-31,2019-02-28,2019-03-31,116643,0.12435060651294946,0.0021555410679362256,0.15165562416689873,9.165886308445119,29034,False
2019-07-31,original_1m,1,10.0,2014-08-31,2019-05-31,2019-06-30,124890,0.14004060739007732,0.0035654685370158606,0.17705215019066822,10.7696295944063,29795,False
2019-10-31,original_1m,1,10.0,2014-08-31,2019-08-31,2019-09-30,133191,0.13362628004324836,0.018991925287736064,0.1467168738440018,9.492591802651628,30205,False
2020-01-31,original_1m,1,10.0,2014-08-31,2019-11-30,2019-12-31,141560,0.10885122367657458,0.026038209923529808,0.0920243516382856,5.934869192484546,30427,False
2020-04-30,original_1m,1,10.0,2014-08-31,2020-02-29,2020-03-31,149980,0.10835944299037523,-0.003515567788826235,0.1021033245182967,7.177164671957443,30572,False
2020-07-31,original_1m,1,10.0,2014-08-31,2020-05-31,2020-06-30,158518,0.0667736723516148,0.014025958006852059,0.0022492261218270914,0.1548530935821078,30874,False
2020-10-31,original_1m,1,10.0,2014-08-31,2020-08-31,2020-09-30,167285,0.10084411238990243,0.02210023408979906,0.07106351653782372,4.185123081792238,31306,False
2021-01-31,original_1m,1,10.0,2014-08-31,2020-11-30,2020-12-31,176184,0.10112707922649161,0.015264938899457282,0.08221280305773133,4.570022081054245,31843,False
2021-04-30,original_1m,1,10.0,2014-08-31,2021-02-28,2021-03-31,185219,0.12657058947727023,0.013269978050189927,0.14431919379962366,8.096169110877996,32381,False
2021-07-31,original_1m,1,10.0,2014-08-31,2021-05-31,2021-06-30,194534,0.103155730747679,0.001995462678300406,0.08766761814206593,5.05531453675164,33143,False
2021-10-31,original_1m,1,10.0,2014-10-31,2021-08-31,2021-09-30,200818,0.1099286132708664,0.009958830986239479,0.08184858431480892,4.471216963452941,33838,False
2022-01-31,original_1m,1,10.0,2015-01-31,2021-11-30,2021-12-31,205455,0.11520530518538628,0.02551349971356907,0.08938564863547925,4.7587213867945035,34813,False
2022-04-30,original_1m,1,10.0,2015-04-30,2022-02-28,2022-03-31,210411,0.07503535533806804,0.011096218973542099,0.03374634756972721,1.8641559900907823,36053,False
2022-07-31,original_1m,1,10.0,2015-07-31,2022-05-31,2022-06-30,215569,0.1311380407807564,0.004524089246074007,0.2162997174869608,10.946561633235692,37318,False
2022-10-31,original_1m,1,10.0,2015-10-31,2022-08-31,2022-09-30,221324,0.14391285520248803,-0.007140734111695172,0.1997316209423837,10.990418304171564,38504,False
2023-01-31,original_1m,1,10.0,2016-01-31,2022-11-30,2022-12-31,226810,0.12691988025940046,-0.0020216691904380783,0.16129213616704977,9.436178575199065,39559,False
2023-04-30,original_1m,1,10.0,2016-04-30,2023-02-28,2023-03-31,232304,0.14754484638392792,0.021144472028423057,0.16316253287196728,11.094072108689682,40490,False
2023-07-31,original_1m,1,10.0,2016-07-31,2023-05-31,2023-06-30,238130,0.16212495562617998,0.0018242684096891682,0.20393489951074514,14.528498076473866,41461,False
2023-10-31,original_1m,1,10.0,2016-10-31,2023-08-31,2023-09-30,243896,0.159204906034442,0.005997040903598587,0.19123408035438935,15.066933401159018,42423,False
2024-01-31,original_1m,1,10.0,2017-01-31,2023-11-30,2023-12-31,249713,0.12278809587100556,-0.00324472806849517,0.09914007490654309,8.284068883303656,43254,False
2024-04-30,original_1m,1,10.0,2017-04-30,2024-02-29,2024-03-31,255785,0.12361840881265325,-0.00911148410472943,0.13982333762249946,9.75155265428682,44035,False
2024-07-31,original_1m,1,10.0,2017-07-31,2024-05-31,2024-06-30,261927,0.13550028156341182,-0.02192628963167908,0.21973421810873572,15.297948657532812,44747,False
2024-10-31,original_1m,1,10.0,2017-10-31,2024-08-31,2024-09-30,267719,0.13490815812800275,0.001856177430598997,0.2316130699941377,13.627070066959382,45311,False
2025-01-31,original_1m,1,10.0,2018-01-31,2024-11-30,2024-12-31,273230,0.11688463945951427,0.023080552664355904,0.16093236071262734,9.112531940022814,45702,False
2025-04-30,original_1m,1,10.0,2018-04-30,2025-02-28,2025-03-31,278710,0.11266602925515264,0.02010880982476981,0.0975958545976772,5.814516206090942,45857,False
2025-07-31,original_1m,1,10.0,2018-07-31,2025-05-31,2025-06-30,283710,0.0869403049224788,0.035463680875854955,0.031311464117782684,1.9533426101379645,45882,False
2025-10-31,original_1m,1,10.0,2018-10-31,2025-08-31,2025-09-30,288440,0.13074984532817838,0.02388677761798643,0.1558093246181352,10.905303758624383,46031,False
2018-01-31,residual_1m,1,10.0,2014-08-31,2017-11-30,2017-12-31,78162,0.16413489652973035,3.1180338869018495e-05,0.22717045662023413,21.235635200582873,23895,False
2018-04-30,residual_1m,1,10.0,2014-08-31,2018-02-28,2018-03-31,85203,0.12616138750817896,-7.142707228806614e-05,0.1658919883739282,16.642377814972217,24690,False
2018-07-31,residual_1m,1,10.0,2014-08-31,2018-05-31,2018-06-30,92553,0.10763956353199654,0.0007317803887927967,0.13201002974667575,13.53892228053673,25719,False
2018-10-31,residual_1m,1,10.0,2014-08-31,2018-08-31,2018-09-30,100324,0.07958749206459577,0.0004995470483179806,0.10453160178882544,10.854479633640823,26802,False
