candidate,cost_bps,mean_turnover,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months
production_core,20,0.25775771012668264,0.11589284201967853,0.18478306201809777,0.6271832534538686,-0.2464486936815371,1.382381967621623,95
production_core,50,0.25775771012668264,0.1056558673198773,0.18481725702655882,0.5716774992753746,-0.24956355275831554,1.2147504640140712,95
production_core,100,0.25775771012668264,0.08878145516000902,0.1848931136722217,0.48017718668203446,-0.2547295692661963,0.960863342447267,95
concentrated_top5,20,0.4049504447601294,0.1188032949279405,0.18724922462599292,0.634466151543406,-0.24116670606140134,1.4320196655231294,95
concentrated_top5,50,0.4049504447601294,0.10274128652900405,0.1871900787776569,0.5488607473211198,-0.24702169761768278,1.1689503421737477,95
concentrated_top5,100,0.4049504447601294,0.0764354008665371,0.1871156628496025,0.40849279906606967,-0.2566906828178651,0.7915878637174454,95
score_rank_tilt_050,20,0.2831054253075652,0.11600993595703057,0.18429624736672126,0.6294753019370416,-0.24360291295647318,1.3843617765426366,95
score_rank_tilt_050,50,0.2831054253075652,0.10478364222704073,0.1842635215273553,0.5686618890081552,-0.24736776283243678,1.2009564345393442,95
score_rank_tilt_050,100,0.2831054253075652,0.08630057244796974,0.1842209255129641,0.4684623758547807,-0.253605390982653,0.9257691851608281,95
volatility_cap90,20,0.27677719588750954,0.1165200260503052,0.18442538952723717,0.631800352158653,-0.24456668574104068,1.3930030927553125,95
volatility_cap90,50,0.27677719588750954,0.10552894482938058,0.18444505990171345,0.5721429724689538,-0.24800558642145532,1.212738531714276,95
volatility_cap90,100,0.27677719588750954,0.08742671163169535,0.18449698322427194,0.4738652638315537,-0.25370603584683993,0.9416307511389463,95
ridge_consensus20,20,0.2957550987112837,0.11172384700304816,0.18754755145724591,0.5957094408055611,-0.2437440097194128,1.3128224584890131,95
ridge_consensus20,50,0.2957550987112837,0.10002799206851143,0.18756984997658596,0.533283958381359,-0.24647061567644313,1.1270592223290183,95
ridge_consensus20,100,0.2957550987112837,0.0807817414592038,0.18762384160353415,0.4305515800593338,-0.2516058603496746,0.8496625073658113,95
value_tilt10,20,0.24595476816441428,0.11269578447169804,0.1843345502100273,0.6113655000828363,-0.2441630305776421,1.3288785347046486,95
value_tilt10,50,0.24595476816441428,0.10294998277523804,0.18437457579943775,0.5583740726119788,-0.24641121100245023,1.1722020927708017,95
value_tilt10,100,0.24595476816441428,0.08687738253913402,0.18445719018418485,0.4709894065521919,-0.2501453428038585,0.933879300722742,95
