signal_month,realization_month,stock_code,weight,reason,unresolved_delisting,return_was_zero_imputed
2024-02-29,2024-03-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-03-31,2024-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-03-31,2024-04-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-04-30,2024-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-04-30,2024-05-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-05-31,2024-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-05-31,2024-06-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-06-30,2024-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-06-30,2024-07-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-07-31,2024-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-07-31,2024-08-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-08-31,2024-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-08-31,2024-09-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-09-30,2024-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-09-30,2024-10-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-10-31,2024-11-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-10-31,2024-11-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-11-30,2024-12-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-11-30,2024-12-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2024-12-31,2025-01-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2024-12-31,2025-01-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-01-31,2025-02-28,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-01-31,2025-02-28,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-02-28,2025-03-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-02-28,2025-03-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-03-31,2025-04-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-03-31,2025-04-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-04-30,2025-05-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-04-30,2025-05-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-04-30,2025-05-31,600777,0.0021018726205413,special_treatment_state_B,False,False
2025-05-31,2025-06-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-05-31,2025-06-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-05-31,2025-06-30,600777,0.0021018726205413,special_treatment_state_B,False,False
2025-06-30,2025-07-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-06-30,2025-07-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-06-30,2025-07-31,603377,0.0036264255684284,special_treatment_state_B,False,False
2025-07-31,2025-08-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-07-31,2025-08-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-08-31,2025-09-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-08-31,2025-09-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-09-30,2025-10-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-09-30,2025-10-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-10-31,2025-11-30,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-10-31,2025-11-30,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
2025-11-30,2025-12-31,601313,0.0115684620122306,unresolved_delisting_or_code_change_state_X,True,False
2025-11-30,2025-12-31,000666,0.0022626294259714,unresolved_delisting_or_code_change_state_X,True,False
