series,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
turnover_aware_long_only_20bps,0.09054253215463715,0.18859289908301255,0.4800951286865961,-0.26583845198774503,0.9861131231647415,95,0.14944410038451622
turnover_aware_long_only_proxy_cost,0.0839880897868619,0.18847564035618788,0.4456177447023831,-0.2693892493753103,0.8935526035595907,95,0.14944410038451622
turnover_aware_industry_neutral_diagnostic_20bps,0.130040086210099,0.144677599696763,0.8988266772648738,-0.22737416474028904,1.6322449995155668,95,0.37822381081869094
turnover_aware_industry_neutral_diagnostic_proxy_cost,0.10941851965880245,0.14507807763410346,0.7542043666636059,-0.23098332071421668,1.275125403675272,95,0.37822381081869094
