refit_month,feature,standardized_coefficient
2018-07-31,long_term_reversal_12_1_missing,0.005973632794882427
2018-07-31,earnings_yield_missing,-0.004243580528971636
2018-07-31,book_to_market_missing,0.0006097016184466459
2018-07-31,sales_to_price_missing,-0.004710209042353649
2018-07-31,low_volatility_missing,0.0
2018-07-31,large_cap_stability_missing,0.0
2018-07-31,short_reversal_missing,0.0
2018-07-31,illiquidity_premium_missing,0.0
2018-07-31,roe_missing,0.000377922811015187
2018-07-31,roa_missing,-0.003997824479441196
2018-07-31,gross_margin_missing,0.00344706297609394
2018-07-31,cash_conversion_missing,0.0036064206166358977
2018-07-31,medium_reversal_3m_missing,0.0
2018-07-31,medium_reversal_6m_missing,0.0
2018-07-31,return_stability_6m_missing,0.0
2018-07-31,return_stability_12m_missing,0.0
2018-07-31,downside_stability_12m_missing,-0.0006125861554231073
2018-07-31,low_turnover_missing,0.0
2018-07-31,lottery_avoidance_missing,0.0
2018-07-31,residual_reversal_missing,0.0
2018-07-31,profitability_momentum_missing,-0.0023615892187687946
2018-07-31,value_composite_missing,0.0003397452146289338
2018-07-31,quality_composite_missing,0.0003039218770000166
2018-10-31,long_term_reversal_12_1,-0.007045068052756347
2018-10-31,earnings_yield,0.01205383231654885
2018-10-31,book_to_market,0.007064322485623142
2018-10-31,sales_to_price,0.005487819186756087
2018-10-31,low_volatility,0.0018091328712190478
2018-10-31,large_cap_stability,-0.0050984272395373145
2018-10-31,short_reversal,0.02468749644006876
2018-10-31,illiquidity_premium,0.016187965171469195
2018-10-31,roe,0.0020394195116421937
2018-10-31,roa,0.006621629690335285
2018-10-31,gross_margin,0.010799466861880542
2018-10-31,cash_conversion,0.006821679965299471
2018-10-31,medium_reversal_3m,0.009899029424549184
2018-10-31,medium_reversal_6m,-0.0038216175524072456
2018-10-31,return_stability_6m,-0.0029562847577874287
2018-10-31,return_stability_12m,0.008425546275652993
2018-10-31,downside_stability_12m,-0.0006855383278295372
2018-10-31,low_turnover,0.017197591533299948
2018-10-31,lottery_avoidance,0.007835092309215731
2018-10-31,residual_reversal,-0.01605430159933245
2018-10-31,profitability_momentum,0.005449278534020751
2018-10-31,value_composite,0.003602956650556187
2018-10-31,quality_composite,-0.009630954072347929
2018-10-31,long_term_reversal_12_1_missing,0.005928316107042794
2018-10-31,earnings_yield_missing,-0.0037484166931428865
2018-10-31,book_to_market_missing,0.0010089891023037987
2018-10-31,sales_to_price_missing,-0.003157234606751344
2018-10-31,low_volatility_missing,0.0
2018-10-31,large_cap_stability_missing,0.0
2018-10-31,short_reversal_missing,0.0
2018-10-31,illiquidity_premium_missing,0.0
2018-10-31,roe_missing,0.00028388675683735647
2018-10-31,roa_missing,-0.0036719095564498043
2018-10-31,gross_margin_missing,0.0038449589242105244
2018-10-31,cash_conversion_missing,0.0024339185710409487
2018-10-31,medium_reversal_3m_missing,0.0
2018-10-31,medium_reversal_6m_missing,0.0
2018-10-31,return_stability_6m_missing,0.0
2018-10-31,return_stability_12m_missing,0.0
2018-10-31,downside_stability_12m_missing,-0.0002036538012120026
2018-10-31,low_turnover_missing,0.0
2018-10-31,lottery_avoidance_missing,0.0
2018-10-31,residual_reversal_missing,0.0
2018-10-31,profitability_momentum_missing,-0.0028148583878695108
2018-10-31,value_composite_missing,-0.00023610739939332648
2018-10-31,quality_composite_missing,-0.0018822562299333602
2019-01-31,long_term_reversal_12_1,-0.006926944618252126
2019-01-31,earnings_yield,0.011649809937869184
2019-01-31,book_to_market,0.007346882123490499
2019-01-31,sales_to_price,0.006220177109543317
2019-01-31,low_volatility,0.0023079169758522425
2019-01-31,large_cap_stability,-0.0038432185294538807
2019-01-31,short_reversal,0.026023067383137997
2019-01-31,illiquidity_premium,0.016972176855130257
2019-01-31,roe,0.0024706711403323155
2019-01-31,roa,0.0067562500518628605
2019-01-31,gross_margin,0.010277345067074483
2019-01-31,cash_conversion,0.006633898326916599
2019-01-31,medium_reversal_3m,0.009518677863631364
2019-01-31,medium_reversal_6m,-0.003285618218605483
2019-01-31,return_stability_6m,-0.0015748825710525207
2019-01-31,return_stability_12m,0.008492761905589211
2019-01-31,downside_stability_12m,-0.0004932467812999475
2019-01-31,low_turnover,0.017591289460164337
2019-01-31,lottery_avoidance,0.0067959041558477715
2019-01-31,residual_reversal,-0.015098535097083289
2019-01-31,profitability_momentum,0.005378415802956686
2019-01-31,value_composite,0.0016424615159316197
2019-01-31,quality_composite,-0.009332981376255997
2019-01-31,long_term_reversal_12_1_missing,0.005977459458890971
2019-01-31,earnings_yield_missing,-0.0035742670833241734
2019-01-31,book_to_market_missing,0.0011183145019812782
2019-01-31,sales_to_price_missing,-0.003011676656678572
2019-01-31,low_volatility_missing,0.0
2019-01-31,large_cap_stability_missing,0.0
2019-01-31,short_reversal_missing,0.0
2019-01-31,illiquidity_premium_missing,0.0
2019-01-31,roe_missing,-0.001049108600641885
2019-01-31,roa_missing,-0.0037119710019124963
2019-01-31,gross_margin_missing,0.003702018083219444
2019-01-31,cash_conversion_missing,0.001634746953907909
2019-01-31,medium_reversal_3m_missing,0.0
2019-01-31,medium_reversal_6m_missing,0.0
2019-01-31,return_stability_6m_missing,0.0
2019-01-31,return_stability_12m_missing,0.0
2019-01-31,downside_stability_12m_missing,0.0002003889921364598
2019-01-31,low_turnover_missing,0.0
2019-01-31,lottery_avoidance_missing,0.0
2019-01-31,residual_reversal_missing,0.0
2019-01-31,profitability_momentum_missing,-0.003102294081543045
2019-01-31,value_composite_missing,-0.00019103473824331395
2019-01-31,quality_composite_missing,-0.00017438091584580256
2019-04-30,long_term_reversal_12_1,-0.003653375577277329
2019-04-30,earnings_yield,0.007688894679563406
2019-04-30,book_to_market,0.005774531067274893
2019-04-30,sales_to_price,0.004433701465079084
2019-04-30,low_volatility,0.0022871047663867348
2019-04-30,large_cap_stability,-0.002203355539176459
2019-04-30,short_reversal,0.01510354617641303
2019-04-30,illiquidity_premium,0.01595119705549197
2019-04-30,roe,0.0007248502123644035
2019-04-30,roa,0.0007418021247213335
2019-04-30,gross_margin,0.005928299249056228
2019-04-30,cash_conversion,0.002855360309083529
2019-04-30,medium_reversal_3m,0.008257649224690237
2019-04-30,medium_reversal_6m,-0.0008313198225862085
2019-04-30,return_stability_6m,-0.0008887455480777721
2019-04-30,return_stability_12m,0.005916863333255338
2019-04-30,downside_stability_12m,-0.00033853890787400914
2019-04-30,low_turnover,0.0139687176156214
2019-04-30,lottery_avoidance,0.004695697305344667
2019-04-30,residual_reversal,-0.0015256406158969792
2019-04-30,profitability_momentum,0.004494506388640189
2019-04-30,value_composite,0.0066901716535319134
2019-04-30,quality_composite,0.0011190825138862413
2019-04-30,long_term_reversal_12_1_missing,0.004731952939929471
2019-04-30,earnings_yield_missing,-0.0011484637925024872
2019-04-30,book_to_market_missing,0.00038414071134159624
2019-04-30,sales_to_price_missing,-0.002218902993418309
2019-04-30,low_volatility_missing,0.0
2019-04-30,large_cap_stability_missing,0.0
2019-04-30,short_reversal_missing,0.0
2019-04-30,illiquidity_premium_missing,0.0
2019-04-30,roe_missing,-0.0006186957108914638
2019-04-30,roa_missing,-0.0025796840862001504
2019-04-30,gross_margin_missing,0.0026963764614829403
2019-04-30,cash_conversion_missing,0.0006293459968869481
2019-04-30,medium_reversal_3m_missing,0.0
2019-04-30,medium_reversal_6m_missing,0.0
2019-04-30,return_stability_6m_missing,0.0
2019-04-30,return_stability_12m_missing,0.0
2019-04-30,downside_stability_12m_missing,0.001124273673205922
2019-04-30,low_turnover_missing,0.0
2019-04-30,lottery_avoidance_missing,0.0
2019-04-30,residual_reversal_missing,0.0
2019-04-30,profitability_momentum_missing,-0.0034320989112976217
2019-04-30,value_composite_missing,-0.00010846738254961556
2019-04-30,quality_composite_missing,-0.00230978902201453
2019-07-31,long_term_reversal_12_1,-0.0041851877259182855
2019-07-31,earnings_yield,0.006785606966185666
2019-07-31,book_to_market,0.004827500577512872
2019-07-31,sales_to_price,0.004258293524716743
2019-07-31,low_volatility,0.003422231988965685
2019-07-31,large_cap_stability,-0.003439044741956701
2019-07-31,short_reversal,0.01588734760631746
2019-07-31,illiquidity_premium,0.015393206343959133
2019-07-31,roe,0.0012512950032556643
2019-07-31,roa,0.001669508772078872
2019-07-31,gross_margin,0.005593647695052318
2019-07-31,cash_conversion,0.003144233221856069
2019-07-31,medium_reversal_3m,0.007733600395813532
2019-07-31,medium_reversal_6m,-0.0010022452649475486
2019-07-31,return_stability_6m,-0.00038957412315660433
2019-07-31,return_stability_12m,0.006733832865810141
2019-07-31,downside_stability_12m,-0.00031111540374786467
2019-07-31,low_turnover,0.014905195980983173
2019-07-31,lottery_avoidance,0.005348273312097507
2019-07-31,residual_reversal,-0.0016777360073904927
2019-07-31,profitability_momentum,0.005059863723606015
2019-07-31,value_composite,0.00602095919905269
2019-07-31,quality_composite,0.001314197317042411
2019-07-31,long_term_reversal_12_1_missing,0.004479203687408135
2019-07-31,earnings_yield_missing,-0.0013259113551130114
2019-07-31,book_to_market_missing,3.791276948089794e-05
2019-07-31,sales_to_price_missing,-0.0024009961237178904
2019-07-31,low_volatility_missing,0.0
2019-07-31,large_cap_stability_missing,0.0
2019-07-31,short_reversal_missing,0.0
2019-07-31,illiquidity_premium_missing,0.0
2019-07-31,roe_missing,-0.001502937665669144
2019-07-31,roa_missing,-0.0026795337674467884
2019-07-31,gross_margin_missing,0.0026444851123905025
2019-07-31,cash_conversion_missing,0.0005210308910338249
2019-07-31,medium_reversal_3m_missing,0.0
2019-07-31,medium_reversal_6m_missing,0.0
2019-07-31,return_stability_6m_missing,0.0
2019-07-31,return_stability_12m_missing,0.0
2019-07-31,downside_stability_12m_missing,0.0011752182940402138
2019-07-31,low_turnover_missing,0.0
2019-07-31,lottery_avoidance_missing,0.0
2019-07-31,residual_reversal_missing,0.0
2019-07-31,profitability_momentum_missing,-0.002970512597440386
2019-07-31,value_composite_missing,0.0003060179421618799
2019-07-31,quality_composite_missing,-0.0011465856959751788
2019-10-31,long_term_reversal_12_1,-0.004308568311520224
2019-10-31,earnings_yield,0.00664308789983498
2019-10-31,book_to_market,0.0035865224513850894
2019-10-31,sales_to_price,0.004066059532986304
2019-10-31,low_volatility,0.003549014429039888
2019-10-31,large_cap_stability,-0.0032882431798518666
2019-10-31,short_reversal,0.016136313178014457
2019-10-31,illiquidity_premium,0.014661212461417428
2019-10-31,roe,0.001296588730224189
2019-10-31,roa,0.0022994671075129997
2019-10-31,gross_margin,0.0060071912265116266
2019-10-31,cash_conversion,0.0032768091110171303
2019-10-31,medium_reversal_3m,0.00628071218220069
2019-10-31,medium_reversal_6m,-0.0008509723388693642
2019-10-31,return_stability_6m,0.0007515964307190596
2019-10-31,return_stability_12m,0.00639594616254055
2019-10-31,downside_stability_12m,-0.0010184852444703016
2019-10-31,low_turnover,0.015024325229549409
2019-10-31,lottery_avoidance,0.005113654587301496
2019-10-31,residual_reversal,-0.00212574493832634
2019-10-31,profitability_momentum,0.00489718409764069
2019-10-31,value_composite,0.005520462541897654
2019-10-31,quality_composite,0.001331052148821292
2019-10-31,long_term_reversal_12_1_missing,0.004324417929136911
2019-10-31,earnings_yield_missing,-0.0016521258273218134
2019-10-31,book_to_market_missing,0.0003429448313631211
2019-10-31,sales_to_price_missing,-0.0025746771141974324
2019-10-31,low_volatility_missing,0.0
2019-10-31,large_cap_stability_missing,0.0
2019-10-31,short_reversal_missing,0.0
2019-10-31,illiquidity_premium_missing,0.0
2019-10-31,roe_missing,-0.0024549867861989503
2019-10-31,roa_missing,-0.0024254851027976612
2019-10-31,gross_margin_missing,0.002581994132633296
2019-10-31,cash_conversion_missing,0.0005222956446251191
2019-10-31,medium_reversal_3m_missing,0.0
2019-10-31,medium_reversal_6m_missing,0.0
2019-10-31,return_stability_6m_missing,0.0
2019-10-31,return_stability_12m_missing,0.0
2019-10-31,downside_stability_12m_missing,0.0011914536774529955
2019-10-31,low_turnover_missing,0.0
2019-10-31,lottery_avoidance_missing,0.0
2019-10-31,residual_reversal_missing,0.0
2019-10-31,profitability_momentum_missing,-0.003222814648432856
2019-10-31,value_composite_missing,0.0003163453968487367
2019-10-31,quality_composite_missing,-0.00020953135295392536
2020-01-31,long_term_reversal_12_1,-0.004058149830593652
2020-01-31,earnings_yield,0.006143593495711076
2020-01-31,book_to_market,0.003245283762343713
2020-01-31,sales_to_price,0.004280513925673455
