target_type,portfolio_type,lambda_risk,lambda_turnover,uses_retrospective_test,development_50bps_annual_return,development_50bps_sharpe,selection_50bps_annual_return,selection_50bps_sharpe,selection_20bps_sharpe,selection_100bps_sharpe,selection_average_turnover,quarterly_selection_turnover,selection_mean_rank_ic,selection_mean_target_rank_ic,selection_decile_monotonicity,selection_average_invested_weight,selection_max_unresolved_weight,rank_ic_drop_vs_original_ridge,passes_constraints,selection_objective,selected,selection_status
original_1m,cost_aware,0.5,2.0,False,0.0263396200348218,0.1273813424225468,0.0091959212633232,0.0561791635778372,0.0975041147118666,-0.0121595152942873,0.1853920727087271,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0016015011004756,0.0,False,0.0353074138851647,True,failed_fallback_for_reporting_only
original_1m,cost_aware,1.0,2.0,False,0.0279999399306809,0.1344205633401203,0.0078843215365278,0.0475045115288442,0.088564686046728,-0.0203993698130723,0.1871740800862263,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0016434366469219,0.0,False,0.0275951041753117,False,not_selected
original_1m,cost_aware,2.0,2.0,False,0.0326310120731496,0.1534362339222902,0.0063424898704551,0.0373433917514324,0.0780544774246215,-0.0299787695784923,0.1900162749410556,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0017426350231331,0.0,False,0.0205265698006265,False,not_selected
original_1m,cost_aware,1.0,1.0,False,0.0343848590297153,0.1665772492774009,0.0054996689381452,0.0326979594974187,0.101917635697243,-0.0812392065533746,0.3204466549734623,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0,0.0,False,-0.0140982543904666,False,not_selected
original_1m,cost_aware,0.5,1.0,False,0.0336766195024571,0.1645120147623263,0.0043918723268865,0.0265065860587352,0.0965071973146594,-0.0887140081258032,0.3195150812605193,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0,0.0,False,-0.0204697813039293,False,not_selected
original_1m,cost_aware,2.0,1.0,False,0.0359083347890614,0.1710076067249093,0.0006618619647813,0.00379332793243,0.0707498832671161,-0.1064040302758835,0.3228694321322599,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0,0.0,False,-0.042722508755653,False,not_selected
residual_3m,cost_aware,1.0,2.0,False,-0.001192988781265,-0.005688043726429,-0.007634631281819,-0.0418092987274349,-0.0139798033183147,-0.0879113411188327,0.1408730254530383,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0026683804538749,0.0463766756503018,False,-0.0781651638359803,False,not_selected
original_1m,cost_aware,2.0,0.5,False,0.0402963291721176,0.1934432820755724,-0.0019938205655978,-0.0110834192912092,0.0802695597037689,-0.160823720362735,0.45486839068716,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0,0.0,False,-0.0861118605478847,False,not_selected
residual_3m,cost_aware,0.5,2.0,False,-0.0034387637428298,-0.0165253885783541,-0.0094691755802874,-0.0522542235253599,-0.0245177468375808,-0.0982057076725829,0.1395400462366267,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.002600758922357,0.0463766756503018,False,-0.0904443128001874,False,not_selected
residual_3m,cost_aware,2.0,2.0,False,-0.0005778799660713,-0.0027142041308003,-0.0113613719753278,-0.0608126324742001,-0.0331925875999397,-0.1065628007771448,0.1435049210324715,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0027621219728201,0.0463766756503018,False,-0.0972317035584781,False,not_selected
residual_3m,cost_aware,0.5,1.0,False,-0.0021008502567692,-0.0099002206889421,-0.0071544364609992,-0.0391293609493219,0.0067568751875143,-0.1148818020644677,0.2322068479831543,0.1469682583506449,0.0947726760444026,0.1053058862379209,0.9757575757575756,1.0,0.0008497422663564,0.0463766756503018,False,-0.0991611170828989,False,not_selected
original_1m,cost_aware,0.5,0.5,False,0.0367880757720617,0.1807836130674343,-0.004636787812667,-0.0266412966378338,0.0672913058127372,-0.1805747916837089,0.4533912204319411,0.1469682583506449,0.1411493516947044,0.1411493516947044,0.9757575757575756,1.0,0.0,0.0,False,-0.1038323791323322,False,not_selected
