refit_month,target_type,feature,standardized_coefficient
2018-07-31,original_1m,sales_to_price,0.006785111810928708
2018-07-31,original_1m,low_volatility,0.0017952468094904203
2018-07-31,original_1m,large_cap_stability,-0.00692001310344534
2018-07-31,original_1m,short_reversal,0.023821449423853017
2018-07-31,original_1m,illiquidity_premium,0.015237129211150424
2018-07-31,original_1m,roe,0.0033133625527810295
2018-07-31,original_1m,roa,0.007016543323641477
2018-07-31,original_1m,gross_margin,0.01235064771340183
2018-07-31,original_1m,cash_conversion,0.006675340102213276
2018-07-31,original_1m,medium_reversal_3m,0.011243806115518385
2018-07-31,original_1m,medium_reversal_6m,-0.004780701280246161
2018-07-31,original_1m,return_stability_6m,-0.0021477974326897437
2018-07-31,original_1m,return_stability_12m,0.007921971531637944
2018-07-31,original_1m,downside_stability_12m,-0.0013596210676351164
2018-07-31,original_1m,low_turnover,0.01690264694632297
2018-07-31,original_1m,lottery_avoidance,0.006984743428086123
2018-07-31,original_1m,residual_reversal,-0.013808934734976585
2018-07-31,original_1m,profitability_momentum,0.005927655500604926
2018-07-31,original_1m,value_composite,0.0016715532546989881
2018-07-31,original_1m,quality_composite,-0.010253914904062992
2018-07-31,original_1m,long_term_reversal_12_1_missing,0.0058526219618723055
2018-07-31,original_1m,earnings_yield_missing,-0.004030151645366383
2018-07-31,original_1m,book_to_market_missing,0.0007553706044300762
2018-07-31,original_1m,sales_to_price_missing,-0.0040271381972934745
2018-07-31,original_1m,low_volatility_missing,0.0
2018-07-31,original_1m,large_cap_stability_missing,0.0
2018-07-31,original_1m,short_reversal_missing,0.0
2018-07-31,original_1m,illiquidity_premium_missing,0.0
2018-07-31,original_1m,roe_missing,5.808509811348578e-05
2018-07-31,original_1m,roa_missing,-0.0033003481857962255
2018-07-31,original_1m,gross_margin_missing,0.003528812238877835
2018-07-31,original_1m,cash_conversion_missing,0.0037168705673613087
2018-07-31,original_1m,medium_reversal_3m_missing,0.0
2018-07-31,original_1m,medium_reversal_6m_missing,0.0
2018-07-31,original_1m,return_stability_6m_missing,0.0
2018-07-31,original_1m,return_stability_12m_missing,0.0
2018-07-31,original_1m,downside_stability_12m_missing,-0.0010254783900495593
2018-07-31,original_1m,low_turnover_missing,0.0
2018-07-31,original_1m,lottery_avoidance_missing,0.0
2018-07-31,original_1m,residual_reversal_missing,0.0
2018-07-31,original_1m,profitability_momentum_missing,-0.0015388429791347602
2018-07-31,original_1m,value_composite_missing,0.00011996054350729536
2018-07-31,original_1m,quality_composite_missing,-2.3958884107528635e-05
2018-10-31,original_1m,long_term_reversal_12_1,-0.007065528006891161
2018-10-31,original_1m,earnings_yield,0.012111927095240463
2018-10-31,original_1m,book_to_market,0.00623522445233623
2018-10-31,original_1m,sales_to_price,0.004875536431391208
2018-10-31,original_1m,low_volatility,0.001706062159948788
2018-10-31,original_1m,large_cap_stability,-0.0034892500975058803
2018-10-31,original_1m,short_reversal,0.02380201550430983
2018-10-31,original_1m,illiquidity_premium,0.016352344361988586
2018-10-31,original_1m,roe,0.001621043961665686
2018-10-31,original_1m,roa,0.0051527524774808596
2018-10-31,original_1m,gross_margin,0.010486638670526058
2018-10-31,original_1m,cash_conversion,0.00609562988362846
2018-10-31,original_1m,medium_reversal_3m,0.01071831907660391
2018-10-31,original_1m,medium_reversal_6m,-0.0031531601860456024
2018-10-31,original_1m,return_stability_6m,-0.003154732400721142
2018-10-31,original_1m,return_stability_12m,0.00851060375638193
2018-10-31,original_1m,downside_stability_12m,-0.0009502419832126777
2018-10-31,original_1m,low_turnover,0.016439355620948736
2018-10-31,original_1m,lottery_avoidance,0.007811366320352864
2018-10-31,original_1m,residual_reversal,-0.015317385934143942
2018-10-31,original_1m,profitability_momentum,0.006095146306357816
2018-10-31,original_1m,value_composite,0.004998397758212548
2018-10-31,original_1m,quality_composite,-0.0080302369513069
2018-10-31,original_1m,long_term_reversal_12_1_missing,0.006010588108889529
2018-10-31,original_1m,earnings_yield_missing,-0.0038766731381386014
2018-10-31,original_1m,book_to_market_missing,0.001019895772395533
2018-10-31,original_1m,sales_to_price_missing,-0.003259933209186139
2018-10-31,original_1m,low_volatility_missing,0.0
2018-10-31,original_1m,large_cap_stability_missing,0.0
2018-10-31,original_1m,short_reversal_missing,0.0
2018-10-31,original_1m,illiquidity_premium_missing,0.0
2018-10-31,original_1m,roe_missing,0.0004668827184147865
2018-10-31,original_1m,roa_missing,-0.004016851689645573
2018-10-31,original_1m,gross_margin_missing,0.0036584475144030965
2018-10-31,original_1m,cash_conversion_missing,0.0029435156238456386
2018-10-31,original_1m,medium_reversal_3m_missing,0.0
2018-10-31,original_1m,medium_reversal_6m_missing,0.0
2018-10-31,original_1m,return_stability_6m_missing,0.0
2018-10-31,original_1m,return_stability_12m_missing,0.0
2018-10-31,original_1m,downside_stability_12m_missing,2.583777670230132e-05
2018-10-31,original_1m,low_turnover_missing,0.0
2018-10-31,original_1m,lottery_avoidance_missing,0.0
2018-10-31,original_1m,residual_reversal_missing,0.0
2018-10-31,original_1m,profitability_momentum_missing,-0.0033463720654719727
2018-10-31,original_1m,value_composite_missing,-0.00020959691759692264
2018-10-31,original_1m,quality_composite_missing,-0.0013213003850418945
2019-01-31,original_1m,long_term_reversal_12_1,-0.005968209833401855
2019-01-31,original_1m,earnings_yield,0.011612329661880574
2019-01-31,original_1m,book_to_market,0.00653846903884803
2019-01-31,original_1m,sales_to_price,0.0053523078727705274
2019-01-31,original_1m,low_volatility,0.0018669034881726386
2019-01-31,original_1m,large_cap_stability,-0.006020340765400435
2019-01-31,original_1m,short_reversal,0.02759090675643708
2019-01-31,original_1m,illiquidity_premium,0.01624887156481126
2019-01-31,original_1m,roe,0.0008421178433067033
2019-01-31,original_1m,roa,0.005160824537987166
2019-01-31,original_1m,gross_margin,0.00905555372822629
2019-01-31,original_1m,cash_conversion,0.005579168118593216
2019-01-31,original_1m,medium_reversal_3m,0.009014014073288813
2019-01-31,original_1m,medium_reversal_6m,-0.0027646751042337235
2019-01-31,original_1m,return_stability_6m,-0.0020392482809713777
