series,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
turnover_aware_long_only,0,0.0978913735249689,0.1894742849463736,0.5166472777700406,-0.26701588023560685,1.0945707474700748,95,0.18718933658084527
turnover_aware_long_only,20,0.092981345734936,0.1895671546694786,0.49049291211367496,-0.26863836567421007,1.0215489833050793,95,0.18718933658084527
turnover_aware_long_only,50,0.08565274522581023,0.18971222946323907,0.4514877373385533,-0.271066370845914,0.9166959908465144,95,0.18718933658084527
turnover_aware_long_only,100,0.07353501555019881,0.1899693683736295,0.3870888037358266,-0.27509782437039176,0.7537258252332681,95,0.18718933658084527
turnover_aware_long_only,150,0.06153711745619539,0.1902456238472485,0.3234614085294525,-0.27911031478830983,0.6044279103837911,95,0.18718933658084527
turnover_aware_long_only,200,0.04965799215075384,0.19054091273574753,0.26061590362812126,-0.28310391585076633,0.46767044969563143,95,0.18718933658084527
turnover_aware_industry_neutral_diagnostic,0,0.17021647359959746,0.15243012172318865,1.1166852829043108,-0.22773611896785062,2.4708896773857245,95,0.4362269614915045
turnover_aware_industry_neutral_diagnostic,20,0.15815336156596982,0.15252620527761215,1.0368930458744168,-0.2299021017460091,2.1975308049286695,95,0.4362269614915045
turnover_aware_industry_neutral_diagnostic,50,0.14026763262785447,0.152697094234621,0.9186005361197738,-0.23490947469360712,1.8268567891066345,95,0.4362269614915045
turnover_aware_industry_neutral_diagnostic,100,0.11100757482034562,0.153053000728499,0.72528845754068,-0.25113639616984984,1.3010518669511266,95,0.4362269614915045
turnover_aware_industry_neutral_diagnostic,150,0.08242207079459152,0.15349722258545812,0.5369613169951907,-0.26705058547251814,0.8720037985197986,95,0.4362269614915045
turnover_aware_industry_neutral_diagnostic,200,0.05449715215003237,0.15402899569903075,0.3538109944994941,-0.28643245000772033,0.5220987825662251,95,0.4362269614915045
current_advanced_long_only,0,0.11618058482248927,0.18915318775554213,0.6142142577720593,-0.2488628923838614,1.3872496590727459,95,0.34863627590615204
current_advanced_long_only,20,0.10693216295985652,0.18923455978150347,0.5650773467770579,-0.25380304950734345,1.2350708845163099,95,0.34863627590615204
current_advanced_long_only,50,0.09319025807596937,0.18936043517435977,0.4921316218467781,-0.26116120692361766,1.0246099955524302,95,0.34863627590615204
current_advanced_long_only,100,0.07063173451664229,0.189580384371451,0.37256879054665926,-0.2732870087938948,0.7165279828400275,95,0.34863627590615204
current_advanced_long_only,150,0.048497669248331654,0.18981299119158296,0.25550237074859516,-0.28660874428213556,0.4548753957713143,95,0.34863627590615204
current_advanced_long_only,200,0.02678082945141358,0.19005820916085003,0.14090856464267973,-0.3021455690700737,0.23272309691881654,95,0.34863627590615204
current_advanced_industry_neutral_diagnostic,0,0.23894958862162574,0.1581761257732734,1.5106552107878244,-0.21533108284382885,4.262179732318462,93,1.1317216425133394
current_advanced_industry_neutral_diagnostic,20,0.20617831730796787,0.1583142703069271,1.302335644842665,-0.2193448385450495,3.2750308992390647,93,1.1317216425133394
current_advanced_industry_neutral_diagnostic,50,0.15850638615158785,0.1585335721673569,0.9998285157181702,-0.22534621897481955,2.127611843792914,93,1.1317216425133394
current_advanced_industry_neutral_diagnostic,100,0.08286876690364098,0.15893115141639153,0.5214129902483939,-0.23529717803227312,0.8533722821168837,93,1.1317216425133394
current_advanced_industry_neutral_diagnostic,150,0.011774760537629714,0.15936856316047612,0.07388383445343058,-0.26910541686704037,0.0949638239918158,93,1.1317216425133394
current_advanced_industry_neutral_diagnostic,200,-0.05502470096343992,0.1598454803991237,-0.34423682687835055,-0.3760740056221181,-0.35507600137706063,93,1.1317216425133394
