signal_month,realization_month,period,target_type,portfolio_type,lambda_risk,lambda_turnover,gross_return,turnover,explicit_cost_20bps,impact_proxy_cost,net_return_20bps,net_return_50bps,net_return_100bps,proxy_net_return,invested_weight,cash_weight,holdings,unresolved_return_weight,rank_ic,target_rank_ic,maximum_feature_month
2018-01-31,2018-02-28,development,original_1m,cost_aware,0.5,2.0,-0.03724090891851005,1.0,0.002,0.0029165852411621044,-0.03924090891851005,-0.042240908918510046,-0.04724090891851005,-0.04015749415967215,1.0,0.0,150,0.0,0.049008904085227144,0.049008904085227144,2018-01-31
2018-02-28,2018-03-31,development,original_1m,cost_aware,0.5,2.0,0.05487486531126302,0.19620934004471766,0.0003924186800894353,0.0010107914801387396,0.05448244663117358,0.05389381861103943,0.052912771910815844,0.05386407383112428,1.0,0.0,200,0.0,0.03352810666504062,0.03352810666504062,2018-02-28
2018-03-31,2018-04-30,development,original_1m,cost_aware,0.5,2.0,-0.06140922619524852,0.19855830599228466,0.0003971166119845693,0.0010031050924145682,-0.06180634280723309,-0.062402017725209945,-0.06339480925517137,-0.06241233128766309,1.0,0.0,200,0.0,0.1593106370157467,0.1593106370157467,2018-03-31
2018-04-30,2018-05-31,development,original_1m,cost_aware,0.5,2.0,-0.02155436834805877,0.3117392184377221,0.0006234784368754443,0.0016454195492112598,-0.022177846784934216,-0.02311306444024738,-0.024671760532435992,-0.02319978789727003,0.9999999999999999,1.1102230246251565e-16,200,0.0,0.09435698642291122,0.09435698642291122,2018-04-30
2018-05-31,2018-06-30,development,original_1m,cost_aware,0.5,2.0,-0.11272714676099023,0.25342026877776774,0.0005068405375555355,0.0013264801123902797,-0.11323398729854577,-0.11399424810487907,-0.11526134944876791,-0.11405362687338051,0.9999999999999999,1.1102230246251565e-16,200,0.0,0.03211355401361483,0.03211355401361483,2018-05-31
2018-06-30,2018-07-31,development,original_1m,cost_aware,0.5,2.0,-0.00876826741056268,0.23023360870608295,0.0004604672174121659,0.0013390065596875452,-0.009228734627974846,-0.009919435454093095,-0.01107060349762351,-0.010107273970250226,1.0,0.0,200,0.0,0.28974514640480936,0.28974514640480936,2018-06-30
2018-07-31,2018-08-31,development,original_1m,cost_aware,0.5,2.0,-0.08424961251490118,0.21168489655337303,0.00042336979310674607,0.0011301908163892185,-0.08467298230800792,-0.08530803699766805,-0.0863664614804349,-0.0853798033312904,1.0,0.0,200,0.0,0.157217535295138,0.157217535295138,2018-07-31
2018-08-31,2018-09-30,development,original_1m,cost_aware,0.5,2.0,0.0032751532512279237,0.18795098305895566,0.0003759019661179113,0.0010238767168242544,0.0028992512851100122,0.0023353983359331453,0.001395643420638367,0.0022512765344036693,1.0000000000000002,0.0,200,0.0,0.0442847583412701,0.0442847583412701,2018-08-31
2018-09-30,2018-10-31,development,original_1m,cost_aware,0.5,2.0,-0.08751685280234808,0.17890659436418574,0.0003578131887283715,0.0009621406663393918,-0.08787466599107645,-0.08841138577416902,-0.08930591874598993,-0.08847899346868747,1.0,0.0,200,0.0,0.1316485143715768,0.1316485143715768,2018-09-30
2018-10-31,2018-11-30,development,original_1m,cost_aware,0.5,2.0,0.044152284479423064,0.1657006909504403,0.0003314013819008806,0.001037091897310689,0.04382088309752218,0.04332378102467086,0.04249527756991866,0.043115192582112376,1.0,0.0,200,0.0,0.1682021086437944,0.1682021086437944,2018-10-31
