month,gross_return,turnover,holdings,mlp_weight,net_return,ridge_return,benchmark_return
2018-02-28,-0.05417807206751041,1.0,244,1.0,-0.05617807206751041,-0.037646172358019,-0.0589949465566848
2018-03-31,0.025176359277173262,0.5043103448275862,232,1.0,0.02416773858751809,0.0195538092590271,-0.0311006783355806
2018-04-30,-0.03279092210181372,0.5795918367346939,245,1.0,-0.0339501057752831,-0.0352195552237286,-0.0363264014205703
2018-05-31,0.0027719753013593306,0.6963562753036437,247,1.0,0.0013792627507520432,-0.0086495142120277,0.0121069510916991
2018-06-30,-0.10162096815536771,0.57421875,256,1.0,-0.10276940565536771,-0.1045496263648496,-0.0766336028869925
2018-07-31,0.02531289395573334,0.5058365758754864,257,1.0,0.024301220803982365,0.0166030469967295,0.0019036905188696
2018-08-31,-0.07998817332889394,0.6526717557251909,262,1.0,-0.08129351684034432,-0.0700951547118358,-0.0520686312769598
2018-09-30,0.006839258302985767,0.5094339622641509,265,1.0,0.005820390378457465,-0.002624811386741,0.031298879206058
2018-10-31,-0.08569582379571307,0.4850746268656716,268,1.0,-0.08666597304944441,-0.0908314446752109,-0.0828875907452079
2018-11-30,0.04954930123573191,0.5555555555555556,270,1.0,0.0484381901246208,0.0542186788620678,0.0059823117150232
2018-12-31,-0.028168391390678695,0.4817518248175182,274,1.0,-0.029131895040313733,-0.0311799972550155,-0.0510697646572831
2019-01-31,0.005872718035219596,0.46545454545454545,275,1.0,0.0049418089443105054,0.0061860344821492,0.0634343902762757
2019-02-28,0.17367232436585778,0.4782608695652174,276,0.75,0.17271580262672734,0.2017692122448178,0.1460952519600677
2019-03-31,0.10624759625375065,0.44043321299638993,277,0.75,0.10536672982775787,0.1191762823535744,0.0553142247980269
2019-04-30,-0.010263509296585623,0.45683453237410077,278,0.75,-0.011177178361333825,-0.0245525792986534,0.0105537873622467
2019-05-31,-0.05158501129974228,0.5890909090909091,275,1.0,-0.0527631931179241,-0.0461207558810723,-0.0724256836798834
2019-06-30,0.016854473636878663,0.48,275,1.0,0.015894473636878664,0.0153692991161975,0.053942943677695
