signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return
2018-01-31,2018-02-28,-0.027308430483876895,0.9999999999999977,240,0.75,0.2,-0.02930843048387689
2018-02-28,2018-03-31,-0.011799240095446561,0.07916666666666894,227,0.75,0.2,-0.0119575734287799
2018-03-31,2018-04-30,-0.04898030529883444,0.15226337448559954,243,0.75,0.2,-0.049284832047805635
2018-04-30,2018-05-31,0.02101401152320052,0.1475409836065586,244,0.75,0.2,0.020718929555987402
2018-05-31,2018-06-30,-0.08270270487513838,0.14682539682539786,252,0.75,0.2,-0.08299635566878917
2018-06-30,2018-07-31,0.00937648032475362,0.059523809523810374,251,0.75,0.2,0.009257432705705998
2018-07-31,2018-08-31,-0.07184357487694501,0.13846153846153988,260,0.75,0.2,-0.07212049795386809
2018-08-31,2018-09-30,0.00460521182155031,0.10227272727272799,264,0.75,0.2,0.004400666367004855
2018-09-30,2018-10-31,-0.08811133412425105,0.109433962264151,265,0.75,0.2,-0.08833020204877935
2018-10-31,2018-11-30,0.028016649918406012,0.1835205992509368,267,0.75,0.2,0.02764960871990414
2018-11-30,2018-12-31,-0.02697638868932235,0.22058823529412103,272,0.75,0.2,-0.027417565159910593
2018-12-31,2019-01-31,0.02081941894913914,0.10181818181818524,275,0.75,0.2,0.02061578258550277
2019-01-31,2019-02-28,0.1559955188004255,0.11231884057971103,276,0.75,0.2,0.15577088111926607
2019-02-28,2019-03-31,0.09374388417840558,0.13405797101449388,275,0.75,0.2,0.0934757682363766
2019-03-31,2019-04-30,-0.011033907171895885,0.15162454873646283,277,0.75,0.2,-0.011337156269368811
2019-04-30,2019-05-31,-0.05119963845954883,0.1696750902527075,274,0.75,0.2,-0.05153898864005425
2019-05-31,2019-06-30,0.03076038912727786,0.12408759124087582,274,0.75,0.2,0.03051221394479611
2019-06-30,2019-07-31,0.0012890936149248966,0.115942028985509,276,0.75,0.2,0.0010572095569538786
2019-07-31,2019-08-31,-0.022010627256413253,0.19784172661870839,278,0.75,0.2,-0.02240631070965067
2019-08-31,2019-09-30,0.013114738362493609,0.19064748201438822,278,0.75,0.2,0.012733443398464833
2019-09-30,2019-10-31,0.004901640091604357,0.1857142857142855,280,0.75,0.2,0.004530211520175786
2019-10-31,2019-11-30,-0.013212485452616702,0.21785714285714233,280,0.75,0.2,-0.013648199738330986
2019-11-30,2019-12-31,0.09085618343750664,0.19642857142857098,280,0.75,0.2,0.0904633262946495
2019-12-31,2020-01-31,0.004390337889722238,0.16785714285714548,279,0.75,0.2,0.004054623604007947
2020-01-31,2020-02-29,0.010830366981708814,0.1908127208480578,283,0.75,0.2,0.010448741540012699
2020-02-29,2020-03-31,-0.03516716778561752,0.21678321678321627,286,0.75,0.2,-0.03560073421918395
2020-03-31,2020-04-30,0.05266497239741547,0.2237762237762235,286,0.75,0.2,0.05221741994986302
2020-04-30,2020-05-31,0.026306532620087742,0.23076923076923048,286,0.75,0.2,0.02584499415854928
2020-05-31,2020-06-30,0.08826339368060718,0.16376306620209524,287,0.75,0.2,0.08793586754820298
2020-06-30,2020-07-31,0.1393986504396434,0.17241379310345092,290,0.75,0.2,0.13905382285343648
2020-07-31,2020-08-31,0.03553521848211809,0.1790540540540545,296,0.75,0.2,0.03517711037400998
2020-08-31,2020-09-30,-0.06931971819710286,0.17845117845118166,297,0.75,0.2,-0.06967662055400523
2020-09-30,2020-10-31,0.006366711161565676,0.1414141414141451,296,0.75,0.2,0.006083882878737386
2020-10-31,2020-11-30,0.020079972550559416,0.17171717171717488,297,0.75,0.2,0.019736538207125065
2020-11-30,2020-12-31,0.023652228794701052,0.15666666666666765,300,0.75,0.2,0.023338895461367717
2020-12-31,2021-01-31,0.0018377701207495398,0.13953488372093428,301,0.75,0.2,0.0015587003533076712
2021-01-31,2021-02-28,0.01353302365824023,0.16721311475410405,305,0.75,0.2,0.013198597428732022
2021-02-28,2021-03-31,0.00273158668840101,0.12987012987013302,308,0.75,0.2,0.002471846428660744
2021-03-31,2021-04-30,0.019556047493605226,0.1214057507987224,313,0.75,0.2,0.019313235992007783
2021-04-30,2021-05-31,0.028587649169072957,0.21405750798721979,313,0.75,0.2,0.028159534153098516
2021-05-31,2021-06-30,0.0007038184519811932,0.16507936507936832,315,0.75,0.2,0.00037365972182245655
2021-06-30,2021-07-31,-0.05016551856066286,0.13564668769716184,317,0.75,0.2,-0.05043681193605719
2021-07-31,2021-08-31,0.04248379669252343,0.2173913043478264,322,0.75,0.2,0.04204901408382778
2021-08-31,2021-09-30,-0.0025099064500968067,0.23619631901840796,326,0.75,0.2,-0.0029822990881336227
2021-09-30,2021-10-31,-0.027985990309569823,0.256797583081572,331,0.75,0.2,-0.028499585475732968
2021-10-31,2021-11-30,0.05583456041964122,0.3573573573573634,333,0.75,0.2,0.05511984570492649
2021-11-30,2021-12-31,0.059871305469832437,0.29080118694362483,337,0.75,0.2,0.05928970309594519
