series,block_months,simulations,annual_excess_estimate,ci_2.5%,median,ci_97.5%,probability_positive
long_only_excess,6,5000,0.0929279904617834,0.005484596421292869,0.09294048296411817,0.17895084451840362,0.9802
industry_neutral_long_short,6,5000,0.20137846216313188,0.11440572237771154,0.20786150189867864,0.29348363413299716,1.0
