beta_group,period,sample_count,mean_rank_ic,g10_minus_g1_return,average_turnover,average_net_return_20bps,average_net_return_50bps,months,retrospective_change_vs_prior
1,development,27354,0.11144191750347186,0.018110110348498094,0.6311330452437721,0.015585578167523007,0.011798779896060376,48,-0.025450290231310263
1,retrospective_test,19200,0.10466528904480076,0.0030419148577833927,0.6374429698798223,0.000492142978264102,-0.0033325148410148285,23,-0.025450290231310263
1,selection,18121,0.16353673315493775,0.038874299829689214,0.608143789592244,0.03644172467132024,0.03279286193376678,24,-0.025450290231310263
2,development,27371,0.09213464400253098,0.01352602900348652,0.7171765299043079,0.010657322883869287,0.00635426370444344,48,-0.013455240725760258
2,retrospective_test,19208,0.1043748972669277,0.00481058023095949,0.672048898517871,0.0021223846368880078,-0.001909908754219218,23,-0.013455240725760258
2,selection,18134,0.12898639470022036,0.023005612909952972,0.7037956542392917,0.020190430292995807,0.01596765636756006,24,-0.013455240725760258
3,development,27377,0.10787675318046704,0.018057222083569833,0.7320926859402719,0.015128851339808748,0.010736295224167115,48,-0.008065155204858912
3,retrospective_test,19207,0.1032942957098108,0.013560067660617608,0.704865211489801,0.010740606814658403,0.006511415545719598,23,-0.008065155204858912
3,selection,18132,0.14788761092705888,0.025193223647383207,0.728059796212897,0.022280984462531617,0.01791262568525424,24,-0.008065155204858912
4,development,27371,0.10598665140222248,0.014957240733621958,0.7221959840723081,0.012068456797332726,0.007735280892898877,48,-0.008291126389774976
4,retrospective_test,19208,0.08996647782379509,0.012201920455885022,0.6961474134684474,0.009417330802011233,0.005240446321200549,23,-0.008291126389774976
4,selection,18134,0.12733686385801488,0.026028852957698037,0.7115401882930161,0.02318269220452597,0.018913451074767874,24,-0.008291126389774976
5,development,27395,0.1265872015734453,0.03202814105429125,0.6706037281593442,0.02934572614165387,0.025322103772697807,48,0.0020544700122807104
5,retrospective_test,19218,0.12558808911338404,0.02852067682554354,0.6536663241361143,0.025906011528999087,0.0219840135841824,23,0.0020544700122807104
5,selection,18141,0.12602277867198244,0.02090427257223441,0.6560131626502639,0.018280219921633353,0.01434414094573177,24,0.0020544700122807104
