cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months
0,0.11591787638719842,0.18385365718266666,0.6304899133555387,-0.23848568287433536,1.382805124670342,95
20,0.10577718580245721,0.18381188025265963,0.5754643587621247,-0.2419235234983863,1.2166750572719471,95
50,0.09072302541670663,0.18375623322868936,0.49371400263630505,-0.24771385734428997,0.9887169573117118,95
100,0.06604591231926471,0.18368222202959616,0.3595661659004916,-0.2572766190585182,0.6591766025162793,95
150,0.04187692853460412,0.18363165189433325,0.22804853140841572,-0.2667305929768655,0.38371505685761376,95
200,0.01820662495530656,0.18360454219199399,0.09916217070636532,-0.27804238232383316,0.1535445039978942,95
