signal_month,month,period,maximum_feature_month,active_sleeve,sleeves,long_monthly_turnover_cap,diagnostic_leg_monthly_turnover_cap,gross_return,turnover,invested_weight,missing_forward_return_weight,net_return_20bps,holdings,rank_ic,long_short_gross_return,diagnostic_long_turnover,diagnostic_short_turnover,long_short_turnover,diagnostic_long_invested_weight,diagnostic_short_invested_weight,diagnostic_long_missing_forward_return_weight,diagnostic_short_missing_forward_return_weight,long_short_net_return_20bps
2018-01-31,2018-02-28,development,2018-01-31,0,2,0.15,0.2,-0.0437265159590871,1.0,1.0,0.0,-0.045726515959087104,241,0.05583624725027071,0.009842208844525295,1.0,1.0,2.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.005842208844525295
2018-02-28,2018-03-31,development,2018-02-28,1,2,0.15,0.2,0.0293510607691141,0.10269709543568459,0.9315352697095435,0.0,0.029145666578242732,228,-0.006189580816632253,-0.02313222132284119,0.10263652164162368,0.10019342901995963,0.20282995066158332,0.9461902893025341,0.9377719219555953,0.0,0.0,-0.023537881224164357
2018-03-31,2018-04-30,development,2018-03-31,0,2,0.15,0.2,-0.0328383627696768,0.11887602824488606,0.9385964912280701,0.0,-0.03307611482616657,258,0.15893200074008715,0.037150528691173225,0.16628726054746462,0.07625760010964092,0.24254486065710554,0.9183641755070325,0.9813775510204081,0.0,0.0,0.036665438969859014
2018-04-30,2018-05-31,development,2018-04-30,1,2,0.15,0.2,-0.016269877077728128,0.15000000000000002,0.9301208979904559,0.0,-0.01656987707772813,316,0.09531296204571157,0.021393249417811993,0.20000000000000004,0.16721633135855074,0.3672163313585508,0.8958306732441902,0.98544703595724,0.0,0.0,0.020658816755094893
2018-05-31,2018-06-30,development,2018-05-31,0,2,0.15,0.2,-0.08880020810556591,0.14999999999999997,0.870685592856377,0.0,-0.0891002081055659,358,0.03683141314449953,0.012635167070331466,0.19999999999999998,0.1712951299567446,0.3712951299567446,0.8846884483824207,0.9860119047619047,0.0,0.0,0.011892576810417976
2018-06-30,2018-07-31,development,2018-06-30,1,2,0.15,0.2,0.011097929236896249,0.15,0.906112449223298,0.0,0.010797929236896249,379,0.2891675474858857,0.04091493738714608,0.16909809125514577,0.14202449789439583,0.3111225891495416,0.956288204170557,0.9865555555555555,0.0,0.0,0.04029269220884699
2018-07-31,2018-08-31,development,2018-07-31,0,2,0.15,0.2,-0.06647477214846317,0.15,0.9414724401481352,0.0,-0.06677477214846317,401,0.15901766585334381,0.049186589743050374,0.20000000000000004,0.15889045708595423,0.35889045708595424,0.9511610206889793,0.9926202623906705,0.0,0.0,0.04846880882887847
2018-08-31,2018-09-30,development,2018-08-31,1,2,0.15,0.2,0.004968375456018196,0.15,0.9486257862498195,0.0,0.004668375456018196,435,0.05490073882890644,0.0191082672803237,0.18518198315950904,0.2,0.385181983159509,0.9584580260675699,0.9922057673340267,0.0,0.0,0.018337903314004683
2018-09-30,2018-10-31,development,2018-09-30,0,2,0.15,0.2,-0.08345424030975103,0.15,0.9587454014241109,0.0,-0.08375424030975102,472,0.1264363738115622,0.02269017425919513,0.18508349841768207,0.19518794215841118,0.38027144057609324,0.9752352941176471,1.0,0.0,0.0,0.021929631378042946
2018-10-31,2018-11-30,development,2018-10-31,1,2,0.15,0.2,0.04567081608925676,0.1296245810717135,0.9719101123595506,0.0,0.04541156692711333,370,0.16443590673321404,-0.007727495575349838,0.1341372661243985,0.14533770559505854,0.279474971719457,0.9817059676434677,0.9918536324786326,0.0,0.0,-0.008286445518788751
2018-11-30,2018-12-31,development,2018-11-30,0,2,0.15,0.2,-0.038582085892796755,0.15,0.908160935823821,0.0,-0.03888208589279676,404,0.15526480791720448,0.026091217086647862,0.2,0.16566905599009538,0.36566905599009536,0.8676527295507073,0.9916437728937729,0.0,0.0,0.025359878974667672
2018-12-31,2019-01-31,development,2018-12-31,1,2,0.15,0.2,0.0024026474229418204,0.15,0.9177587048859491,0.0,0.0021026474229418205,439,0.2893660306652343,0.04545672472426964,0.2,0.15905093469748643,0.35905093469748645,0.936170017281413,1.0,0.0,0.0,0.04473862285487467
2019-01-31,2019-02-28,development,2019-01-31,0,2,0.15,0.2,0.19446414516254903,0.15,0.9424669878914754,0.0,0.19416414516254904,475,-0.17088425356313391,-0.06768160695761824,0.1927352564462433,0.1986523152500982,0.39138757169634153,0.9720184808008084,0.9915865384615384,0.0,0.0,-0.06846438210101093
2019-02-28,2019-03-31,development,2019-02-28,1,2,0.15,0.2,0.09423492551222824,0.15000000000000002,0.9398095465620567,0.0,0.09393492551222825,515,0.10368719791401165,-0.0292493596885917,0.2,0.20000000000000004,0.4,0.9542881561152936,0.9902924072058042,0.0,0.0,-0.0300493596885917
2019-03-31,2019-04-30,development,2019-03-31,0,2,0.15,0.2,-0.01772444646460519,0.15,0.9343203031164203,0.0,-0.01802444646460519,540,0.2879360947674245,0.02827309647385542,0.19999999999999998,0.20000000000000004,0.4,0.941198085639843,0.9915102360141205,0.0,0.0,0.027473096473855423
2019-04-30,2019-05-31,development,2019-04-30,1,2,0.15,0.2,-0.04510238494357218,0.14999999999999997,0.9264749066224146,0.0,-0.04540238494357218,580,0.1336673634301033,-0.005049563982819784,0.18338408143730145,0.2,0.38338408143730146,0.9657647318186534,0.9899091417454805,0.0,0.0,-0.005816332145694387
2019-05-31,2019-06-30,development,2019-05-31,0,2,0.15,0.2,0.013523569606617027,0.15,0.8861747258984688,0.0,0.013223569606617027,588,0.23538779803209522,0.0412247249730937,0.19331601609728427,0.2,0.3933160160972843,0.9367623069060844,0.9921788104176072,0.0,0.0,0.04043809294089913
2019-06-30,2019-07-31,development,2019-06-30,1,2,0.15,0.2,-0.005381768291674795,0.15,0.8937096592249509,0.0,-0.005681768291674795,609,0.18591717555073364,0.03919216780504451,0.19180999828742662,0.14826380122790386,0.34007379951533045,0.947490222504096,0.9981132075471698,0.0,0.0,0.03851202020601385
2019-07-31,2019-08-31,development,2019-07-31,0,2,0.15,0.2,-0.018189818771346827,0.15,0.9180391601590303,0.0,-0.01848981877134683,635,-0.049019183234977344,-0.01788897266517385,0.2,0.1885413788432729,0.3885413788432729,0.9319828560088369,1.0,0.0,0.0,-0.018666055422860397
2019-08-31,2019-09-30,development,2019-08-31,1,2,0.15,0.2,0.01030740004890092,0.15,0.9436156173503772,0.0,0.01000740004890092,662,0.12863372331876458,0.018951184569096897,0.2,0.17742264353586304,0.3774226435358631,0.9659676601453508,0.9953703703703703,0.0,0.0,0.018196339282025173
2019-09-30,2019-10-31,development,2019-09-30,0,2,0.15,0.2,0.000698306266789578,0.15,0.9314478815058812,0.0,0.0003983062667895781,676,0.12484074957039056,0.017805781405363274,0.2,0.15049554534865991,0.3504955453486599,0.9387599857251295,0.9965277777777777,0.0,0.0,0.017104790314665955
2019-10-31,2019-11-30,development,2019-10-31,1,2,0.15,0.2,-0.022182271108788752,0.15,0.9116979909153288,0.0,-0.022482271108788754,684,0.12033426628497015,0.0278703617286402,0.20000000000000004,0.1957157380076682,0.39571573800766824,0.9094245966569193,0.9922325102880658,0.0,0.0,0.027078930252624863
2019-11-30,2019-12-31,development,2019-11-30,0,2,0.15,0.2,0.07906990667908896,0.15,0.9423822449138259,0.0,0.07876990667908897,715,0.057649885512145935,0.005928478291686884,0.2000000003512526,0.18324332091327095,0.38324332126452354,0.9445182592637724,0.9976415094339622,0.0,0.0,0.005161991649157836
2019-12-31,2020-01-31,development,2019-12-31,1,2,0.15,0.2,0.003564392375794943,0.15,0.9168917708357411,0.0,0.003264392375794943,716,0.049156559035487976,-0.0037339438310227437,0.20000000041009464,0.19999999999999998,0.40000000041009465,0.9622276886667718,0.9985519782414892,0.0,0.0,-0.0045339438318429326
2020-01-31,2020-02-29,development,2020-01-31,0,2,0.15,0.2,0.0006244402855729891,0.15,0.9600732105215366,0.0,0.0003244402855729891,733,-0.051954515220184426,-0.04918110147405477,0.12706278642743848,0.15068151041394762,0.27774429684138613,0.9708095043572985,0.9955439814814815,0.0,0.0,-0.04973659006773754
2020-02-29,2020-03-31,development,2020-02-29,1,2,0.15,0.2,-0.03153724176567618,0.11322586323486827,0.9696428571428571,0.0,-0.03176369349214592,386,0.33679855100021966,0.06849282395983994,0.11914256398784587,0.09118530929703317,0.21032787328487904,0.9599635607448108,0.9884615384615385,0.0,0.0,0.06807216821327018
2020-03-31,2020-04-30,development,2020-03-31,0,2,0.15,0.2,0.01920773192724568,0.14049557898242107,0.9543859649122807,0.0,0.018926740769280838,391,0.08732534582258579,-0.010319166333819291,0.1456551178969011,0.1562549416696503,0.30191005956655137,0.9569099813585108,0.984375,0.0,0.0,-0.010922986452952393
2020-04-30,2020-05-31,development,2020-04-30,1,2,0.15,0.2,0.007149648710116537,0.14554042448779292,0.958041958041958,0.0,0.006858567861140951,395,0.05111795983733503,-0.003663744747091675,0.17597281359789654,0.186472811582,0.36244562517989654,0.9382187524132459,0.9598143424036281,0.0,0.0,-0.004388635997451468
2020-05-31,2020-06-30,development,2020-05-31,0,2,0.15,0.2,0.06506579598699058,0.15,0.9508400187070547,0.0,0.06476579598699059,418,0.0185690353481899,-0.014532355185087574,0.19704371480583804,0.17986138938057822,0.37690510418641626,0.9415274166020071,0.9879111901170725,0.0,0.0,-0.015286165393460406
2020-06-30,2020-07-31,development,2020-06-30,1,2,0.15,0.2,0.14010432604137538,0.15,0.9567412861378469,0.0,0.13980432604137538,450,0.16757324207925217,0.015789538953738913,0.18699713521692193,0.1745718775299071,0.36156901274682907,0.924288060597476,0.9637254901960784,0.0,0.0,0.015066400928245256
2020-07-31,2020-08-31,development,2020-07-31,0,2,0.15,0.2,0.04133565855580587,0.08554425489882851,0.96875,0.0,0.041164570046008216,411,0.2333534758496938,0.01882924012727097,0.11484170634311583,0.0906983592289393,0.20554006557205512,0.959858316133471,0.9841269841269841,0.0,0.0,0.018418159996126858
2020-08-31,2020-09-30,development,2020-08-31,1,2,0.15,0.2,-0.06652848633199601,0.0739421094823637,0.976271186440678,0.0,-0.06667637055096073,420,0.07495124733441125,0.020933957894338967,0.13397669859072395,0.11129956405766545,0.2452762626483894,0.972231532053404,0.9758582285115304,0.0,0.0,0.020443405369042187
2020-09-30,2020-10-31,development,2020-09-30,0,2,0.15,0.2,-0.008565669532655314,0.08922531931006508,0.9527027027027027,0.0,-0.008744120171275445,418,-0.023088442232150515,0.01977987489848642,0.1071100537368208,0.10185453893435341,0.2089645926711742,0.964125651137648,0.9868651377217554,0.0,0.0,0.01936194571314407
2020-10-31,2020-11-30,development,2020-10-31,1,2,0.15,0.2,0.04008828343797898,0.11651992901992902,0.9797979797979799,0.0,0.03985524357993912,439,0.21090191217428175,0.03683828064482882,0.13025555710056486,0.1778537298292523,0.30810928692981715,0.9799716537332637,0.9891067538126361,0.0,0.0,0.03622206207096919
2020-11-30,2020-12-31,development,2020-11-30,0,2,0.15,0.2,-0.03379808209710639,0.13727650955911827,0.956081081081081,0.0,-0.03407263511622463,425,0.029351395563307018,-0.006861988256912026,0.16333913406281828,0.16880810967498272,0.332147243737801,0.9587510815064995,0.9917420184448048,0.0,0.0,-0.0075262827443876275
2020-12-31,2021-01-31,development,2020-12-31,1,2,0.15,0.2,-0.0526546061589901,0.10975737443128747,0.9698996655518395,0.0,-0.05287412090785267,434,0.10098184655271385,0.04662308323236537,0.1418243629471377,0.1351260051724448,0.2769503681195825,0.9508920629808788,0.987942612942613,0.0,0.0,0.04606918249612621
2021-01-31,2021-02-28,development,2021-01-31,0,2,0.15,0.2,0.048666634707224266,0.12409994315119567,0.9766666666666667,0.0,0.048418434820921875,438,0.25867291928956887,0.054174618060922365,0.15075851856763234,0.11770647581406095,0.2684649943816933,0.9553242444689813,1.0,0.0,0.0,0.053637688072158976
2021-02-28,2021-03-31,development,2021-02-28,1,2,0.15,0.2,0.026132537160586892,0.14880954455675616,0.9652317880794702,0.0,0.02583491807147338,429,0.24304028106119116,0.04939509836609919,0.17707658394094153,0.1583451893823411,0.3354217733232826,0.9626487071436762,0.9946895424836601,0.0,0.0,0.048724254819452625
2021-03-31,2021-04-30,development,2021-03-31,0,2,0.15,0.2,-0.007695244745704572,0.15,0.9432644590867074,0.0,-0.007995244745704573,467,0.13840767219039848,-0.0015686373279880216,0.19281269906242526,0.18218487512345946,0.37499757418588475,0.9520137026715975,0.9975961538461539,0.0,0.0,-0.002318632476359791
2021-04-30,2021-05-31,development,2021-04-30,1,2,0.15,0.2,0.03461277977105252,0.14999999999999997,0.9145964986849073,0.0,0.034312779771052515,510,-0.1893034151639113,-0.05387247257138213,0.2,0.2,0.4,0.9210148450161787,0.9681159526515506,0.0,0.0,-0.05467247257138213
