signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return
2018-01-31,2018-02-28,-0.0258748814971906,0.9999999999999977,240,0.75,0.2,-0.027874881497190595
2018-02-28,2018-03-31,-0.0008672276545737971,0.08333333333333566,227,0.75,0.2,-0.0010338943212404685
2018-03-31,2018-04-30,-0.03969735399871721,0.14403292181070246,243,0.75,0.2,-0.03998541984233862
2018-04-30,2018-05-31,0.0309503242762217,0.15573770491803396,244,0.75,0.2,0.030638848866385633
2018-05-31,2018-06-30,-0.07748367206107175,0.13492063492063627,252,0.75,0.2,-0.07775351333091302
2018-06-30,2018-07-31,0.0013070491033937545,0.07539682539682643,251,0.75,0.2,0.0011562554526001016
2018-07-31,2018-08-31,-0.07189327649048707,0.23846153846153972,260,0.75,0.2,-0.07237019956741016
2018-08-31,2018-09-30,0.00017867576480622193,0.14772727272727318,264,0.75,0.2,-0.00011677878064832441
2018-09-30,2018-10-31,-0.09235783342235523,0.13207547169811326,265,0.75,0.2,-0.09262198436575146
2018-10-31,2018-11-30,0.024274538521166285,0.16479400749063727,267,0.75,0.2,0.02394495050618501
2018-11-30,2018-12-31,-0.02538013806536947,0.19852941176470879,272,0.75,0.2,-0.025777196888898887
2018-12-31,2019-01-31,0.023011267249891564,0.09454545454545811,275,0.75,0.2,0.022822176340800648
2019-01-31,2019-02-28,0.16177816250830657,0.2101449275362336,276,0.75,0.2,0.1613578726532341
2019-02-28,2019-03-31,0.08805128003918161,0.1594202898550738,275,0.75,0.2,0.08773243945947147
2019-03-31,2019-04-30,-0.012162568152531047,0.15523465703971145,277,0.75,0.2,-0.01247303746661047
2019-04-30,2019-05-31,-0.05663540288755638,0.22382671480144392,274,0.75,0.2,-0.057083056317159264
2019-05-31,2019-06-30,0.0322551327440527,0.1313868613138685,274,0.75,0.2,0.031992359021424964
2019-06-30,2019-07-31,0.005899248505527057,0.14492753623188528,276,0.75,0.2,0.0056093934330632865
2019-07-31,2019-08-31,-0.021701845890286554,0.2733812949640319,278,0.75,0.2,-0.022248608480214618
2019-08-31,2019-09-30,0.008512623151037776,0.23021582733812898,278,0.75,0.2,0.008052191496361518
2019-09-30,2019-10-31,0.011193385687352729,0.1714285714285712,280,0.75,0.2,0.010850528544495586
2019-10-31,2019-11-30,-0.012030841697468979,0.26071428571428507,280,0.75,0.2,-0.012552270268897549
2019-11-30,2019-12-31,0.09289198717217527,0.19642857142857098,280,0.75,0.2,0.09249913002931813
2019-12-31,2020-01-31,-0.009714235065813025,0.18928571428571664,279,0.75,0.2,-0.010092806494384458
2020-01-31,2020-02-29,0.01184640353207676,0.2791519434628992,283,0.75,0.2,0.011288099645150962
2020-02-29,2020-03-31,-0.03622922216098843,0.2517482517482514,286,0.75,0.2,-0.03673271866448493
2020-03-31,2020-04-30,0.052854642269577014,0.24475524475524443,286,0.75,0.2,0.05236513178006653
2020-04-30,2020-05-31,0.01876892582560542,0.3111888111888117,286,0.75,0.2,0.018146548203227798
2020-05-31,2020-06-30,0.08240647072801692,0.21951219512195635,287,0.75,0.2,0.081967446337773
2020-06-30,2020-07-31,0.13194856690800152,0.19310344827586506,290,0.75,0.2,0.1315623600114498
2020-07-31,2020-08-31,0.036452020371937364,0.27702702702702786,296,0.75,0.2,0.035897966317883306
2020-08-31,2020-09-30,-0.06760673639796971,0.2087542087542118,297,0.75,0.2,-0.06802424481547814
2020-09-30,2020-10-31,-0.0026773814261846648,0.1548821548821584,296,0.75,0.2,-0.0029871457359489815
2020-10-31,2020-11-30,0.02003207791338112,0.1346801346801387,297,0.75,0.2,0.019762717644020843
2020-11-30,2020-12-31,0.02780615465083538,0.18333333333333438,300,0.75,0.2,0.027439487984168714
2020-12-31,2021-01-31,-0.004145099527188603,0.18272425249169869,301,0.75,0.2,-0.004510548032172
2021-01-31,2021-02-28,0.01227126208044802,0.27868852459016946,305,0.75,0.2,0.011713885031267681
2021-02-28,2021-03-31,0.005389202214872388,0.23051948051948368,308,0.75,0.2,0.004928163253833421
2021-03-31,2021-04-30,0.022259778657150217,0.20447284345047886,313,0.75,0.2,0.02185083297024926
2021-04-30,2021-05-31,0.03319671791890059,0.2555910543130983,313,0.75,0.2,0.03268553581027439
2021-05-31,2021-06-30,0.0009987732862393776,0.2095238095238126,315,0.75,0.2,0.0005797256671917524
2021-06-30,2021-07-31,-0.05566412704601064,0.1577287066246068,317,0.75,0.2,-0.05597958445925985
2021-07-31,2021-08-31,0.05062135799427933,0.3167701863354039,322,0.75,0.2,0.049987817621608525
2021-08-31,2021-09-30,0.00021456369799547855,0.260736196319021,326,0.75,0.2,-0.00030690869464256346
2021-09-30,2021-10-31,-0.01469617943229944,0.29003021148036323,331,0.75,0.2,-0.015276239855260165
2021-10-31,2021-11-30,0.05449229343233403,0.32132132132132674,333,0.75,0.2,0.053849650789691374
2021-11-30,2021-12-31,0.04938733697526545,0.27002967359050833,337,0.75,0.2,0.04884727762808443
2021-12-31,2022-01-31,-0.08370327455388034,0.22383720930232628,344,0.75,0.2,-0.08415094897248498
2022-01-31,2022-02-28,0.03734440018603539,0.3180515759312346,349,0.75,0.2,0.03670829703417292
2022-02-28,2022-03-31,-0.06231920813145255,0.2181303116147354,353,0.75,0.2,-0.06275546875468202
2022-03-31,2022-04-30,-0.107214179780899,0.21288515406163022,357,0.75,0.2,-0.10763995008902226
2022-04-30,2022-05-31,0.08516868738335255,0.3641456582633057,356,0.75,0.2,0.08444039606682593
2022-05-31,2022-06-30,0.062387399325841066,0.2773109243697501,357,0.75,0.2,0.061832777477101565
2022-06-30,2022-07-31,0.008101315179926495,0.25956284153005504,366,0.75,0.2,0.007582189496866385
2022-07-31,2022-08-31,-0.0030739771023844263,0.34426229508196754,366,0.75,0.2,-0.0037625016925483612
2022-08-31,2022-09-30,-0.06853968861412799,0.37431693989071124,365,0.75,0.2,-0.06928832249390941
2022-09-30,2022-10-31,0.018354266366425353,0.2907608695652176,368,0.75,0.2,0.017772744627294917
2022-10-31,2022-11-30,0.09060686599353936,0.35849056603774443,371,0.75,0.2,0.08988988486146386
2022-11-30,2022-12-31,-0.03237323958549244,0.36968085106383486,376,0.75,0.2,-0.03311260128762011
2022-12-31,2023-01-31,0.07166211465449847,0.27968337730871207,379,0.75,0.2,0.07110274789988104
2023-01-31,2023-02-28,0.042627448013724825,0.3838120104438679,383,0.75,0.2,0.04185982399283709
2023-02-28,2023-03-31,0.0002869114654246447,0.3659793814433045,388,0.75,0.2,-0.0004450472974619643
2023-03-31,2023-04-30,-0.011090136673114164,0.3086734693877568,392,0.75,0.2,-0.011707483611889677
2023-04-30,2023-05-31,-0.0011139271345176815,0.3969465648854966,393,0.75,0.2,-0.0019078202642886749
2023-05-31,2023-06-30,0.01898250565429366,0.3282442748091613,392,0.75,0.2,0.018326017104675338
2023-06-30,2023-07-31,0.04344294869829932,0.33753148614609674,397,0.75,0.2,0.04276788572600713
2023-07-31,2023-08-31,-0.03937454993561778,0.44221105527638255,398,0.75,0.2,-0.040258972046170544
2023-08-31,2023-09-30,0.0003490853286134104,0.3743718592964809,398,0.75,0.2,-0.00039965838997955137
2023-09-30,2023-10-31,-0.0035911470312427873,0.26683291770573614,401,0.75,0.2,-0.00412481286665426
2023-10-31,2023-11-30,0.038812760453531645,0.3440594059405964,404,0.75,0.2,0.03812464164165045
2023-11-30,2023-12-31,-0.020165011420730045,0.3267813267813301,407,0.75,0.2,-0.020818574074292703
2023-12-31,2024-01-31,-0.12696022448732414,0.3284671532846737,411,0.75,0.2,-0.1276171587938935
2024-01-31,2024-02-29,0.04664716903863574,0.37530266343826213,413,0.75,0.2,0.045896563711759215
2024-02-29,2024-03-31,0.05404883243169148,0.26139088729017396,417,0.75,0.2,0.05352605065711113
2024-03-31,2024-04-30,0.011806139113212342,0.34449760765550275,418,0.75,0.2,0.011117143897901336
2024-04-30,2024-05-31,-0.01165132042160611,0.3564593301435397,418,0.75,0.2,-0.012364239081893191
2024-05-31,2024-06-30,-0.06816396373744876,0.26076555023924086,414,0.75,0.2,-0.06868549483792724
2024-06-30,2024-07-31,-0.007696488933297682,0.20813397129187183,418,0.75,0.2,-0.008112756875881425
2024-07-31,2024-08-31,-0.031408341659971445,0.3349282296650712,418,0.75,0.2,-0.032078198119301585
2024-08-31,2024-09-30,0.20546659966085506,0.2607655502392358,416,0.75,0.2,0.2049450685603766
2024-09-30,2024-10-31,0.01667036026809596,0.2422062350119912,417,0.75,0.2,0.01618594779807198
2024-10-31,2024-11-30,0.05367973152393185,0.2949640287769777,417,0.75,0.2,0.05308980346637789
2024-11-30,2024-12-31,-0.008575543005057076,0.2751196172248805,418,0.75,0.2,-0.009125782239506837
2024-12-31,2025-01-31,-0.01443164639956567,0.20763723150358906,419,0.75,0.2,-0.014846920862572848
2025-01-31,2025-02-28,0.04591294229808862,0.30310262529832993,419,0.75,0.2,0.04530673704749196
2025-02-28,2025-03-31,0.013662063040090197,0.314285714285719,420,0.75,0.2,0.013033491611518759
2025-03-31,2025-04-30,-0.031606412556296246,0.31666666666667165,419,0.75,0.2,-0.03223974588962959
2025-04-30,2025-05-31,0.04154543703870661,0.43436754176612,416,0.75,0.2,0.04067670195517437
2025-05-31,2025-06-30,0.04823229038574673,0.3245192307692368,413,0.75,0.2,0.04758325192420826
2025-06-30,2025-07-31,0.05462143804299042,0.34844868735083634,419,0.75,0.2,0.053924540668288744
2025-07-31,2025-08-31,0.06854096171275063,0.6808510638297892,423,0.75,0.2,0.06717925958509105
2025-08-31,2025-09-30,-0.004287560804240318,0.3947990543735243,422,0.75,0.2,-0.005077158912987366
2025-09-30,2025-10-31,0.02544173957331045,0.3309692671394823,423,0.75,0.2,0.024779801039031484
2025-10-31,2025-11-30,0.004754873462660243,0.42080378250591116,422,0.75,0.2,0.003913265897648421
2025-11-30,2025-12-31,0.016038884516034583,0.3815165876777245,422,0.75,0.2,0.015275851340679134
