series,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
turnover_budget_long_only,0,0.0675107856709305,0.15239565058108878,0.44299680085035253,-0.2226858964902554,0.6773118575639314,95,0.10947368421052628
turnover_budget_long_only,20,0.06470966582789783,0.15247254315437378,0.4244020889871383,-0.2238140029715293,0.6427834076637371,95,0.10947368421052628
turnover_budget_long_only,50,0.0605197203307315,0.15259283830736647,0.39660917905483306,-0.22550353191498118,0.5922946157807345,95,0.10947368421052628
turnover_budget_long_only,100,0.05356765785464268,0.15280651189931851,0.35055873724764725,-0.22912854511943592,0.5115095884992009,95,0.10947368421052628
turnover_budget_long_only,150,0.04665438997969207,0.15303660230300697,0.3048577221240057,-0.23307819558071008,0.43474962469949063,95,0.10947368421052628
turnover_budget_long_only,200,0.039779709266192675,0.15328303558950865,0.2595180158926561,-0.23700962672068482,0.3618175512210069,95,0.10947368421052628
turnover_budget_industry_neutral_diagnostic,0,0.12832592484852712,0.12971487060353135,0.9892923166901234,-0.19614495187216086,1.6008001824417137,95,0.414677130005987
turnover_budget_industry_neutral_diagnostic,20,0.1172511135400367,0.12972027956761592,0.9038765097551325,-0.19757960123775076,1.4054359819955726,95,0.414677130005987
turnover_budget_industry_neutral_diagnostic,50,0.10082295400201291,0.12974729092786258,0.7770717467855947,-0.19972917528612844,1.1392589500445314,95,0.414677130005987
turnover_budget_industry_neutral_diagnostic,100,0.07392694898069796,0.1298426620191919,0.5693579277492855,-0.21494509243078042,0.7588009711854209,95,0.414677130005987
turnover_budget_industry_neutral_diagnostic,150,0.047625755189108165,0.1300008453319552,0.3663495807853904,-0.23399112156334223,0.4453249061474367,95,0.414677130005987
turnover_budget_industry_neutral_diagnostic,200,0.021907436083508314,0.13022161196782167,0.16823195284145107,-0.2526128697315526,0.187157056828823,95,0.414677130005987
