signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return,exposure,scaled_turnover,scaled_gross_return,scaled_net_return
2018-01-31,2018-02-28,-0.027308430483876895,0.9999999999999977,240,0.75,0.2,-0.02930843048387689,1.0,1.0,-0.027308430483876895,-0.029308430483876893
2018-02-28,2018-03-31,-0.011799240095446561,0.07916666666666893,227,0.75,0.2,-0.0119575734287799,1.0,0.07916666666666893,-0.011799240095446561,-0.0119575734287799
2018-03-31,2018-04-30,-0.04898030529883444,0.1522633744855995,243,0.75,0.2,-0.049284832047805635,1.0,0.1522633744855995,-0.04898030529883444,-0.049284832047805635
2018-04-30,2018-05-31,0.02101401152320052,0.14754098360655848,244,0.75,0.2,0.020718929555987402,1.0,0.14754098360655848,0.02101401152320052,0.020718929555987402
2018-05-31,2018-06-30,-0.08270270487513838,0.1468253968253982,252,0.75,0.2,-0.08299635566878917,1.0,0.1468253968253982,-0.08270270487513838,-0.08299635566878917
2018-06-30,2018-07-31,0.00937648032475362,0.05952380952381044,251,0.75,0.2,0.009257432705705998,1.0,0.05952380952381044,0.00937648032475362,0.009257432705705998
2018-07-31,2018-08-31,-0.07184357487694501,0.13846153846154,260,0.75,0.2,-0.07212049795386809,1.0,0.13846153846154,-0.07184357487694501,-0.07212049795386809
2018-08-31,2018-09-30,0.00460521182155031,0.10227272727272804,264,0.75,0.2,0.004400666367004854,1.0,0.10227272727272804,0.00460521182155031,0.004400666367004854
2018-09-30,2018-10-31,-0.08811133412425105,0.10943396226415099,265,0.75,0.2,-0.08833020204877935,1.0,0.10943396226415099,-0.08811133412425105,-0.08833020204877935
2018-10-31,2018-11-30,0.028016649918406012,0.18352059925093686,267,0.75,0.2,0.02764960871990414,1.0,0.18352059925093686,0.028016649918406012,0.02764960871990414
2018-11-30,2018-12-31,-0.02697638868932235,0.22058823529412072,272,0.75,0.2,-0.02741756515991059,0.9900346485730491,0.22835534743571476,-0.02670755949580323,-0.02716427019067466
2018-12-31,2019-01-31,0.02081941894913914,0.10181818181818522,275,0.75,0.2,0.02061578258550277,1.0,0.1107688792816647,0.02081941894913914,0.02059788119057581
2019-01-31,2019-02-28,0.1559955188004255,0.11231884057971114,276,0.75,0.2,0.15577088111926607,1.0,0.11231884057971114,0.1559955188004255,0.15577088111926607
2019-02-28,2019-03-31,0.09374388417840558,0.13405797101449368,275,0.75,0.2,0.0934757682363766,0.6524493224159224,0.4350167099369374,0.06116313371283742,0.060293100292963545
2019-03-31,2019-04-30,-0.011033907171895885,0.15162454873646264,277,0.75,0.2,-0.011337156269368811,0.5975387195071786,0.1455121416065834,-0.006593186762655742,-0.006884211045868909
2019-04-30,2019-05-31,-0.05119963845954883,0.16967509025270752,274,0.75,0.2,-0.05153898864005425,0.6108599281493439,0.11470864480403306,-0.03127580747067238,-0.03150522476028045
2019-05-31,2019-06-30,0.03076038912727786,0.12408759124087582,274,0.75,0.2,0.03051221394479611,0.5981081669614092,0.0869695629276715,0.018398039955935825,0.018224100830080484
2019-06-30,2019-07-31,0.0012890936149248966,0.11594202898550905,276,0.75,0.2,0.0010572095569538786,0.6356006018181095,0.10683830928700969,0.0008193486774461466,0.0006056720588721272
2019-07-31,2019-08-31,-0.022010627256413253,0.1978417266187082,278,0.75,0.2,-0.02240631070965067,0.6353815933286141,0.12592399997537432,-0.013985147416342075,-0.014236995416292824
2019-08-31,2019-09-30,0.013114738362493609,0.19064748201438822,278,0.75,0.2,0.012733443398464833,0.6733479238236704,0.15910023138144655,0.008830781847875713,0.00851258138511282
2019-09-30,2019-10-31,0.004901640091604357,0.18571428571428536,280,0.75,0.2,0.004530211520175787,0.6737033400891613,0.12540574497560092,0.0033022513016287983,0.003051439811677596
2019-10-31,2019-11-30,-0.013212485452616702,0.21785714285714233,280,0.75,0.2,-0.013648199738330986,0.7704863164475166,0.24355406116349368,-0.010180039247503042,-0.01066714736983003
2019-11-30,2019-12-31,0.09085618343750664,0.19642857142857098,280,0.75,0.2,0.0904633262946495,0.760916152469387,0.159035836784616,0.0691339375293204,0.06881586585575117
2019-12-31,2020-01-31,0.004390337889722238,0.16785714285714542,279,0.75,0.2,0.004054623604007947,0.7353781217644605,0.14897650114396288,0.0032285584312552844,0.002930605428967359
2020-01-31,2020-02-29,0.010830366981708814,0.19081272084805798,283,0.75,0.2,0.010448741540012699,0.7313319300887035,0.14359362709904427,0.007920593188302072,0.007633405934103984
2020-02-29,2020-03-31,-0.03516716778561752,0.21678321678321655,286,0.75,0.2,-0.03560073421918396,1.0,0.4272085582522041,-0.03516716778561752,-0.03602158490212193
2020-03-31,2020-04-30,0.05266497239741547,0.2237762237762235,286,0.75,0.2,0.05221741994986302,1.0,0.2237762237762235,0.05266497239741547,0.05221741994986302
2020-04-30,2020-05-31,0.026306532620087742,0.23076923076923048,286,0.75,0.2,0.02584499415854928,1.0,0.23076923076923048,0.026306532620087742,0.02584499415854928
2020-05-31,2020-06-30,0.08826339368060718,0.16376306620209505,287,0.75,0.2,0.08793586754820298,1.0,0.16376306620209505,0.08826339368060718,0.08793586754820298
2020-06-30,2020-07-31,0.1393986504396434,0.17241379310345098,290,0.75,0.2,0.13905382285343648,1.0,0.17241379310345098,0.1393986504396434,0.13905382285343648
2020-07-31,2020-08-31,0.03553521848211809,0.17905405405405458,296,0.75,0.2,0.03517711037400998,0.8243471156204741,0.32325557737913824,0.02929335485867741,0.028646843703919133
2020-08-31,2020-09-30,-0.06931971819710286,0.17845117845118177,297,0.75,0.2,-0.06967662055400523,0.8676455541928898,0.19040415280772188,-0.06014494531162026,-0.06052575361723571
2020-09-30,2020-10-31,0.006366711161565676,0.14141414141414513,296,0.75,0.2,0.006083882878737386,0.744547678869771,0.2283874460723821,0.004740320017377988,0.004283545125233224
2020-10-31,2020-11-30,0.020079972550559416,0.171717171717175,297,0.75,0.2,0.019736538207125065,0.7452047217059834,0.1285086644603169,0.014963690356403415,0.014706673027482782
2020-11-30,2020-12-31,0.023652228794701052,0.15666666666666731,300,0.75,0.2,0.023338895461367717,0.7632257716764156,0.1347697897043701,0.018051990573702846,0.017782450994294107
2020-12-31,2021-01-31,0.0018377701207495398,0.13953488372093428,301,0.75,0.2,0.0015587003533076712,0.8094092225086137,0.15268007013588708,0.001487508084585446,0.0011821479443136719
2021-01-31,2021-02-28,0.01353302365824023,0.1672131147541041,305,0.75,0.2,0.013198597428732022,0.8079673232224582,0.13654463202171868,0.010934240900254558,0.010661151636211121
2021-02-28,2021-03-31,0.00273158668840101,0.12987012987013288,308,0.75,0.2,0.0024718464286607443,0.8088651357391462,0.10582863371441226,0.0022094852374967278,0.0019978279700679034
2021-03-31,2021-04-30,0.019556047493605226,0.1214057507987226,313,0.75,0.2,0.01931323599200778,0.8542975891284338,0.1436333324886093,0.016706684226668093,0.016419417561690876
2021-04-30,2021-05-31,0.028587649169072957,0.21405750798721979,313,0.75,0.2,0.028159534153098516,0.8635219663388904,0.192093190218779,0.024686063023484226,0.024301876643046668
2021-05-31,2021-06-30,0.0007038184519811932,0.16507936507936832,315,0.75,0.2,0.00037365972182245655,0.8634016190542777,0.14265013836659154,0.0006076779909608376,0.00032237771422765455
2021-06-30,2021-07-31,-0.05016551856066286,0.13564668769716207,317,0.75,0.2,-0.05043681193605719,0.931582652796485,0.185298603519287,-0.04673332685965362,-0.04710392406669219
2021-07-31,2021-08-31,0.04248379669252343,0.21739130434782647,322,0.75,0.2,0.04204901408382778,1.0,0.2709353152027512,0.04248379669252343,0.041941926062117926
2021-08-31,2021-09-30,-0.0025099064500968067,0.23619631901840765,326,0.75,0.2,-0.0029822990881336222,1.0,0.23619631901840765,-0.0025099064500968067,-0.0029822990881336222
2021-09-30,2021-10-31,-0.027985990309569823,0.2567975830815718,331,0.75,0.2,-0.028499585475732968,1.0,0.2567975830815718,-0.027985990309569823,-0.028499585475732968
2021-10-31,2021-11-30,0.05583456041964122,0.35735735735736385,333,0.75,0.2,0.05511984570492649,1.0,0.35735735735736385,0.05583456041964122,0.05511984570492649
2021-11-30,2021-12-31,0.059871305469832437,0.29080118694362495,337,0.75,0.2,0.05928970309594519,1.0,0.29080118694362495,0.059871305469832437,0.05928970309594519
2021-12-31,2022-01-31,-0.07682973531179861,0.27325581395348897,344,0.75,0.2,-0.07737624693970559,1.0,0.27325581395348897,-0.07682973531179861,-0.07737624693970559
2022-01-31,2022-02-28,0.043082171996411234,0.33810888252149257,349,0.75,0.2,0.04240595423136825,1.0,0.33810888252149257,0.043082171996411234,0.04240595423136825
2022-02-28,2022-03-31,-0.04716213893812661,0.2747875354107696,353,0.75,0.2,-0.04771171400894815,1.0,0.2747875354107696,-0.04716213893812661,-0.04771171400894815
2022-03-31,2022-04-30,-0.10554370011213608,0.2969187675070072,357,0.75,0.2,-0.1061375376471501,0.9506048574305258,0.3316475652239202,-0.1003303539977873,-0.10099364912823514
2022-04-30,2022-05-31,0.08827096777108598,0.29131652661064583,356,0.75,0.2,0.08768833471786469,0.7878885969168294,0.3922412299236423,0.06954768894565161,0.06876320648580432
2022-05-31,2022-06-30,0.0646429398053045,0.28291316526610844,357,0.75,0.2,0.06407711347477228,0.7119143998192389,0.27738415334897326,0.04602023969404454,0.04546547138734659
2022-06-30,2022-07-31,0.011259312258357074,0.23497267759562893,366,0.75,0.2,0.010789366903165816,0.6789304532982423,0.19251405303369865,0.007644289975392825,0.007259261869325428
2022-07-31,2022-08-31,-0.008658043288700588,0.3306010928961752,366,0.75,0.2,-0.009319245474492938,0.7042077849651736,0.24973248152782576,-0.006097061486468428,-0.0065965264495240795
2022-08-31,2022-09-30,-0.06812413443696169,0.38251366120218677,365,0.75,0.2,-0.06888916175936606,0.7132634075600336,0.27842472066897084,-0.04859045226558513,-0.04914730170692307
2022-09-30,2022-10-31,0.025842135198287725,0.3288043478260875,368,0.75,0.2,0.02518452650263555,0.6739378187718605,0.2609192737647906,0.017415992227941553,0.016894153680411972
2022-10-31,2022-11-30,0.0881596227927454,0.39083557951483333,371,0.75,0.2,0.08737795163371574,0.6758387956121406,0.26529985479694285,0.05958169328986967,0.059051093580275785
2022-11-30,2022-12-31,-0.02569735342998285,0.3244680851063879,376,0.75,0.2,-0.026346289600195628,0.6455373390666872,0.2397577208170944,-0.016588601154247335,-0.017068116595881522
2022-12-31,2023-01-31,0.0680591324751695,0.2796833773087127,379,0.75,0.2,0.06749976572055207,0.6622565229681521,0.19726524707051554,0.045072604429234595,0.044678073935093564
2023-01-31,2023-02-28,0.04418223940865252,0.34203655352480766,383,0.75,0.2,0.04349816630160291,0.6825930555514321,0.2468524712486294,0.030158489799057022,0.029664784856559764
2023-02-28,2023-03-31,-0.0030204125783393617,0.35824742268041815,388,0.75,0.2,-0.003736907423700198,0.6820439579850053,0.24488958766930638,-0.002060054149678273,-0.002549833325016886
2023-03-31,2023-04-30,0.0001906239408993636,0.3647959183673484,392,0.75,0.2,-0.0005389678958353332,0.7095631862008381,0.27632608023587407,0.0001352597308707127,-0.00041739242960103545
2023-04-30,2023-05-31,0.006884301152316436,0.36641221374045874,393,0.75,0.2,0.006151476724835519,0.8952682205583721,0.4456976522021164,0.006163296042422287,0.005271900738018054
2023-05-31,2023-06-30,0.013282969079284923,0.3536895674300263,392,0.75,0.2,0.01257558994442487,0.9839396027149532,0.40531841181972106,0.013069639318746615,0.012259002495107174
2023-06-30,2023-07-31,0.03864580812770297,0.3249370277078099,397,0.75,0.2,0.03799593407228735,1.0,0.33577880723524706,0.03864580812770297,0.03797425051323248
2023-07-31,2023-08-31,-0.03623869442066151,0.42462311557789034,398,0.75,0.2,-0.03708794065181729,1.0,0.42462311557789034,-0.03623869442066151,-0.03708794065181729
2023-08-31,2023-09-30,0.004167033123379652,0.3618090452261294,398,0.75,0.2,0.003443415032927393,0.9809125711697027,0.37399046965551513,0.004087495175203651,0.0033395142358926206
2023-09-30,2023-10-31,-0.00316903811596154,0.2718204488778059,401,0.75,0.2,-0.003712679013717152,1.0,0.2857195242355286,-0.00316903811596154,-0.0037404771644325976
2023-10-31,2023-11-30,0.04028303588880348,0.3341584158415871,404,0.75,0.2,0.0396147190571203,1.0,0.3341584158415871,0.04028303588880348,0.0396147190571203
2023-11-30,2023-12-31,-0.013853578354134194,0.321867321867325,407,0.75,0.2,-0.014497312997868845,1.0,0.321867321867325,-0.013853578354134194,-0.014497312997868845
2023-12-31,2024-01-31,-0.13333315024259798,0.32360097323601167,411,0.75,0.2,-0.13398035218907,1.0,0.32360097323601167,-0.13333315024259798,-0.13398035218907
2024-01-31,2024-02-29,0.04300450743528344,0.4067796610169543,413,0.75,0.2,0.04219094811324953,0.9181777458597861,0.45531828635436894,0.03948578169873896,0.03857514512603022
2024-02-29,2024-03-31,0.06492283354465803,0.26139088729017335,417,0.75,0.2,0.06440005177007768,0.9202685344043433,0.242094084224938,0.05974644087551958,0.0592622527070697
2024-03-31,2024-04-30,0.004785504275959498,0.3397129186602873,418,0.75,0.2,0.004106078438638923,0.8482658188735869,0.3601695726600613,0.004059379703369835,0.003339040558049712
2024-04-30,2024-05-31,-0.01174902481904197,0.3708133971291854,418,0.75,0.2,-0.012490651613300341,0.8482344014759592,0.3145680973707694,-0.009965927035306256,-0.010595063230047795
2024-05-31,2024-06-30,-0.07201397966775158,0.3086124401913948,414,0.75,0.2,-0.07263120454813438,0.8459803513175076,0.26333411073252105,-0.060922411819096335,-0.06144908004056138
2024-06-30,2024-07-31,0.00935185916553646,0.2607655502392407,418,0.75,0.2,0.008830328065057978,0.7861188637672104,0.2648542056140005,0.007351672901322494,0.006821964490094493
2024-07-31,2024-08-31,-0.028996324002625726,0.3038277511961722,418,0.75,0.2,-0.02960397950501807,0.8087476636420966,0.26147352642616783,-0.023450709291332802,-0.023973656344185138
2024-08-31,2024-09-30,0.21049589209182176,0.2703349282296663,416,0.75,0.2,0.20995522223536242,0.8132930240856148,0.22317810205011465,0.17119484063695697,0.17074848443285676
2024-09-30,2024-10-31,0.02071921690206096,0.24700239808153557,417,0.75,0.2,0.020225212105897887,0.5235425648072137,0.4190667282835406,0.010847391957701968,0.010009258501134887
2024-10-31,2024-11-30,0.0496360254124835,0.2805755395683447,417,0.75,0.2,0.04907487433334681,0.5237694668400541,0.14712013964061943,0.02599783456635586,0.02570359428707462
2024-11-30,2024-12-31,-0.011715489323349218,0.29186602870813416,418,0.75,0.2,-0.012299221380765486,0.5216043559847873,0.1544037027934106,-0.00611085026355222,-0.0064196576691390415
2024-12-31,2025-01-31,-0.012818825726449549,0.26252983293557025,419,0.75,0.2,-0.01334388539232069,0.5219694028569069,0.13730175130727149,-0.006691034809761626,-0.006965638312376169
2025-01-31,2025-02-28,0.04995861386727363,0.2458233890214792,419,0.75,0.2,0.049466967089230665,0.6182279156136569,0.22457080033255264,0.030885809718112108,0.030436668117447004
2025-02-28,2025-03-31,0.01647587090971407,0.2976190476190523,420,0.75,0.2,0.015880632814475968,0.6163201982041782,0.18533634782739175,0.010154412024661429,0.009783739329006646
2025-03-31,2025-04-30,-0.03066805887930923,0.3166666666666715,419,0.75,0.2,-0.031301392212642574,0.6276237417289431,0.20647160628942432,-0.019248001865395596,-0.019660945077974445
2025-04-30,2025-05-31,0.0487747693962542,0.3794749403341376,416,0.75,0.2,0.04801581951558592,0.6151936108101076,0.24588068967494373,0.030005926501311952,0.029514165121962064
2025-05-31,2025-06-30,0.0592966247002759,0.37259615384616057,413,0.75,0.2,0.05855143239258358,0.6150105413884631,0.22933363171783078,0.03646804925942519,0.036009381995989534
2025-06-30,2025-07-31,0.0661759285067873,0.3365155131264923,419,0.75,0.2,0.06550289748053431,0.6698326218469957,0.26178266837207304,0.04432679569486068,0.043803230358116535
2025-07-31,2025-08-31,0.06710394158025093,0.4373522458628923,423,0.75,0.2,0.06622923708852514,0.6668004158483116,0.2946588654122536,0.04474493615077213,0.044155618419947626
2025-08-31,2025-09-30,-0.0023232946689875364,0.368794326241137,422,0.75,0.2,-0.0030608833214698103,0.6984775759721146,0.277589370223891,-0.0016227692286633507,-0.002177947969111133
2025-09-30,2025-10-31,0.02250601988200337,0.3356973995271898,423,0.75,0.2,0.021834625082948988,1.0,0.5359995299097795,0.02250601988200337,0.02143402082218381
2025-10-31,2025-11-30,-0.00401036316668986,0.39716312056737724,422,0.75,0.2,-0.004804689407824614,1.0,0.39716312056737724,-0.00401036316668986,-0.004804689407824614
2025-11-30,2025-12-31,0.011047236834047697,0.3554502369668244,422,0.75,0.2,0.010336336360114048,1.0,0.3554502369668244,0.011047236834047697,0.010336336360114048
