candidate,development_sharpe_50bp,selection_sharpe_50bp,average_pre_retro_sharpe_50bp,development_turnover,selection_turnover,pre_retro_turnover,selection_used_retrospective,accepted,rejection_reason
production_core,0.5501532273338882,0.2360975308282516,0.39312537908106987,0.18856256494067303,0.3272323568150472,0.2354368607855319,False,True,frozen_baseline
concentrated_top5,0.4735376149848198,0.3568149907432062,0.41517630286401297,0.32592567587119115,0.4963534544461711,0.38353506581202945,False,False,development_sharpe;turnover
score_rank_tilt_050,0.54055105182994,0.24820099478644064,0.3943760233081903,0.20932053723576977,0.3569379323171786,0.2592193750097672,False,False,average_sharpe_gain;turnover
volatility_cap90,0.5484589758445191,0.2926618531638509,0.420560414504185,0.2062141707736387,0.3533439486190551,0.2559481801861739,False,False,turnover
ridge_consensus20,0.5085032504293248,0.22621815395018283,0.3673607021897538,0.23664169076701597,0.36521096021580624,0.280101725510269,False,False,development_sharpe;selection_sharpe;average_sharpe_gain;turnover
value_tilt10,0.47581410457392576,0.24916483577948764,0.3624894701767067,0.1941929395151615,0.2981509498504707,0.22933367540315341,False,False,development_sharpe;average_sharpe_gain
