signal_month,realization_month,period,long_short_gross_return,long_short_turnover,long_short_net_return_20bps,long_short_proxy_net_return,explicit_cost,impact_proxy_cost,net_return,net_return_0bps,net_return_20bps,net_return_50bps,net_return_100bps
2018-01-31,2018-02-28,development,0.0098422088445252,2.0,0.0058422088445252,0.0036449722531666,0.004,0.0021972365913586005,0.003644972253166599,0.0098422088445252,0.0058422088445251995,-0.00015779115547480058,-0.0101577911554748
2018-02-28,2018-03-31,development,-0.0250473144592626,0.2896221125812962,-0.0256265586844252,-0.0272812524325011,0.0005792442251625925,0.0016546937480758986,-0.027281252432501093,-0.0250473144592626,-0.025626558684425194,-0.026495425022169082,-0.027943535585075563
2018-03-31,2018-04-30,development,0.0405764689410759,0.3166828636216391,0.0399431032138326,0.0383050683994094,0.0006333657272432783,0.001638034814423199,0.03830506839940943,0.0405764689410759,0.039943103213832626,0.038993054622967704,0.037409640304859514
2018-04-30,2018-05-31,development,0.0159348539667006,0.5400049019149784,0.0148548441628706,0.0124772169670125,0.0010800098038299569,0.002377627195858099,0.012477216967012544,0.0159348539667006,0.014854844162870643,0.013234829457125709,0.010534804947550817
2018-05-31,2018-06-30,development,0.0003089204235127,0.3577785364145657,-0.0004066366493163,-0.0021867471896773,0.0007155570728291314,0.001780110540361,-0.0021867471896774315,0.0003089204235127,-0.0004066366493164314,-0.0014799722585601284,-0.0032688649406329567
2018-06-30,2018-07-31,development,0.038559307722725,0.3290837477848282,0.0379011402271554,0.0358534808825235,0.0006581674955696564,0.0020476593446318997,0.03585348088252344,0.038559307722725,0.03790114022715534,0.03691388898380086,0.03526847024487672
2018-07-31,2018-08-31,development,0.050554490441463,0.6540153253419594,0.0492464597907791,0.0459188177359521,0.0013080306506839188,0.0033276420548270028,0.04591881773595208,0.050554490441463,0.04924645979077908,0.0472844138147532,0.04401433718804341
2018-08-31,2018-09-30,development,0.0280415369488976,0.185794914517531,0.0276699471198626,0.0266797268426148,0.00037158982903506203,0.0009902202772477976,0.026679726842614743,0.0280415369488976,0.02766994711986254,0.027112562376309948,0.02618358780372229
2018-09-30,2018-10-31,development,0.0231803095463745,0.2199571751777633,0.022740395196019,0.0217663637983209,0.0004399143503555266,0.0009740313976981003,0.021766363798320875,0.0231803095463745,0.022740395196018975,0.022080523670485686,0.020980737794596867
2018-10-31,2018-11-30,development,-0.0014436845296935,0.5009691697191698,-0.0024456228691318,-0.0055291216533851,0.0010019383394383396,0.0030834987842533,-0.005529121653385139,-0.0014436845296935,-0.0024456228691318396,-0.003948530378289349,-0.006453376226885198
2018-11-30,2018-12-31,development,0.0228413191274528,0.3113883884134373,0.022218542350626,0.0203821694449535,0.0006227767768268747,0.0018363729056725016,0.020382169444953423,0.0228413191274528,0.022218542350625925,0.021284377185385613,0.01972743524331843
2018-12-31,2019-01-31,development,0.0364141301800498,0.2135956241763009,0.0359869389316972,0.0349841481480352,0.00042719124835260177,0.0010027907836619998,0.034984148148035195,0.0364141301800498,0.035986938931697195,0.035346152059168294,0.03427817393828679
2019-01-31,2019-02-28,development,-0.07738206182569,0.7123762932973459,-0.0788068144122847,-0.0820207297091135,0.0014247525865946917,0.0032139152968288093,-0.0820207297091135,-0.07738206182569,-0.0788068144122847,-0.08094394329217673,-0.08450582475866346
2019-02-28,2019-03-31,development,-0.0328776486044082,0.2601737186102511,-0.0333979960416287,-0.0344935096723563,0.0005203474372205022,0.0010955136307276014,-0.0344935096723563,-0.0328776486044082,-0.0333979960416287,-0.03417851719745946,-0.03547938579051071
2019-03-31,2019-04-30,development,0.0394769291419689,0.1339976614918038,0.0392089338189853,0.0387006552661153,0.0002679953229836076,0.0005082785528700007,0.0387006552661153,0.0394769291419689,0.0392089338189853,0.03880694083450988,0.03813695252705086
2019-04-30,2019-05-31,development,0.0122255969792929,0.8782544717233298,0.0104690880358462,0.0068704587177493,0.0017565089434466597,0.0035986293180969003,0.00687045871774934,0.0122255969792929,0.01046908803584624,0.00783432462067625,0.0034430522620596017
2019-05-31,2019-06-30,development,0.0412807878729534,0.2899874711260753,0.0407008129307013,0.0392328030418345,0.0005799749422521506,0.001468009888866799,0.039232803041834456,0.0412807878729534,0.040700812930701255,0.039830850517323026,0.03838091316169265
2019-06-30,2019-07-31,development,0.0257456339072524,0.1638512809496663,0.0254179313453531,0.0246746408987182,0.0003277025618993326,0.0007432904466348998,0.024674640898718167,0.0257456339072524,0.025417931345353067,0.024926377502504066,0.024107121097755736
2019-07-31,2019-08-31,development,-0.0190553710387838,0.7924454014624294,-0.0206402618417087,-0.0240864962717201,0.0015848908029248588,0.003446234430011401,-0.024086496271720062,-0.0190553710387838,-0.02064026184170866,-0.023017598046095947,-0.026979825053408096
2019-08-31,2019-09-30,development,0.0084911402827158,0.2385810329287974,0.0080139782168582,0.0068350682259876,0.0004771620658575948,0.0011789099908705997,0.006835068225987605,0.0084911402827158,0.008013978216858205,0.007298235118071813,0.006105329953427826
2019-09-30,2019-10-31,development,0.0097459193903806,0.1703824739772452,0.0094051544424261,0.0086981409945282,0.0003407649479544904,0.0007070134478979005,0.008698140994528208,0.0097459193903806,0.009405154442426109,0.008894007020494374,0.008042094650608147
2019-10-31,2019-11-30,development,0.0263504798036087,0.7822451174138267,0.024785989568781,0.0212607132264428,0.0015644902348276534,0.0035252763423382003,0.021260713226442848,0.0263504798036087,0.024785989568781048,0.022439254216539566,0.018528028629470433
2019-11-30,2019-12-31,development,0.0090670684237538,0.2392954159301736,0.0085884775918934,0.0074271179155887,0.0004785908318603472,0.0011613596763046996,0.007427117915588754,0.0090670684237538,0.008588477591893453,0.007870591344102933,0.0066741142644520645
2019-12-31,2020-01-31,development,0.0050305943282878,0.142456535083169,0.0047456812581214,0.0041783396376308,0.000284913070166338,0.0005673416204905997,0.004178339637630862,0.0050305943282878,0.0047456812581214616,0.004318311652871955,0.00360602897745611
2020-01-31,2020-02-29,development,-0.0375047225895372,0.3720231252394996,-0.0382487688400162,-0.0396401972713764,0.0007440462504789992,0.0013914284313602046,-0.0396401972713764,-0.0375047225895372,-0.0382487688400162,-0.0393648382157347,-0.0412249538419322
2020-02-29,2020-03-31,development,0.0449368296003939,0.1938584291525468,0.0445491127420888,0.0434223124586901,0.00038771685830509364,0.0011268002833987045,0.0434223124586901,0.0449368296003939,0.0445491127420888,0.04396753745463117,0.04299824530886843
2020-03-31,2020-04-30,development,-0.0288305809551435,0.3285298854543657,-0.0294876407260523,-0.0310918408490856,0.0006570597709087314,0.001604200123033299,-0.03109184084908553,-0.0288305809551435,-0.02948764072605223,-0.03047323038241533,-0.03211587980968716
2020-04-30,2020-05-31,development,0.0235348104713525,0.6303840354978785,0.0222740424003567,0.0195532308409071,0.001260768070995757,0.0027208115594496013,0.01955323084090714,0.0235348104713525,0.02227404240035674,0.020382890293863108,0.017230970116373714
