candidate,cost_bps,mean_turnover,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months
production_core,0,0.25775771012668264,0.12276468095504622,0.18476498467708788,0.6644369395510787,-0.24458064087074605,1.5010317863044933,95
production_core,20,0.25775771012668264,0.11589284201967853,0.18478306201809783,0.6271832534538684,-0.2464486936815371,1.3823819676216225,95
production_core,50,0.25775771012668264,0.1056558673198773,0.18481725702655882,0.5716774992753746,-0.24956355275831554,1.2147504640140712,95
production_core,100,0.25775771012668264,0.08878145516000902,0.1848931136722217,0.48017718668203446,-0.2547295692661963,0.960863342447267,95
production_core,150,0.25775771012668264,0.07213856953943454,0.18499252560168072,0.3899539687066099,-0.2598639645251243,0.7357470995726663,95
production_core,200,0.25775771012668264,0.05572436675759285,0.18511545486549558,0.3010249295396866,-0.26496690843021875,0.5361789796942593,95
tail_penalty_0.05,0,0.255684781849146,0.12166169947313143,0.18245277324095605,0.6668120046191847,-0.23687900132163953,1.4816467806874818,95
tail_penalty_0.05,20,0.255684781849146,0.11484896710979986,0.18248294849458652,0.6293682125220973,-0.23834990526963729,1.3647956449514465,95
tail_penalty_0.05,50,0.255684781849146,0.10469952676992911,0.18253511365909522,0.5735856771397267,-0.24055166874879308,1.1996301459655947,95
tail_penalty_0.05,100,0.255684781849146,0.08796803876527393,0.18264044347155786,0.4816459985160569,-0.24559412089347699,0.9492958288539801,95
tail_penalty_0.05,150,0.255684781849146,0.07146442534280517,0.18276872293191002,0.3910101476685868,-0.25071001751947153,0.7271255279816191,95
tail_penalty_0.05,200,0.255684781849146,0.05518590672553714,0.1829199037572476,0.3016943787526489,-0.25579506332644897,0.5299871193121715,95
tail_penalty_0.10,0,0.25479706042524347,0.11440232511501369,0.18055369176114272,0.6336194181305266,-0.23809440928094494,1.3573057136705118,95
tail_penalty_0.10,20,0.25479706042524347,0.10765283146180393,0.18058826742585474,0.5961230648940338,-0.23960959010784522,1.2466167417927099,95
tail_penalty_0.10,50,0.25479706042524347,0.09759742281041506,0.18064697230560625,0.5402660313913614,-0.24205937654928644,1.0901351672610917,95
tail_penalty_0.10,100,0.25479706042524347,0.08102047185154615,0.1807630370190503,0.44821371220382594,-0.24726800463482612,0.8528994599721691,95
tail_penalty_0.10,150,0.25479706042524347,0.06466870162392624,0.18090184204723272,0.3574795087329266,-0.2524447645906541,0.6422830987915547,95
tail_penalty_0.10,200,0.25479706042524347,0.04853937136994113,0.18106333509127864,0.2680795167363464,-0.2575898277622025,0.4553335572554871,95
tail_penalty_0.15,0,0.2564462418258383,0.10910941104467597,0.17964997222360127,0.6073444359282895,-0.24004664496728667,1.2701118582809467,95
tail_penalty_0.15,20,0.2564462418258383,0.10234339326113595,0.17969924738522924,0.569525998301695,-0.24163373344711914,1.1627624456732963,95
tail_penalty_0.15,50,0.2564462418258383,0.0922638968942775,0.1797799291521143,0.513204657101693,-0.24400899392095998,1.011067588449106,95
tail_penalty_0.15,100,0.2564462418258383,0.0756486350737382,0.17993242183652414,0.42042803793564254,-0.24851710594531706,0.7812473908250863,95
tail_penalty_0.15,150,0.2564462418258383,0.0592608043435745,0.18010739303535986,0.329030382067326,-0.25384399590206397,0.5773920381634339,95
tail_penalty_0.15,200,0.2564462418258383,0.04309761412896074,0.18030477730789457,0.23902646825250662,-0.25913720508703353,0.3966016056986459,95
liquidity_penalty_0.05,0,0.25390847558278645,0.12013169151746217,0.18263012072946322,0.6577868482900349,-0.2420312998812898,1.4549741357275154,95
liquidity_penalty_0.05,20,0.25390847558278645,0.11337569780363932,0.18265456533426938,0.6207109994549254,-0.24408665307484678,1.3401682816093548,95
liquidity_penalty_0.05,50,0.25390847558278645,0.10331025203574895,0.18269833280771927,0.565469046422431,-0.24716040167904518,1.177825565717289,95
liquidity_penalty_0.05,100,0.25390847558278645,0.08671582260464783,0.1827901975919846,0.47440083629763713,-0.25225865326249,0.9316047187505587,95
liquidity_penalty_0.05,150,0.25390847558278645,0.0703456612447142,0.18290567944338992,0.38460074864152305,-0.2573262174101353,0.7129003015396937,95
liquidity_penalty_0.05,200,0.25390847558278645,0.054197055305670316,0.1830447336623324,0.2960863949555036,-0.26236325615944356,0.5186728894233696,95
liquidity_penalty_0.10,0,0.24980170509159116,0.11780136921595386,0.18267898672859492,0.6448545140606163,-0.24315083955229178,1.4148308287727844,95
liquidity_penalty_0.10,20,0.24980170509159116,0.11116641782005088,0.18270667693881015,0.6084420103447087,-0.24459856071973873,1.303657627889132,95
liquidity_penalty_0.10,50,0.24980170509159116,0.10128019678346312,0.18275529099566565,0.5541847583819893,-0.24731311252353128,1.1463035934041663,95
liquidity_penalty_0.10,100,0.24980170509159116,0.08497831272715595,0.18285517360854397,0.4647301525582063,-0.2523158748663057,0.9072898765328097,95
liquidity_penalty_0.10,150,0.24980170509159116,0.0688931128073651,0.18297859595506558,0.3765091345672109,-0.2572890568471008,0.6945837615645354,95
liquidity_penalty_0.10,200,0.24980170509159116,0.05302202016006352,0.18312551043953323,0.2895392347729238,-0.2622328120179901,0.5053234811280787,95
liquidity_penalty_0.15,0,0.24732281683277454,0.1138071759700805,0.1814261646991055,0.627291968381899,-0.24070007571145202,1.3473576154434408,95
liquidity_penalty_0.15,20,0.24732281683277454,0.10725922018968093,0.1814557976792678,0.5911038476668955,-0.24215123561219487,1.2403042396359676,95
liquidity_penalty_0.15,50,0.24732281683277454,0.09750197201221766,0.18150736346994933,0.5371791543231812,-0.24432349114250862,1.0886966250597374,95
liquidity_penalty_0.15,100,0.24732281683277454,0.08141103383866488,0.18161226460478566,0.44826837006755554,-0.2488345197493681,0.8582057740135602,95
liquidity_penalty_0.15,150,0.24732281683277454,0.06553184260785527,0.18174082706047653,0.36057854290521485,-0.25379853534438424,0.6528531115654159,95
liquidity_penalty_0.15,200,0.24732281683277454,0.04986190568203108,0.18189300066537586,0.2741276767090165,-0.25873335266972264,0.469929162052628,95
composite_penalty_0.05,0,0.2546649649304412,0.12095645533008792,0.18252847776107395,0.6626716927339823,-0.23848700634217868,1.4693209633428759,95
composite_penalty_0.05,20,0.2546649649304412,0.11417606003873915,0.18255194543662534,0.6254442250158132,-0.23997428872948579,1.3535192930960722,95
composite_penalty_0.05,50,0.2546649649304412,0.10407448682848153,0.18259414775509364,0.569977121983518,-0.24248323889128476,1.1897966952433534,95
composite_penalty_0.05,100,0.2546649649304412,0.08742109572674273,0.1826831386749801,0.4785394884323593,-0.24763705966436844,0.9415513693290849,95
composite_penalty_0.05,150,0.2546649649304412,0.07099351083776839,0.18279541646051742,0.3883768653088876,-0.2527596797186493,0.7211252615357127,95
composite_penalty_0.05,200,0.2546649649304412,0.054788990741221344,0.1829309382332713,0.2995064217697014,-0.25785126496386634,0.5254368738175579,95
composite_penalty_0.10,0,0.2521221337306941,0.11605345260753408,0.18145413173885483,0.6395745938403645,-0.23690307673034672,1.3850979166410022,95
composite_penalty_0.10,20,0.2521221337306941,0.10936503391736396,0.18149087714614875,0.6025924588446163,-0.23838059927947464,1.2742572074369707,95
composite_penalty_0.10,50,0.2521221337306941,0.09939983397890417,0.18155299043323486,0.5474976410011706,-0.24081015174279863,1.1174623521868918,95
composite_penalty_0.10,100,0.2521221337306941,0.08296953588230127,0.18167514440456897,0.4566917293734908,-0.2459286205145944,0.8795125652691713,95
composite_penalty_0.10,150,0.2521221337306941,0.06675987736496136,0.18182054670089925,0.36717454972117947,-0.2510164010317788,0.6679940335679697,95
composite_penalty_0.10,200,0.2521221337306941,0.050768205981055914,0.18198914159869242,0.27896283006271777,-0.25607365478151767,0.4800048692442511,95
composite_penalty_0.15,0,0.25060002037846596,0.11440744985467988,0.18122252080309845,0.6313092288291566,-0.23730391025628939,1.3573915349477819,95
composite_penalty_0.15,20,0.25060002037846596,0.10776820699025302,0.18126006619642548,0.5945501910689375,-0.2387737920607309,1.2484700081422204,95
composite_penalty_0.15,50,0.25060002037846596,0.09787588112259882,0.18132329748799855,0.5397865717122039,-0.2409740262306147,1.0943367691628416,95
composite_penalty_0.15,100,0.25060002037846596,0.08156469439975234,0.18144709606124818,0.4495232834821443,-0.2450028719506656,0.8602970974480095,95
composite_penalty_0.15,150,0.25060002037846596,0.06547125897720307,0.18159386943849518,0.36053672505380374,-0.250022794133986,0.6521092706094638,95
composite_penalty_0.15,200,0.25060002037846596,0.049592971966618604,0.18176356196355056,0.2728433104571509,-0.2550129856134318,0.4669508710727679,95
