metric,current_advanced,turnover_aware,change
mean_cross_sectional_ic,0.11711925780827691,0.12100759184323412,0.003888334034957211
cross_sectional_icir_annualized,3.0711448661120198,3.2451692299984947,0.1740243638864749
positive_ic_month_share,0.8736842105263158,0.8526315789473684,-0.021052631578947434
decile_monotonicity_spearman,0.9515151515151514,0.9636363636363635,0.012121212121212088
long_short_monthly_t_stat_20bps,3.5411457946894243,2.4470562591898237,-1.0940895354996005
long_only_avg_monthly_turnover,0.34863627590615204,0.14944410038451617,-0.19919217552163587
long_short_avg_monthly_turnover,1.1337879877255135,0.3764309572698617,-0.7573570304556518
paired_long_only_months,95.0,95.0,0.0
paired_long_short_months,93.0,93.0,0.0
long_only_sharpe_20bps,0.5650773467770579,0.4800951286865975,-0.08498221809046042
long_only_annual_return_20bps,0.10693216295985652,0.09054253215463737,-0.016389630805219157
long_only_max_drawdown_20bps,-0.25380304950734345,-0.26583845198774503,-0.01203540248040158
long_short_sharpe_20bps,1.302335644842665,0.8503835888175582,-0.4519520560251069
long_short_annual_return_20bps,0.20617831730796787,0.12400511143004134,-0.08217320587792654
long_short_max_drawdown_20bps,-0.2193448385450495,-0.23883419220745206,-0.019489353662402564
long_only_sharpe_50bps,0.4921316218467781,0.4492379525386382,-0.042893669308139926
long_only_annual_return_50bps,0.09319025807596937,0.08472317487440506,-0.008467083201564307
long_only_max_drawdown_50bps,-0.26116120692361766,-0.2683673490288827,-0.007206142105265045
long_short_sharpe_50bps,0.9998285157181702,0.7451303090744907,-0.2546982066436795
long_short_annual_return_50bps,0.15850638615158785,0.10894265980540152,-0.04956372634618633
long_short_max_drawdown_50bps,-0.22534621897481955,-0.24652111963513035,-0.021174900660310803
long_only_sharpe_100bps,0.37256879054665926,0.3980716028068664,0.02550281226020712
long_only_annual_return_100bps,0.07063173451664229,0.0750827119327031,0.0044509774160608195
long_only_max_drawdown_100bps,-0.2732870087938948,-0.2725661507741701,0.0007208580197246572
long_short_sharpe_100bps,0.5214129902483939,0.5731233920123332,0.05171040176393926
long_short_annual_return_100bps,0.08286876690364098,0.08422953148919432,0.0013607645855533423
long_short_max_drawdown_100bps,-0.23529717803227312,-0.25917862628590926,-0.02388144825363614
