cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,average_turnover,average_invested_weight
0,0.08976791993066646,0.19009404917504147,0.47222898517989276,-0.3243793944234885,0.9608745824680704,94,0.197669963865263,1.0
20,0.08461971604898544,0.19016271012607835,0.44498585444476657,-0.3273885444142557,0.8894716289290974,94,0.197669963865263,1.0
50,0.07693837805675297,0.190269277744071,0.4043657440075107,-0.3318797656451573,0.7871528112974755,94,0.197669963865263,1.0
100,0.06424469710429492,0.190456408985356,0.33731969140106294,-0.3393054771492957,0.6286397977190217,94,0.197669963865263,1.0
150,0.0516855746339393,0.19065540785092716,0.27109419667944634,-0.34665718713174853,0.4840197579954686,94,0.197669963865263,1.0
200,0.03925971933276173,0.19086623722091073,0.2056923209908628,-0.3539355487291497,0.35208940358696816,94,0.197669963865263,1.0
