signal_month,realization_month,period,long_gross_return,short_sale_gross_return,long_turnover,short_turnover,long_net_return_20bps,short_sale_net_return_20bps,long_contribution,short_contribution,long_unresolved_weight,short_unresolved_weight,long_names,short_names,period_long_sharpe_20bps,period_short_sharpe_20bps
2018-01-31,2018-02-28,development,-0.04309731744252439,0.05293952628704967,1.0,1.0,-0.04509731744252439,0.05093952628704967,-0.04309731744252439,0.05293952628704967,0.0,0.0,206,206,0.3165657469898829,0.4779224847590204
2018-02-28,2018-03-31,development,0.021425872307549446,-0.045934407731577566,0.6492318905584211,0.5793451446512671,0.020127408526432605,-0.0470930980208801,0.021425872307549446,-0.045934407731577566,0.0,0.0,197,197,0.3165657469898829,0.4779224847590204
2018-03-31,2018-04-30,development,-0.027498567371378527,0.09221308464457821,0.7296242306446388,0.6512579635028614,-0.028957815832667804,0.09091056871757248,-0.027498567371378527,0.09221308464457821,0.0,0.0,207,207,0.3165657469898829,0.4779224847590204
2018-04-30,2018-05-31,development,-0.009764801985208408,0.01667483840729598,0.6461650010278837,0.6760900433891505,-0.011057131987264174,0.015322658320517678,-0.009764801985208408,0.01667483840729598,0.0,0.0,210,210,0.3165657469898829,0.4779224847590204
2018-05-31,2018-06-30,development,-0.11247010503916297,0.10906548967076143,0.5826754201680672,0.6347633831310302,-0.1136354558794991,0.10779596290449937,-0.11247010503916297,0.10906548967076143,0.0,0.0,220,220,0.3165657469898829,0.4779224847590204
2018-06-30,2018-07-31,development,0.030617402170786307,0.05193869520957003,0.658742106366356,0.5544117647058823,0.029299917958053597,0.05082987168015826,0.030617402170786307,0.05193869520957003,0.0,0.0,220,220,0.3165657469898829,0.4779224847590204
2018-07-31,2018-08-31,development,-0.06546759243548174,0.10942718821701711,0.7933095159245964,0.7188288862342966,-0.06705421146733093,0.10798953044454851,-0.06546759243548174,0.10942718821701711,0.0,0.0,226,226,0.3165657469898829,0.4779224847590204
2018-08-31,2018-09-30,development,-0.0018656477884753631,0.011900848664154846,0.6720322439320555,0.645487070690345,-0.0032097122763394743,0.010609874522774156,-0.0018656477884753631,0.011900848664154846,0.0,0.0,229,229,0.3165657469898829,0.4779224847590204
2018-09-30,2018-10-31,development,-0.08908556264345294,0.10319676626962872,0.6554880862601451,0.6585014005602241,-0.09039653881597323,0.10187976346850827,-0.08908556264345294,0.10319676626962872,0.0,0.0,231,231,0.3165657469898829,0.4779224847590204
2018-10-31,2018-11-30,development,0.04695406480347141,-0.04123349297688597,0.5658920940170941,0.6564636752136752,0.04582228061543722,-0.042546420327313324,0.04695406480347141,-0.04123349297688597,0.0,0.0,234,234,0.3165657469898829,0.4779224847590204
2018-11-30,2018-12-31,development,-0.026565536335598345,0.06496973862385905,0.7029958321516552,0.6689010115164963,-0.027971527999901654,0.06363193660082606,-0.026565536335598345,0.06496973862385905,0.0,0.0,238,238,0.3165657469898829,0.4779224847590204
