series,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
staggered_hybrid_long_only,0,0.09209727496510989,0.179072742801144,0.5143009121571434,-0.24627230768634256,1.008640170841645,95,0.1498001186112605
staggered_hybrid_long_only,20,0.0881908532781055,0.1791256688664882,0.49234067811821425,-0.24787171409989361,0.9524585074543135,95,0.1498001186112605
staggered_hybrid_long_only,50,0.08235435754293108,0.17920910756176253,0.4595433717817523,-0.25026537587900055,0.8710769000609617,95,0.1498001186112605
staggered_hybrid_long_only,100,0.0726882663984636,0.1793589539903715,0.4052670066439265,-0.25424032120812945,0.742804931257433,95,0.1498001186112605
staggered_hybrid_long_only,150,0.0630984480897312,0.17952224832770763,0.35147982312781967,-0.2581972121774555,0.6232051664513703,95,0.1498001186112605
staggered_hybrid_long_only,200,0.05358435263359107,0.17969895391300467,0.2981895635270764,-0.26279445720146,0.5116992133745004,95,0.1498001186112605
staggered_hybrid_industry_neutral_diagnostic,0,0.13970489460340163,0.14235792370304043,0.9813636710157909,-0.21876452345949082,1.815831131682419,95,0.3541196596995699
staggered_hybrid_industry_neutral_diagnostic,20,0.13014972885137754,0.14238070308877626,0.9140966860532179,-0.22425057621609112,1.6342675531047717,95,0.3541196596995699
staggered_hybrid_industry_neutral_diagnostic,50,0.11595130761261774,0.14243587517306455,0.8140597126372331,-0.23241389767818144,1.3833703165868818,95,0.3541196596995699
staggered_hybrid_industry_neutral_diagnostic,100,0.09264143589245721,0.14258375617182656,0.6497334505679297,-0.24584576548573367,1.0165772186523503,95,0.3541196596995699
staggered_hybrid_industry_neutral_diagnostic,150,0.06976777333374407,0.1428013494484239,0.48856522437095284,-0.2590632613191578,0.705592559615768,95,0.3541196596995699
staggered_hybrid_industry_neutral_diagnostic,200,0.04732292647444991,0.14308833697051904,0.33072525319935764,-0.27206947918498636,0.44202071920510044,95,0.3541196596995699
