candidate,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,mean_turnover
production_core,0.19247624416023656,0.21530413803761703,0.8939737336892611,-0.10691560802378786,0.4219995928865039,24,0.32379022276092023
tail_penalty_0.05,0.19795060615712878,0.21002869841196242,0.942493133813823,-0.10403634706956555,0.4350856547922324,24,0.3164310894206984
tail_penalty_0.10,0.18598900483114322,0.2091214967095829,0.8893825252668075,-0.1081338890478436,0.4065699195803656,24,0.31134306612160123
tail_penalty_0.15,0.17638172660876772,0.2051884220578269,0.8596085726467512,-0.11029846054889847,0.3838739666990254,24,0.3085452116189833
liquidity_penalty_0.05,0.19553986991801287,0.21117878122091915,0.9259446843452229,-0.10566557873660398,0.4293155805635793,24,0.31712015195776805
liquidity_penalty_0.10,0.19230792809432318,0.21094768668310449,0.9116380042755206,-0.10615761885097497,0.4215981953965777,24,0.3118494578009512
liquidity_penalty_0.15,0.18726581737027392,0.20828168017738374,0.8990988415821709,-0.10680429268659486,0.4096001210959044,24,0.30755943655680007
composite_penalty_0.05,0.1955249769996863,0.21094251908663406,0.9269111691957382,-0.10617915120724353,0.42927997063010026,24,0.3165207672487746
composite_penalty_0.10,0.18510690346695213,0.20961110522017878,0.8830968343614854,-0.1088358775326469,0.40447837264502784,24,0.31174828998574916
composite_penalty_0.15,0.18222743345941228,0.20836143957132047,0.8745736919188316,-0.10951470849834344,0.39766170442402893,24,0.3064633422971786
