train_months,top_frac,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,avg_turnover
36,0.1,0.10225066913853098,0.1990643488039598,0.5136563616382573,-0.2720709551507322,1.1613226506280436,95,0.4391514862595362
60,0.05,0.09298226141683208,0.19313315032506112,0.48144122984756504,-0.2685863606849097,1.021562391174279,95,0.3858941282687376
60,0.1,0.10606635834954026,0.19994082271120828,0.5304887561793272,-0.265841007882863,1.2212683764627914,95,0.46587760615756274
60,0.2,0.09903928578931742,0.20268620629900574,0.4886335759978317,-0.26016458881175153,1.1119710772499958,95,0.42737993729442625
84,0.1,0.11796939779870508,0.20234112125760864,0.5830223588042367,-0.26584100788286325,1.4177060639814956,95,0.48072568859123527
