candidate,period,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,mean_turnover
production_core,development,0.10450795806440438,0.1763668624761405,0.5925600569015201,-0.2464486936815371,0.4759715734911927,47,0.188562564940673
production_core,selection,0.053223766694370456,0.17332665714395992,0.3070720197999572,-0.1487852478142635,0.10928030272987788,24,0.3272323568150472
production_core,retrospective_test,0.2062742281489347,0.21527701301727745,0.9581804636632514,-0.10347824890649404,0.455097513496308,24,0.32379022276092023
tail_penalty_0.05,development,0.10573578626054236,0.1746602545034807,0.6053797789378306,-0.23834990526963729,0.48240833395664073,47,0.1901264279230255
tail_penalty_0.05,selection,0.042540339872569666,0.1728342831376632,0.24613369003119662,-0.15148004218510314,0.08689036026161312,24,0.3233235840495796
tail_penalty_0.05,retrospective_test,0.21149050864446806,0.20999535054596646,1.0071199581067596,-0.10066999539861732,0.46770925253563167,24,0.3164310894206984
tail_penalty_0.10,development,0.10158359174831166,0.17232439233138264,0.5894904973926428,-0.23960959010784522,0.4607247195178865,47,0.19215397942678142
tail_penalty_0.10,selection,0.03418081991291144,0.17055380796810332,0.200410769598905,-0.15061830524490027,0.06952996827574176,24,0.32092708835087386
tail_penalty_0.10,retrospective_test,0.19917848227140889,0.2091272691213597,0.9524271182244656,-0.10489339653680863,0.4380290323427598,24,0.31134306612160123
tail_penalty_0.15,development,0.09741364793045926,0.17231364050764045,0.5653275483210507,-0.24163373344711914,0.43918701345711075,47,0.19561785693972059
tail_penalty_0.15,selection,0.030703580054872948,0.17177242859030423,0.178745682918091,-0.14974112354014857,0.0623498699379319,24,0.3234695257680074
tail_penalty_0.15,retrospective_test,0.18935638842850833,0.2051823673335742,0.9228687186392733,-0.10711681498387016,0.4145686186957047,24,0.3085452116189833
liquidity_penalty_0.05,development,0.10154595260474153,0.17454796692662566,0.5817653129550812,-0.24408665307484678,0.4605292470369977,47,0.1859425020482046
liquidity_penalty_0.05,selection,0.046918105669764065,0.17256365815866417,0.2718886825325937,-0.14899273408799008,0.09603751997916743,24,0.3237968307130276
liquidity_penalty_0.05,retrospective_test,0.20908185765324427,0.2111564434337906,0.9901751244394451,-0.1022988347517092,0.4618789385062203,24,0.31712015195776805
liquidity_penalty_0.10,development,0.10319180830625396,0.1746713867838584,0.5907768307464428,-0.24459856071973873,0.4690949336767454,47,0.1824316238432848
liquidity_penalty_0.10,selection,0.038689788056108565,0.17268184459760358,0.22405243670095407,-0.1513284569326956,0.07887647581204393,24,0.3196870281601642
liquidity_penalty_0.10,retrospective_test,0.20558594088845772,0.210944185544526,0.974598756338144,-0.10288462622374739,0.4534374608679077,24,0.3118494578009512
liquidity_penalty_0.15,development,0.1006829877503077,0.17402115287138809,0.5785675252060787,-0.24215123561219487,0.4560529267498963,47,0.18115419224058768
liquidity_penalty_0.15,selection,0.033409251855815114,0.17184366329335346,0.1944165482481734,-0.15134012181172796,0.06793468182119566,24,0.31666642026844816
liquidity_penalty_0.15,retrospective_test,0.20030765048690635,0.20828337157726937,0.9617073555610071,-0.10354772481134933,0.44073845581739746,24,0.30755943655680007
composite_penalty_0.05,development,0.10450138684863441,0.17436407035262294,0.5993286726863933,-0.23997428872948579,0.4759371806768362,47,0.1880755102132673
composite_penalty_0.05,selection,0.04444183357753406,0.1727323430472411,0.25728727344003854,-0.15004322900810574,0.09085874372680114,24,0.3232135114332401
composite_penalty_0.05,retrospective_test,0.20904004702473178,0.21092367315818214,0.991069631467883,-0.10281286931117373,0.4617778353095654,24,0.3165207672487746
composite_penalty_0.10,development,0.10369214150810269,0.17329339759865492,0.5983617549484039,-0.23838059927947464,0.4717062651261301,47,0.1864419391912893
composite_penalty_0.10,selection,0.03738624045954286,0.1720823176193553,0.21725788550942768,-0.15058321926557305,0.07617021189478468,24,0.3211196917819733
composite_penalty_0.10,retrospective_test,0.19830876828241273,0.20959886285355453,0.9461347527489683,-0.10556412358714184,0.43594390414251327,24,0.31174828998574916
composite_penalty_0.15,development,0.10549194258910677,0.17366270674654538,0.6074530598159371,-0.2387737920607309,0.48112834886639155,47,0.186948415972185
composite_penalty_0.15,selection,0.03090052284276701,0.17174559243869278,0.17992032519726772,-0.15223754896138608,0.06275588799749054,24,0.31938775708871986
composite_penalty_0.15,retrospective_test,0.19517208880612724,0.20836192560530578,0.9366974711869208,-0.10631196735499215,0.4284363218612013,24,0.3064633422971786
