month,Stkcd,trade_weight,direction,average_daily_amount,position_weight_after
2018-02-28,002505,0.004149377593360996,buy,64373048.89681818,0.004149377593360996
2018-02-28,300449,0.004149377593360996,buy,23048273.58363637,0.004149377593360996
2018-02-28,600545,0.004149377593360996,buy,55641283.54545455,0.004149377593360996
2018-02-28,601985,0.004149377593360996,buy,222822692.72727272,0.004149377593360996
2018-02-28,002245,0.004149377593360996,buy,167336616.29545453,0.004149377593360996
2018-02-28,300338,0.004149377593360996,buy,24535760.98545455,0.004149377593360996
2018-02-28,002619,0.004149377593360996,buy,81767433.57590908,0.004149377593360996
2018-02-28,000628,0.004149377593360996,buy,26010093.60954545,0.004149377593360996
2018-02-28,603011,0.004149377593360996,buy,60984668.0,0.004149377593360996
2018-02-28,002815,0.004149377593360996,buy,28963315.906818185,0.004149377593360996
2018-02-28,600594,0.004149377593360996,buy,100164436.63636364,0.004149377593360996
2018-02-28,600575,0.004149377593360996,buy,38142298.5882353,0.004149377593360996
2018-02-28,002614,0.004149377593360996,buy,82160872.96772727,0.004149377593360996
2018-02-28,000061,0.004149377593360996,buy,34853163.11,0.004149377593360996
2018-02-28,603878,0.004149377593360996,buy,38634015.86363637,0.004149377593360996
2018-02-28,603031,0.004149377593360996,buy,23325778.272727277,0.004149377593360996
2018-02-28,002149,0.004149377593360996,buy,52516020.41818182,0.004149377593360996
2018-02-28,002782,0.004149377593360996,buy,30656684.65954545,0.004149377593360996
2018-02-28,002401,0.004149377593360996,buy,63321744.82727273,0.004149377593360996
2018-02-28,600590,0.004149377593360996,buy,45896329.90909091,0.004149377593360996
2018-02-28,300274,0.004149377593360996,buy,313312556.14090914,0.004149377593360996
2018-02-28,002713,0.004149377593360996,buy,73164455.805,0.004149377593360996
2018-02-28,000895,0.004149377593360996,buy,487681932.44818187,0.004149377593360996
2018-02-28,600133,0.004149377593360996,buy,165928017.4090909,0.004149377593360996
2018-02-28,600900,0.004149377593360996,buy,418357338.6363636,0.004149377593360996
2018-02-28,600836,0.004149377593360996,buy,28502249.863636363,0.004149377593360996
2018-02-28,601288,0.004149377593360996,buy,2970230873.909091,0.004149377593360996
2018-02-28,000903,0.004149377593360996,buy,28954700.73090909,0.004149377593360996
2018-02-28,601003,0.004149377593360996,buy,375209383.9,0.004149377593360996
2018-02-28,600388,0.004149377593360996,buy,266136093.1818182,0.004149377593360996
2018-02-28,600377,0.004149377593360996,buy,58296214.95454545,0.004149377593360996
2018-02-28,600328,0.004149377593360996,buy,188011193.4117647,0.004149377593360996
2018-02-28,600519,0.004149377593360996,buy,4250182209.772728,0.004149377593360996
2018-02-28,002672,0.004149377593360996,buy,80821325.87954547,0.004149377593360996
2018-02-28,002081,0.004149377593360996,buy,374288995.5804545,0.004149377593360996
2018-02-28,000835,0.004149377593360996,buy,41457828.88545454,0.004149377593360996
2018-02-28,002217,0.004149377593360996,buy,165829121.6813636,0.004149377593360996
2018-02-28,002083,0.004149377593360996,buy,31076131.196818184,0.004149377593360996
2018-02-28,603003,0.004149377593360996,buy,35422579.90909091,0.004149377593360996
2018-02-28,600256,0.004149377593360996,buy,325367818.3636364,0.004149377593360996
2018-02-28,002412,0.004149377593360996,buy,23961471.13090909,0.004149377593360996
2018-02-28,600718,0.004149377593360996,buy,134035542.86363636,0.004149377593360996
2018-02-28,002539,0.004149377593360996,buy,23778510.445454545,0.004149377593360996
2018-02-28,300229,0.004149377593360996,buy,89643945.18363637,0.004149377593360996
2018-02-28,002618,0.004149377593360996,buy,52900186.78,0.004149377593360996
2018-02-28,002534,0.004149377593360996,buy,41708987.62909091,0.004149377593360996
2018-02-28,600019,0.004149377593360996,buy,1620013452.3181818,0.004149377593360996
2018-02-28,000333,0.004149377593360996,buy,2104132052.565909,0.004149377593360996
2018-02-28,600323,0.004149377593360996,buy,107622566.4090909,0.004149377593360996
2018-02-28,002649,0.004149377593360996,buy,209100655.9568182,0.004149377593360996
2018-02-28,600795,0.004149377593360996,buy,159821259.27272728,0.004149377593360996
2018-02-28,002097,0.004149377593360996,buy,51119746.61727273,0.004149377593360996
2018-02-28,002355,0.004149377593360996,buy,76444368.08181818,0.004149377593360996
2018-02-28,002300,0.004149377593360996,buy,49487310.17454545,0.004149377593360996
2018-02-28,600439,0.004149377593360996,buy,31445678.181818184,0.004149377593360996
2018-02-28,600690,0.004149377593360996,buy,1601047401.5,0.004149377593360996
2018-02-28,600689,0.004149377593360996,buy,26379703.727272727,0.004149377593360996
2018-02-28,600052,0.004149377593360996,buy,34973453.04545455,0.004149377593360996
2018-02-28,300366,0.004149377593360996,buy,40942667.30636364,0.004149377593360996
2018-02-28,600321,0.004149377593360996,buy,27401748.0,0.004149377593360996
