stock_cost_bps,futures_trade_cost_bps,annual_roll_cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months
20,5,100.0,0.07751137146969467,0.12513433157726073,0.6194253047321183,-0.24644869368153688,0.8058142486590925,95
20,10,100.0,0.07735681476980028,0.12511226772066747,0.6182991978253591,-0.24644869368153688,0.8037646634386637,95
20,20,100.0,0.07704773478165339,0.1250683567274803,0.6160449916963232,-0.24644869368153688,0.7996720313820531,95
50,5,100.0,0.06760932165784261,0.12514825516423198,0.5402338336169286,-0.24956355275831532,0.6785379336275843,95
50,10,100.0,0.06745607258583153,0.1251261554432613,0.5391044929564676,-0.24956355275831532,0.6766314045671478,95
50,20,100.0,0.06714960760674527,0.1250821726593929,0.5368439496937596,-0.24956355275831532,0.6728244330836795,95
100,5,100.0,0.05128733511762551,0.1251993397271646,0.4096454121035405,-0.25472956926619594,0.48580337510728766,95
100,10,100.0,0.05113624357446911,0.1251771851851461,0.4085108919715275,-0.25472956926619594,0.48411368690090906,95
100,20,100.0,0.05083409324542165,0.12513309261285424,0.40624020540030786,-0.25472956926619594,0.4807397116912133,95
