signal_month,realization_month,theoretical_return,tradable_gross_return,tradable_return,theoretical_unresolved_return_weight,unresolved_return_weight,executed_turnover,unfilled_order_weight,actual_invested_weight,unsupported_limit_execution
2018-01-31,2018-02-28,-0.0372409089185097,-0.03249954047742092,-0.03444689729803578,0.0,0.0,0.4868392051537145,0.0263215896925636,0.973678410307429,False
2018-02-28,2018-03-31,0.0548748653112625,,,0.0,0.036455450999144795,0.15024687762971373,0.06560333513744086,1.0,False
2018-03-31,2018-04-30,-0.06140922619524795,,,0.0,0.04947199584561139,0.17690857477575148,0.0729109019982792,1.0,False
2018-04-30,2018-05-31,-0.02155436834805855,,,0.0,0.0458182124151919,0.2590974981764704,0.1371953995825183,1.0,False
2018-05-31,2018-06-30,-0.11272714676098922,,,0.0,0.045161253384891804,0.23325916087779297,0.14043703023665607,1.0,False
2018-06-30,2018-07-31,-0.008768267410562476,,,0.0,0.0377980155479398,0.2098812242388952,0.16126850913196286,1.0,False
2018-07-31,2018-08-31,-0.08424961251490039,,,0.0,0.0190560648199606,0.2346162199400026,0.10463212390161566,1.0,False
2018-08-31,2018-09-30,0.003275153251227923,,,0.0,0.0149533052573587,0.20247686350425717,0.06815801840601293,1.0000000000000002,False
2018-09-30,2018-10-31,-0.08751685280234724,,,0.0,0.0115684620122306,0.17601262864014477,0.06390172875033026,0.9999999999999999,False
2018-10-31,2018-11-30,0.04415228447942254,,,0.0,0.0115684620122306,0.16557577839520105,0.06138833191575668,1.0,False
2018-11-30,2018-12-31,-0.043970356488626974,,,0.0,0.0115684620122306,0.21049857478499026,0.06138833191575685,1.0000000000000002,False
2018-12-31,2019-01-31,-0.0004597333515908695,,,0.0,0.0115684620122306,0.16678860059808323,0.06485785322477547,0.9999999999999999,False
2019-01-31,2019-02-28,0.20770657428047287,,,0.0,0.0115684620122306,0.17193741560267342,0.061388331915756454,0.9999999999999999,False
2019-02-28,2019-03-31,0.08763896384944171,,,0.0,0.0115684620122306,0.18000350939940038,0.06138833191575714,1.0,False
2019-03-31,2019-04-30,-0.021475585708415887,,,0.0,0.0115684620122306,0.18171444606799764,0.04194091176451405,1.0,False
2019-04-30,2019-05-31,-0.03235854946115365,,,0.0,0.0115684620122306,0.17827029313390713,0.04466847019728668,1.0000000000000002,False
2019-05-31,2019-06-30,0.008356256402231328,,,0.0,0.0115684620122306,0.1749581402027233,0.05332041006885543,1.0000000000000002,False
2019-06-30,2019-07-31,-0.0069371716705008135,,,0.0,0.0115684620122306,0.16452835296060478,0.04752854203569997,1.0000000000000002,False
2019-07-31,2019-08-31,-0.028820045004832873,,,0.0,0.0115684620122306,0.17134285551474265,0.047528542035699645,1.0000000000000002,False
2019-08-31,2019-09-30,0.01355867530953476,,,0.0,0.0115684620122306,0.15716420895710553,0.04752854203569966,1.0000000000000002,False
2019-09-30,2019-10-31,-0.0017352185807647585,,,0.0,0.0115684620122306,0.15314649858172663,0.049129911145181636,1.0000000000000002,False
2019-10-31,2019-11-30,-0.028365439396925873,,,0.0,0.0115684620122306,0.17449033398899633,0.04752854203569938,1.0000000000000002,False
2019-11-30,2019-12-31,0.09157492837853896,,,0.0,0.0115684620122306,0.15544505637686806,0.04752854203569924,1.0000000000000002,False
2019-12-31,2020-01-31,0.005345366875323291,,,0.0,0.0115684620122306,0.19169515342443535,0.04752854203569923,1.0000000000000002,False
2020-01-31,2020-02-29,-0.005614267373661078,,,0.0,0.0115684620122306,0.1676447474057446,0.04752854203569978,1.0000000000000002,False
2020-02-29,2020-03-31,-0.03726566549666542,,,0.0,0.0115684620122306,0.18880896754418688,0.0475285420356991,1.0000000000000002,False
2020-03-31,2020-04-30,0.019500173629921624,,,0.0,0.0115684620122306,0.22636950815422363,0.047528542035699686,1.0000000000000002,False
2020-04-30,2020-05-31,0.00877892081831816,,,0.0,0.0115684620122306,0.19061405787323665,0.04752854203569931,1.0,False
2020-05-31,2020-06-30,0.07006532047045436,,,0.0,0.0115684620122306,0.1556894594645455,0.04752854203570004,1.0,False
2020-06-30,2020-07-31,0.14022638628196232,,,0.0,0.0129322412286171,0.18243021426073242,0.04752854203569981,1.0,False
2020-07-31,2020-08-31,0.035990779309813474,,,0.0,0.0129322412286171,0.17342743660872578,0.050814145110062665,0.9999999999999999,False
2020-08-31,2020-09-30,-0.07724861686935301,,,0.0,0.0129322412286171,0.18497601247567558,0.04845038250174301,1.0,False
2020-09-30,2020-10-31,-0.011134091649615683,,,0.0,0.0129322412286171,0.2190513004806391,0.04752854203569985,1.0,False
2020-10-31,2020-11-30,0.04432670455748021,,,0.0,0.0129322412286171,0.18315295862653122,0.040126218864044036,1.0,False
2020-11-30,2020-12-31,-0.033117136613851725,,,0.0,0.0129322412286171,0.17778378076836152,0.040126218864044376,1.0000000000000002,False
2020-12-31,2021-01-31,-0.06998446510601547,,,0.0,0.0129322412286171,0.17756389331871766,0.04012621886404418,1.0,False
2021-01-31,2021-02-28,0.05728753328008543,,,0.0,0.0129322412286171,0.15448134105593136,0.04012621886404361,1.0,False
2021-02-28,2021-03-31,0.025515976754071867,,,0.0,0.0129322412286171,0.16938571202409494,0.04306611051526303,0.9999999999999999,False
2021-03-31,2021-04-30,-0.01462655278935287,,,0.0,0.0129322412286171,0.19607426932431518,0.04012621886404398,1.0,False
2021-04-30,2021-05-31,0.04137778900694826,,,0.0,0.0129322412286171,0.21098020094546902,0.03726614702563109,1.0000000000000002,False
2021-05-31,2021-06-30,-0.002006904175543054,,,0.0,0.0115684620122306,0.21523337616558796,0.037266147025631594,1.0000000000000002,False
2021-06-30,2021-07-31,-0.022821014722960702,,,0.0,0.0115684620122306,0.1925058784096643,0.03453858859285803,1.0000000000000002,False
2021-07-31,2021-08-31,0.07846913130781824,,,0.0,0.0115684620122306,0.17853612871026386,0.0345385885928582,1.0,False
2021-08-31,2021-09-30,0.020249967600100765,,,0.0,0.0115684620122306,0.18823215372446775,0.034538588592859014,1.0,False
2021-09-30,2021-10-31,-0.027189174907817595,,,0.0,0.0115684620122306,0.1887853249785595,0.03453858859285864,1.0,False
2021-10-31,2021-11-30,0.0464484177139373,,,0.0,0.0115684620122306,0.17879370217567103,0.0345385885928583,0.9999999999999999,False
2021-11-30,2021-12-31,0.066416160952313,,,0.0,0.0115684620122306,0.214190180989253,0.03563938204302453,1.0,False
2021-12-31,2022-01-31,-0.056989012367926375,,,0.0,0.0115684620122306,0.17676972121597537,0.034538588592858625,1.0,False
2022-01-31,2022-02-28,0.033606450326358214,,,0.0,0.0115684620122306,0.18789105963467997,0.034538588592857467,1.0,False
2022-02-28,2022-03-31,-0.042586591773745984,,,0.0,0.0115684620122306,0.1551008577423781,0.04400573708374046,1.0,False
2022-03-31,2022-04-30,-0.0838088109970574,,,0.0,0.0115684620122306,0.17520224176178972,0.0345385885928584,1.0,False
2022-04-30,2022-05-31,0.07488953062233863,,,0.0,0.0115684620122306,0.1991192681513067,0.03745524906748512,1.0,False
2022-05-31,2022-06-30,0.037659770373506964,,,0.0,0.0115684620122306,0.18087859295407077,0.042113730113569454,1.0,False
2022-06-30,2022-07-31,-0.002191614104006342,,,0.0,0.0115684620122306,0.16580621443972723,0.042113730113569184,1.0000000000000002,False
2022-07-31,2022-08-31,-0.0006836251210365024,,,0.0,0.0115684620122306,0.19928232772412516,0.04211373011356885,1.0,False
2022-08-31,2022-09-30,-0.0593561363285857,,,0.0,0.0115684620122306,0.22035274680422298,0.042113730113570474,0.9999999999999999,False
2022-09-30,2022-10-31,0.007477466420711968,,,0.0,0.0115684620122306,0.21559972979351613,0.0421137301135698,1.0,False
2022-10-31,2022-11-30,0.1027295406632901,,,0.0,0.0115684620122306,0.18125179613272208,0.04211373011356989,1.0,False
2022-11-30,2022-12-31,-0.019896707531735072,,,0.0,0.0115684620122306,0.19279081596031958,0.04211373011357036,0.9999999999999999,False
2022-12-31,2023-01-31,0.057398016233139955,,,0.0,0.0115684620122306,0.1841710831093623,0.04474320855161527,1.0000000000000002,False
2023-01-31,2023-02-28,0.03468578240884405,,,0.0,0.0115684620122306,0.18303973604675122,0.04211373011356992,1.0,False
2023-02-28,2023-03-31,0.010061480798857499,,,0.0,0.0115684620122306,0.1671425202945457,0.04211373011356911,1.0,False
2023-03-31,2023-04-30,0.026477581015315,,,0.0,0.0115684620122306,0.22582483105652648,0.023136924024451163,0.9999999999999999,False
2023-04-30,2023-05-31,-0.016684079093769278,,,0.0,0.0115684620122306,0.17291880193606257,0.023136924024451506,0.9999999999999999,False
2023-05-31,2023-06-30,0.015270209548721774,,,0.0,0.0115684620122306,0.18534993271653155,0.023136924024450486,1.0,False
2023-06-30,2023-07-31,0.041587177381294554,,,0.0,0.0115684620122306,0.15643197335771708,0.02313692402445185,1.0,False
2023-07-31,2023-08-31,-0.05141718278553252,,,0.0,0.0115684620122306,0.21793402102699275,0.023136924024451676,1.0,False
2023-08-31,2023-09-30,,,,0.0016015011004756,0.013831091438202,0.17303731236324385,0.024459180675442397,1.0,False
2023-09-30,2023-10-31,-0.017322616634541606,,,0.0,0.013831091438202,0.1428441229983002,0.027662182876393465,1.0000000000000002,False
2023-10-31,2023-11-30,0.019435455033831265,,,0.0,0.013831091438202,0.1590020789149375,0.027662182876393864,1.0000000000000002,False
2023-11-30,2023-12-31,-0.024194490659637472,,,0.0,0.013831091438202,0.14824951906103895,0.027662182876393125,1.0000000000000002,False
2023-12-31,2024-01-31,-0.07964857972225542,,,0.0,0.013831091438202,0.16790378098415723,0.027662182876393847,1.0,False
2024-01-31,2024-02-29,0.07807148695897143,,,0.0,0.013831091438202,0.20111091996994174,0.02766218287639374,1.0000000000000002,False
2024-02-29,2024-03-31,0.03345430629589106,,,0.0,0.013831091438202,0.16177677149882308,0.027662182876393812,1.0000000000000002,False
2024-03-31,2024-04-30,0.038484098794323095,,,0.0,0.013831091438202,0.1652833486563713,0.02766218287639401,1.0000000000000002,False
2024-04-30,2024-05-31,-0.0070259641954103,,,0.0,0.013831091438202,0.16715319503470377,0.034037677795712845,1.0000000000000002,False
2024-05-31,2024-06-30,-0.0558988422588015,,,0.0,0.013831091438202,0.15912035677934985,0.040609222776226056,1.0000000000000002,False
2024-06-30,2024-07-31,-0.013298693709690525,,,0.0,0.013831091438202,0.1780254811318506,0.03911877925433316,1.0000000000000002,False
2024-07-31,2024-08-31,-0.025798155645626104,,,0.0,0.013831091438202,0.15298298218048417,0.0391187792543332,1.0000000000000002,False
2024-08-31,2024-09-30,0.2080587395885075,,,0.0,0.013831091438202,0.1803862081606371,0.03911877925433298,1.0000000000000002,False
2024-09-30,2024-10-31,0.005127527388339176,,,0.0,0.013831091438202,0.1634315995857046,0.03911877925433356,1.0000000000000002,False
2024-10-31,2024-11-30,0.03632673301764044,,,0.0,0.013831091438202,0.1567677106276566,0.03987944123441002,1.0000000000000002,False
2024-11-30,2024-12-31,0.0024237245867380275,,,0.0,0.013831091438202,0.1556150494480215,0.03911877925433361,1.0,False
2024-12-31,2025-01-31,-0.014464840367439153,,,0.0,0.013831091438202,0.14520943181351914,0.04010836511015719,1.0,False
2025-01-31,2025-02-28,0.01845342383049722,,,0.0,0.013831091438202,0.15142360112273007,0.039118779254333866,1.0000000000000002,False
2025-02-28,2025-03-31,0.015210076232878856,,,0.0,0.013831091438202,0.1776663160894283,0.03911877925433357,1.0000000000000002,False
2025-03-31,2025-04-30,-0.029763868241537345,,,0.0,0.013831091438202,0.18467342875673673,0.03911877925433266,1.0000000000000002,False
2025-04-30,2025-05-31,0.03042715159095196,,,0.0,0.0159329640587433,0.18604877858791075,0.06263335069691277,1.0000000000000002,False
2025-05-31,2025-06-30,0.03484512880245156,,,0.0,0.0159329640587433,0.20794110393250034,0.06263335069691273,1.0000000000000002,False
2025-06-30,2025-07-31,0.05584899205275072,,,0.0,0.0174575170066304,0.19869975014477553,0.06263335069691275,1.0000000000000002,False
2025-07-31,2025-08-31,0.062336742299649084,,,0.0,0.013831091438202,0.21610564285450054,0.06263335069691296,1.0000000000000002,False
2025-08-31,2025-09-30,-0.008854201865710527,,,0.0,0.013831091438202,0.20129355440011837,0.06263335069691293,1.0,False
2025-09-30,2025-10-31,0.026868165611542715,,,0.0,0.013831091438202,0.23238367559638767,0.0626333506969133,1.0,False
2025-10-31,2025-11-30,-0.004997345190905162,,,0.0,0.013831091438202,0.1981484353701692,0.06303612212386575,1.0,False
2025-11-30,2025-12-31,0.026145185605110633,,,0.0,0.013831091438202,0.19255007639971428,0.0626333506969126,1.0,False
