period,decile,average_gross_return,average_net_return_20bps,average_net_return_50bps,return_standard_error,average_turnover,average_stocks,g10_minus_g1,g10_minus_g5,g6_minus_g1,decile_spearman,retrospective_g10_g1_change_vs_prior,top_bottom_spread_narrowed
development,1,-0.011657725119561558,-0.012929538125380363,-0.014837257634108572,0.011062240531699201,0.6359065029094021,251.58333333333334,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,2,-0.0022546554454585047,-0.003858036169845159,-0.0062631072564251445,0.010116774638414268,0.8016903621933279,288.5,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,3,0.0009590424758192927,-0.0007485484927486895,-0.0033099349456006573,0.009680155478222756,0.8537954842839895,279.7083333333333,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,4,0.0072287573846630876,0.0054912012088951115,0.0028848669452431488,0.009364339904866643,0.8687780878839876,288.25,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,5,0.006226915792022979,0.004494455650888695,0.0018957654391872764,0.009347404013027505,0.8662300705671407,296.4166666666667,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,6,0.008387067665165218,0.006623661910576204,0.003978553278692682,0.009192379341927362,0.881702877294507,274.1666666666667,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,7,0.008016819785567623,0.006277332860217047,0.003668102472191188,0.00889885849672761,0.869743462675287,279.3541666666667,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,8,0.009404657390315378,0.007700585786191031,0.005144478380004509,0.008870066937648883,0.8520358020621747,288.6041666666667,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,9,0.007695305219877321,0.006073475591376964,0.0036407311486264366,0.008840840682676874,0.8109148142501766,279.6041666666667,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
development,10,0.009474996361535195,0.008293396412663691,0.0065209964893564384,0.008576237400544306,0.5907999744357518,325.2291666666667,0.02113272148109676,0.0032480805695122173,0.020044792784726782,0.9030303030303028,-0.012542854210989643,True
retrospective_test,1,0.012858372812544398,0.011651921559350046,0.009842244679558512,0.01900465059614787,0.6032256265971776,383.0869565217391,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,2,0.021366182347671563,0.0197705656382551,0.017377140574130395,0.017048367576889458,0.797808354708233,420.95652173913044,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,3,0.02322575579650589,0.021525622299545754,0.01897542205410555,0.015868648799352753,0.8500667484800687,408.8695652173913,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,4,0.026495462073037025,0.02477556864394236,0.022195728500300358,0.014530315267772117,0.8599467145473328,423.5217391304348,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,5,0.027531122858370286,0.025811954543825875,0.023233202072009282,0.014021453187377428,0.8595841572721984,430.69565217391306,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,6,0.02813564451179514,0.026400417039189078,0.02379757583027998,0.013263318826735789,0.867613736303031,404.8695652173913,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,7,0.027350125826968472,0.025656117993150422,0.023115106242423376,0.012732422668302955,0.8470039169090164,414.2608695652174,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,8,0.027846026024158962,0.026181985697490747,0.023685925207488405,0.01236844772388073,0.8320201633341114,418.1304347826087,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,9,0.0252502681490442,0.02369662241693302,0.02136615381876624,0.012062707864986717,0.7768228660555923,411.69565217391306,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
retrospective_test,10,0.024895577651586318,0.02382668590180545,0.022223348277134153,0.011335357409176272,0.534445874890433,459.60869565217394,0.01203720483904192,-0.0026355452067839576,0.015277271699250741,0.5030303030303029,-0.012542854210989643,True
selection,1,-0.025335887617873715,-0.026638276024805996,-0.028591858635204415,0.016616167978478046,0.6511942034661397,343.625,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,2,-0.014441650028534257,-0.01605407739588029,-0.01847271844689934,0.015671975990867143,0.8062136836730162,382.1666666666667,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,3,-0.009691636865734508,-0.011392299770363587,-0.013943294127307208,0.015232386348815078,0.8503314523145399,369.125,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,4,-0.007389339177240581,-0.009120266637986228,-0.011716657829104702,0.014754440111030493,0.8654637303728251,383.4166666666667,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,5,-0.004125195815018003,-0.005854224136451436,-0.008447766618601586,0.014032333552883778,0.8645141607167158,389.0,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,6,-0.004113538325469737,-0.005867261721285024,-0.008497846815007959,0.01417807818849847,0.8768616979076445,367.125,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,7,-0.0020519437236856904,-0.0037845362279755267,-0.006383424984410284,0.014037839663163574,0.8662962521449185,373.1666666666667,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,8,-0.0007053126610434048,-0.002379071177670359,-0.004889708952610786,0.013328832017119712,0.836879258313477,379.375,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,9,0.0004574907974192084,-0.0011195186723827165,-0.0034850328770855998,0.012995606967354778,0.7885047349009615,371.9166666666667,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
selection,10,0.0026915090010926485,0.0015905010208556586,-6.101094949982853e-05,0.011989934182354247,0.5505039901184948,418.6666666666667,0.028027396618966364,0.006816704816110653,0.021222349292403977,0.9999999999999999,-0.012542854210989643,True
