period,series,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months
development,optimized_fully_invested,0.10450795806440438,0.1763668624761405,0.5925600569015201,-0.2464486936815371,0.4759715734911927,47
development,optimized_volatility_control,0.0900349896857211,0.1663981837471346,0.5410815650640869,-0.24625244218848696,0.40165689843904806,47
development,first_version_mlp_ridge,0.10028247946763691,0.17659375651324047,0.5678710360301896,-0.24192352349838642,0.4539789085810857,47
selection,optimized_fully_invested,0.053223766694370456,0.17332665714395992,0.3070720197999572,-0.1487852478142635,0.10928030272987788,24
selection,optimized_volatility_control,0.01738123582143558,0.14659143078331038,0.11856924875184761,-0.14388678303325697,0.035064579001551355,24
selection,first_version_mlp_ridge,0.028323315482887246,0.17820390615661977,0.15893768040075656,-0.14906095887881676,0.05744884116571747,24
retrospective_test,optimized_fully_invested,0.2062742281489347,0.21527701301727745,0.9581804636632514,-0.10347824890649404,0.455097513496308,24
retrospective_test,optimized_volatility_control,0.12626955381782312,0.18055085138448965,0.6993572882629475,-0.08747213729442038,0.26848310785699847,24
retrospective_test,first_version_mlp_ridge,0.20072148328655803,0.2069200718579545,0.9700435607056447,-0.09567749996110808,0.441732080425872,24
