signal_month,month,gross_return,turnover,holdings,smoothing_weight,exit_fraction,net_return,exposure,scaled_turnover,scaled_gross_return,scaled_net_return,hedge_index_return,estimated_beta,hedge_notional,hedge_turnover,hedge_trade_cost,hedge_roll_cost,overlay_gross_return,overlay_net_return
2018-01-31,2018-02-28,-0.0273084304838768,0.9999999999999976,240,0.75,0.2,-0.0293084304838768,1.0,1.0,-0.0273084304838768,-0.0293084304838768,-0.026765853098845493,0.0,0.0,0.0,0.0,0.0,-0.0273084304838768,-0.0293084304838768
2018-02-28,2018-03-31,-0.0117992400954465,0.0791666666666689,227,0.75,0.2,-0.0119575734287799,1.0,0.0791666666666689,-0.0117992400954465,-0.0119575734287799,0.01511655676427437,0.0,0.0,0.0,0.0,0.0,-0.0117992400954465,-0.0119575734287799
2018-03-31,2018-04-30,-0.0489803052988344,0.1522633744855995,243,0.75,0.2,-0.0492848320478056,1.0,0.1522633744855995,-0.0489803052988344,-0.0492848320478056,-0.0414987814522747,0.0,0.0,0.0,0.0,0.0,-0.0489803052988344,-0.0492848320478056
2018-04-30,2018-05-31,0.0210140115232005,0.1475409836065584,244,0.75,0.2,0.0207189295559874,1.0,0.1475409836065584,0.0210140115232005,0.0207189295559874,-0.01817496451728773,0.0,0.0,0.0,0.0,0.0,0.0210140115232005,0.0207189295559874
2018-05-31,2018-06-30,-0.0827027048751383,0.1468253968253982,252,0.75,0.2,-0.0829963556687891,1.0,0.1468253968253982,-0.0827027048751383,-0.0829963556687891,-0.09326796880767418,0.0,0.0,0.0,0.0,0.0,-0.0827027048751383,-0.0829963556687891
2018-06-30,2018-07-31,0.0093764803247536,0.0595238095238104,251,0.75,0.2,0.0092574327057059,1.0,0.0595238095238104,0.0093764803247536,0.0092574327057059,-0.005568882691952659,0.0,0.0,0.0,0.0,0.0,0.0093764803247536,0.0092574327057059
2018-07-31,2018-08-31,-0.071843574876945,0.13846153846154,260,0.75,0.2,-0.072120497953868,1.0,0.13846153846154,-0.071843574876945,-0.072120497953868,-0.07205748554636471,0.0,0.0,0.0,0.0,0.0,-0.071843574876945,-0.072120497953868
2018-08-31,2018-09-30,0.0046052118215503,0.102272727272728,264,0.75,0.2,0.0044006663670048,1.0,0.102272727272728,0.0046052118215503,0.0044006663670048,-0.00292537584580721,0.0,0.0,0.0,0.0,0.0,0.0046052118215503,0.0044006663670048
2018-09-30,2018-10-31,-0.088111334124251,0.1094339622641509,265,0.75,0.2,-0.0883302020487793,1.0,0.1094339622641509,-0.088111334124251,-0.0883302020487793,-0.11001956727123108,0.0,0.0,0.0,0.0,0.0,-0.088111334124251,-0.0883302020487793
2018-10-31,2018-11-30,0.028016649918406,0.1835205992509368,267,0.75,0.2,0.0276496087199041,1.0,0.1835205992509368,0.028016649918406,0.0276496087199041,0.024362138401972544,0.0,0.0,0.0,0.0,0.0,0.028016649918406,0.0276496087199041
2018-11-30,2018-12-31,-0.0269763886893223,0.2205882352941207,272,0.75,0.2,-0.0274175651599105,0.9900346485730492,0.2283553474357147,-0.0267075594958032,-0.0271642701906746,-0.047667363829989706,0.0,0.0,0.0,0.0,0.0,-0.0269763886893223,-0.0274175651599105
2018-12-31,2019-01-31,0.0208194189491391,0.1018181818181852,275,0.75,0.2,0.0206157825855027,1.0,0.1107688792816647,0.0208194189491391,0.0205978811905758,0.0020242159380596814,0.0,0.0,0.0,0.0,0.0,0.0208194189491391,0.0206157825855027
2019-01-31,2019-02-28,0.1559955188004255,0.1123188405797111,276,0.75,0.2,0.155770881119266,1.0,0.1123188405797111,0.1559955188004255,0.155770881119266,0.20323820323841968,0.9028209816104678,0.4514104908052339,0.4514104908052339,0.00022570524540261694,0.00037617540900436154,0.0642516617261966,0.06342514339063013
2019-02-28,2019-03-31,0.0937438841784055,0.1340579710144936,275,0.75,0.2,0.0934757682363766,0.6524493224159224,0.4350167099369374,0.0611631337128374,0.0602931002929635,0.1039482782865715,0.8005192555816911,0.40025962779084556,0.051150863014388315,2.5575431507194158e-05,0.00033354968982570463,0.052137585001923156,0.05151034393856136
2019-03-31,2019-04-30,-0.0110339071718958,0.1516245487364626,277,0.75,0.2,-0.0113371562693688,0.5975387195071786,0.1455121416065834,-0.0065931867626557,-0.0068842110458689,-0.04327782636204114,0.8177199683957245,0.40885998419786224,0.008600356407016674,4.300178203508337e-06,0.0003407166534982185,0.0066606642306061645,0.0060123983014314375
2019-04-30,2019-05-31,-0.0511996384595488,0.1696750902527075,274,0.75,0.2,-0.0515389886400542,0.6108599281493439,0.114708644804033,-0.0312758074706723,-0.0315052247602804,-0.07452724126404064,0.7999420804824988,0.3999710402412494,0.008888943956612827,4.4444719783064135e-06,0.0003333092002010412,-0.021390900244859897,-0.02206800409754464
2019-05-31,2019-06-30,0.0307603891272778,0.1240875912408758,274,0.75,0.2,0.0305122139447961,0.5981081669614092,0.0869695629276715,0.0183980399559358,0.0182241008300804,0.007833011313584048,0.8025600957874471,0.40128004789372357,0.001309007652474159,6.545038262370795e-07,0.0003344000399114363,0.02761715797221071,0.027033928245991337
2019-06-30,2019-07-31,0.0012890936149248,0.115942028985509,276,0.75,0.2,0.0010572095569538,0.6356006018181095,0.1068383092870096,0.0008193486774461,0.0006056720588721,-0.009551527196752674,0.7885119357101142,0.3942559678550571,0.007024080038666447,3.5120400193332236e-06,0.0003285466398792142,0.005054840214374426,0.004490897476504879
2019-07-31,2019-08-31,-0.0220106272564132,0.1978417266187082,278,0.75,0.2,-0.0224063107096506,0.6353815933286141,0.1259239999753743,-0.013985147416342,-0.0142369954162928,-0.003406236896204451,0.7887602235475187,0.39438011177375937,0.0001241439187022464,6.20719593511232e-08,0.00032865009314479943,-0.020667275168560185,-0.021391670786901736
2019-08-31,2019-09-30,0.0131147383624936,0.1906474820143882,278,0.75,0.2,0.0127334433984648,0.6733479238236704,0.1591002313814465,0.0088307818478757,0.0085125813851128,0.011131523854335246,0.767626281365479,0.3838131406827395,0.010566971091019894,5.283485545509948e-06,0.0003198442839022829,0.008842313231376357,0.008135890497899763
2019-09-30,2019-10-31,0.0049016400916043,0.1857142857142853,280,0.75,0.2,0.0045302115201757,0.6737033400891613,0.1254057449756009,0.0033022513016287,0.0030514398116775,-0.0047525028511815615,0.767208436267418,0.383604218133709,0.00020892254903048801,1.0446127451524401e-07,0.0003196701817780908,0.006724720232010026,0.00603351701752882
2019-10-31,2019-11-30,-0.0132124854526167,0.2178571428571423,280,0.75,0.2,-0.0136481997383309,0.7704863164475166,0.2435540611634936,-0.010180039247503,-0.01066714736983,-0.004569235423783735,0.7430668196513109,0.37153340982565547,0.012070808308053516,6.035404154026758e-06,0.0003096111748547129,-0.011514861835322156,-0.012266222700045095
2019-11-30,2019-12-31,0.0908561834375066,0.1964285714285709,280,0.75,0.2,0.0904633262946495,0.760916152469387,0.159035836784616,0.0691339375293204,0.0688158658557511,0.0761433109945977,0.7480787508799084,0.3740393754399542,0.002505965614298722,1.252982807149361e-06,0.00031169947953329515,0.06237558694915707,0.06166977734395953
2019-12-31,2020-01-31,0.0043903378897222,0.1678571428571454,279,0.75,0.2,0.0040546236040079,0.7353781217644605,0.1489765011439628,0.0032285584312552,0.0029306054289673,0.02089730100383047,0.7731266465393669,0.38656332326968346,0.012523947829729265,6.261973914864632e-06,0.0003221361027247362,-0.0036877922336853997,-0.004351904596039301
2020-01-31,2020-02-29,0.0108303669817088,0.1908127208480579,283,0.75,0.2,0.0104487415400126,0.7313319300887035,0.1435936270990442,0.007920593188302,0.0076334059341039,0.01367494634652977,0.7777441836421022,0.3888720918210511,0.002308768551367635,1.1543842756838175e-06,0.0003240600765175426,0.005512561990393129,0.004805722087903702
