series,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months
ml_nonlinear_ridge,0.09854562428215141,0.1905966129789651,0.5170376469020845,-0.24726513990107624,1.104472621811639,95
linear_multifactor,0.12129942752082346,0.22893132622173035,0.5298507177796169,-0.2807710441555895,1.4753085200538458,95
benchmark,0.010100455211896842,0.18390294643976263,0.054922748152951666,-0.39921842838050303,0.0828114031758278,95
