cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,series
0,0.12276468095504622,0.18476498467708788,0.6644369395510787,-0.24458064087074605,1.5010317863044933,95,optimized_fully_invested
20,0.11589284201967853,0.18478306201809783,0.6271832534538684,-0.2464486936815371,1.3823819676216225,95,optimized_fully_invested
50,0.1056558673198773,0.18481725702655882,0.5716774992753746,-0.24956355275831554,1.2147504640140712,95,optimized_fully_invested
100,0.08878145516000902,0.1848931136722217,0.48017718668203446,-0.2547295692661963,0.9608633424472672,95,optimized_fully_invested
150,0.07213856953943454,0.18499252560168072,0.3899539687066099,-0.2598639645251243,0.7357470995726663,95,optimized_fully_invested
200,0.05572436675759285,0.1851154548654956,0.30102492953968657,-0.26496690843021875,0.5361789796942591,95,optimized_fully_invested
0,0.08643836568258378,0.1640215299700689,0.5269940214455827,-0.24458064087074605,0.9277038912559472,95,optimized_volatility_control
20,0.08009082340756057,0.16405261598692536,0.48820204984688353,-0.24625244218848696,0.8403221521853985,95,optimized_volatility_control
50,0.07063163282325924,0.16410815334483675,0.4303968534387355,-0.2493859707704037,0.716526692079468,95,optimized_volatility_control
100,0.05503069285608908,0.16422444309426643,0.335094409938117,-0.2545828224006569,0.5282063373146306,95,optimized_volatility_control
150,0.039633155806358955,0.16437033625271527,0.24112109709031665,-0.2597477041760834,0.3602987381066467,95,optimized_volatility_control
200,0.024436656200213625,0.1645457540773346,0.14850979496395075,-0.2648807886243245,0.210617981265536,95,optimized_volatility_control
