month,decile,return,stocks
2018-02-28,1,-0.0412916313651318,206
2018-02-28,2,-0.04581039537071207,242
2018-02-28,3,-0.05502167027120401,239
2018-02-28,4,-0.0363286614665711,239
2018-02-28,5,-0.04636573186686756,259
2018-02-28,6,-0.03902739246461244,223
2018-02-28,7,-0.04808918161001714,234
2018-02-28,8,-0.04534839382819334,244
2018-02-28,9,-0.04183211288347455,237
2018-02-28,10,-0.042756634326116656,278
2018-03-31,1,0.0585784536894618,197
2018-03-31,2,0.06801862898183023,226
2018-03-31,3,0.04409143096966118,221
2018-03-31,4,0.05517922126795369,235
2018-03-31,5,0.042974754348989154,238
2018-03-31,6,0.038183357427636205,217
2018-03-31,7,0.03143747717577767,227
2018-03-31,8,0.04391719307310411,229
2018-03-31,9,0.030010724733200413,218
2018-03-31,10,0.028065453672114486,269
2018-04-30,1,-0.0679281737203086,207
2018-04-30,2,-0.054306377818301825,242
2018-04-30,3,-0.040785067242273015,235
2018-04-30,4,-0.04514098263841647,247
2018-04-30,5,-0.04580019831896039,251
2018-04-30,6,-0.040146487295259686,227
2018-04-30,7,-0.033799212764992106,236
2018-04-30,8,-0.03533131734030143,246
2018-04-30,9,-0.03620656109777454,231
2018-04-30,10,-0.03730497628532901,284
2018-05-31,1,-0.022823162503618953,210
2018-05-31,2,-0.011648577293794125,241
2018-05-31,3,-0.016185276819268325,242
2018-05-31,4,-0.012751120586291152,247
2018-05-31,5,-0.01154105638691402,260
2018-05-31,6,-0.007870534605084101,223
2018-05-31,7,-0.0020992993113757847,243
2018-05-31,8,0.0033150401067036685,246
2018-05-31,9,-0.010495265947790045,237
2018-05-31,10,0.0022117189954617166,285
2018-06-30,1,-0.09600064855428879,220
2018-06-30,2,-0.10406443733613388,254
2018-06-30,3,-0.12072324365859276,245
2018-06-30,4,-0.11251122726943669,255
2018-06-30,5,-0.1101598007592685,259
2018-06-30,6,-0.11218631968988964,243
2018-06-30,7,-0.10598327858089339,243
2018-06-30,8,-0.10404020760676806,257
2018-06-30,9,-0.09924437944960583,242
2018-06-30,10,-0.10181108979813489,292
2018-07-31,1,-0.048508686073600836,220
2018-07-31,2,-0.030426416865148968,256
2018-07-31,3,-0.0035703966381782967,252
2018-07-31,4,-0.006285794773776601,254
2018-07-31,5,0.0008811816197919511,268
2018-07-31,6,-0.0023261645468286144,243
2018-07-31,7,0.0019154679089104984,247
2018-07-31,8,0.010598766203608886,259
2018-07-31,9,0.016093826643473377,249
2018-07-31,10,0.01153076772460937,294
2018-08-31,1,-0.1108497461724325,226
2018-08-31,2,-0.0972618232915923,259
2018-08-31,3,-0.09523136514176513,261
2018-08-31,4,-0.09232481569025676,258
2018-08-31,5,-0.07653568488289089,276
2018-08-31,6,-0.08358601382039682,246
2018-08-31,7,-0.08513369340136802,253
