period,cost_bps,annual_return,annual_volatility,sharpe_rf0,max_drawdown,total_return,months,average_turnover,average_invested_weight,mean_rank_ic
development,20,0.03414204957497846,0.2065664110288938,0.16528364609192336,-0.3273885444142557,0.1437228291596333,48,0.2093938498969902,1.0,0.11619450629367027
development,50,0.02633962003482182,0.20677769235190321,0.1273813424225468,-0.3318797656451573,0.10959471010636412,48,0.2093938498969902,1.0,0.11619450629367027
development,100,0.013451526206158526,0.20714599735619132,0.06493741794599285,-0.3393054771492957,0.0549015347768651,48,0.2093938498969902,1.0,0.11619450629367027
retrospective_test,20,0.279003423482882,0.1782478336980361,1.5652556201918992,-0.10011055517031786,0.6026453888261576,23,0.18601443596239167,1.0,0.10972003658204822
retrospective_test,50,0.27064171902643763,0.1781861203791791,1.5188709336648303,-0.1019802417893495,0.5826235662087813,23,0.18601443596239167,1.0,0.10972003658204822
retrospective_test,100,0.2568166817860069,0.17808397520746796,1.4421100016821575,-0.105089914853848,0.5497841380049537,23,0.18601443596239167,1.0,0.10972003658204822
selection,20,0.01596241541189869,0.16371017222267034,0.09750411471186662,-0.14810648603581122,0.030818364303086154,23,0.18539207270872718,1.0,0.14114935169470447
selection,50,0.009195921263323248,0.16368918078643405,0.05617916357783722,-0.15039239829791473,0.01769978480075296,23,0.18539207270872718,1.0,0.14114935169470447
selection,100,-0.0019899649633093874,0.16365495787848477,-0.012159515294287349,-0.15419142984799805,-0.003810620605264825,23,0.18539207270872718,1.0,0.14114935169470447
